ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-189,788	363,791	128	16	6	0	0	models/scenery/structural/chinese/lanternskins.mdl
1	45,1185	293,724	48,8414	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
2	45,1185	293,724	48,8414	0	6	0	0	models/scenery/misc/Cash_Register/Cash_Register.mdl
3	-47	189	0	2	6	0	0	models/scenery/misc/chinashop/fans.mdl
4	65,2732	169	0,0150108	0	6	0	0	models/scenery/misc/chinashop/books2.mdl
5	-14	192	1,60027E-03	0	6	0	0	models/scenery/misc/chinashop/umbrella2.mdl
6	-20	31	1,60027E-03	0	6	0	0	models/scenery/misc/chinashop/umbrella3.mdl
7	-76	294	0	2	6	0	0	models/scenery/misc/chinashop/plates2.mdl
8	-205,425	108	4,0667E-07	0	6	0	0	models/scenery/misc/chinashop/rug2.mdl
9	-36	399	41	2	6	0	0	models/scenery/misc/chinashop/plates2.mdl
10	-69	293	44,4547	0	6	0	0	models/scenery/structural/tseng/containersa.mdl
11	-128	37	-1	0	6	0	0	models/scenery/misc/boodha/boodhamapped.mdl
12	-5	392	91,3678	0	6	0	0	models/scenery/misc/pedestal/jar2.mdl
13	-39	393	91,0854	0	6	0	0	models/scenery/misc/pedestal/jar1.mdl
14	-25	389	91,3408	0	6	0	0	models/scenery/misc/pedestal/jar3.mdl
15	-190	180	128	0	6	0	0	models/scenery/misc/chinashop/hangy.mdl
16	-190	261	128	0	6	0	0	models/scenery/misc/chinashop/hangy2.mdl
17	-190	220	128	0	6	0	0	models/scenery/misc/chinashop/hangy3.mdl
18	-190	44,9921	0,125787	0	6	0	0	models/scenery/misc/chinashop/shoji.mdl
19	36	265	0	0	6	0	0	models/scenery/misc/chinashop/shelf.mdl
20	-81	390	56	0	6	0	0	models/scenery/misc/chinashop/fan6.mdl
21	22	390	56	2	6	0	0	models/scenery/misc/chinashop/fan6.mdl
22	-223	237	116	0	6	0	0	models/scenery/misc/chinashop/banner4.mdl
23	-222,874	376	116	0	6	0	0	models/scenery/misc/chinashop/banner2.mdl
24	-222,667	271	117	0	6	0	0	models/scenery/misc/chinashop/banner1.mdl
25	-194	376	0	0	6	0	0	models/scenery/misc/chinashop/basket.mdl
26	-206	236	34,1902	0	6	0	0	models/scenery/structural/tseng/bamboopot.mdl
27	-64	26	34,1902	0	6	0	0	models/scenery/structural/tseng/cabineta.mdl
28	-136	388	15,783	0	6	0	0	models/scenery/structural/tseng/cabinetb.mdl
29	-124,771	400	78	2	6	0	0	models/scenery/misc/chinashop/plates2.mdl
30	61	117	34,1902	0	6	0	0	models/scenery/structural/tseng/bamboopot.mdl
31	-66	26	68,4547	0	6	0	0	models/scenery/structural/tseng/containersa.mdl
32	50,7963	204,791	128	16	6	0	0	models/scenery/structural/chinese/lanternskins.mdl
33	60	227	0	0	6	0	0	models/scenery/misc/chinashop/basket.mdl
34	-210	181	19	0	0	0	0	models/scenery/furniture/LotusB/Table1.mdl
35	-69	218	1,60027E-03	0	6	0	0	models/scenery/misc/chinashop/hatwrack.mdl
36	-211,581	203	8,44397	2	6	0	0	models/scenery/misc/chinashop/fan6.mdl
37	-218	154	44,0854	0	6	0	0	models/scenery/misc/pedestal/jar1.mdl
38	-210	186	44,3408	0	6	0	0	models/scenery/misc/pedestal/jar3.mdl
39	78,8107	294,68	117	0	6	0	0	models/scenery/misc/chinashop/banner5.mdl
40	78,8107	375,68	116	0	6	0	0	models/scenery/misc/chinashop/banner3.mdl
41	79	344	128	0	6	0	0	models/scenery/misc/chinashop/banner1.mdl
42	-105	397	71	0	6	0	0	models/scenery/misc/tsengs/herbs.mdl
43	-104	395	71	0	6	0	0	models/scenery/misc/tsengs/herbs.mdl
44	-152	389	67	0	6	0	0	models/scenery/misc/tsengs/jar.mdl
45	-140	390	48	0	6	0	0	models/scenery/misc/tsengs/shelf1.mdl
46	-9	388	67	0	6	0	0	models/scenery/misc/tsengs/shelf4.mdl
47	-117,944	398	71,7722	0	6	0	0	models/scenery/misc/tsengs/medbottle1.mdl
48	-117	395	72	0	6	0	0	models/scenery/misc/tsengs/medbottle1.mdl
49	-131	394	71	0	6	0	0	models/scenery/misc/tsengs/medbottle3.mdl
50	-129,055	397	71,2334	0	6	0	0	models/scenery/misc/tsengs/medbottle4.mdl
51	-122	395,127	70,6527	0	6	0	0	models/scenery/misc/tsengs/medbottle2.mdl
52	-118,028	392	71,7722	0	6	0	0	models/scenery/misc/tsengs/medbottle1.mdl
53	-116,015	388	71,7239	0	6	0	0	models/scenery/misc/tsengs/medbottle1.mdl
54	-121	389,127	70,6527	0	6	0	0	models/scenery/misc/tsengs/medbottle2.mdl
55	-127,001	393	71,2627	0	6	0	0	models/scenery/misc/tsengs/medbottle4.mdl
56	-130,02	390	71,269	0	6	0	0	models/scenery/misc/tsengs/medbottle4.mdl
57	-126,036	389	70,3465	0	6	0	0	models/scenery/misc/tsengs/medbottle3.mdl
58	-139	395,63	69,7002	0	6	0	0	models/scenery/misc/tsengs/box3.mdl
59	-142	392,211	69,3647	0	6	0	0	models/scenery/misc/tsengs/box4.mdl
60	-146	389,007	69,8196	0	6	0	0	models/scenery/misc/tsengs/box2.mdl
61	-150	393,049	69,7777	0	6	0	0	models/scenery/misc/tsengs/box1.mdl
62	-154	396,007	69,8196	0	6	0	0	models/scenery/misc/tsengs/box2.mdl
63	-136	390,211	69,3647	0	6	0	0	models/scenery/misc/tsengs/box4.mdl
64	-139	389,63	69,7002	0	6	0	0	models/scenery/misc/tsengs/box3.mdl
65	66	362	1	0	6	0	0	models/scenery/misc/whitecloud/box.mdl
66	70	94	1,1902	0	6	0	0	models/scenery/misc/tsengs/bamboostick.mdl
67	62	101	1,1902	0	6	0	0	models/scenery/misc/tsengs/bamboostick.mdl
68	68	385	0	0	6	0	0	models/scenery/misc/whitecloud/box.mdl
69	41	386	0	0	6	0	0	models/scenery/misc/whitecloud/box.mdl
70	17	387	0	0	6	0	0	models/scenery/misc/whitecloud/box.mdl
71	29	387	19	0	6	0	0	models/scenery/misc/whitecloud/box.mdl
72	58	387	19	0	6	0	0	models/scenery/misc/whitecloud/box.mdl
73	63,7942	291,464	40	0	6	0	0	models/scenery/misc/tsengs/bamboo_bigger.mdl
74	-202,419	186	3,22297	0	6	0	0	models/scenery/misc/AlligatorStatue/AlligatorStatue.mdl
75	-92	385	19	0	6	0	0	models/scenery/misc/SnakeStatue/SnakeStatue.mdl
76	-44	178	4,10285	0	6	0	0	models/scenery/misc/AlligatorStatue/AlligatorStatue.mdl
77	12,0756	383	66,537	0	6	0	0	models/scenery/misc/tsengs/dog.mdl
78	-189,204	137,791	128	16	6	0	0	models/scenery/structural/chinese/lanternskins.mdl
79	-208	170	43,6321	0	6	0	0	models/scenery/misc/WeirdJars/WeirdJars2.mdl
80	-11	305	29,4463	0	6	0	0	models/scenery/misc/WeirdJars/WeirdJars.mdl
81	-46	288	43,996	0	6	0	0	models/scenery/misc/CrystalSkull/CrystalSkull.mdl
82	-171	388	72,4367	0	6	0	0	models/scenery/misc/WeirdJars/WeirdJars.mdl
83	66,7942	282,464	49	0	6	0	0	models/scenery/misc/ChinaDolls/ChinaDolls1.mdl
84	58	282	40	0	6	0	0	models/scenery/misc/ChinaDolls/ChinaDolls2.mdl
85	-15	390	94	0	6	0	0	models/scenery/misc/ChinaDolls/ChinaDolls1.mdl
