ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	691,677	578,846	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
1	725,154	578,846	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
2	691,677	546,846	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
3	661,154	578,846	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
4	691,677	610,846	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
5	695,677	669,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
6	729,154	701,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
7	695,677	701,154	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
8	695,677	733,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
9	665,154	701,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
10	552,898	793,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
11	552,898	825,154	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
12	552,898	857,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
13	677,154	472,703	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
14	709,154	472,703	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
15	741,154	472,703	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
16	541,154	471,102	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
17	573,154	471,102	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
18	605,154	471,102	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
19	561,368	633,154	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
20	594,846	633,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
21	561,368	601,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
22	530,846	633,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
23	561,368	665,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
24	451,297	946,846	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
25	451,297	914,846	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
26	451,297	978,846	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
27	337,154	991,297	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
28	369,154	991,297	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
29	305,154	991,297	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
30	272,898	669,154	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
31	272,898	701,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
32	272,898	637,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
33	272,898	833,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
34	272,898	801,154	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
35	272,898	769,154	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
36	193,154	991,297	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
37	225,154	991,297	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
38	161,154	991,297	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
39	-67,1977	946,647	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
40	-67,1977	914,647	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
41	-67,1977	978,647	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
42	46,9448	991,099	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
43	14,9448	991,099	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
44	78,9448	991,099	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
45	111,201	832,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
46	111,201	800,956	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
47	111,201	768,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
48	111,201	668,956	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
49	111,201	700,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
50	111,201	636,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
51	-168,799	792,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
52	-168,799	824,956	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
53	-168,799	856,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
54	-311,578	668,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
55	-345,055	700,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
56	-311,578	700,956	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
57	-311,578	732,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
58	-281,055	700,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
59	-307,578	578,647	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
60	-341,055	578,647	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
61	-307,578	546,647	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
62	-277,055	578,647	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
63	-307,578	610,647	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
64	-293,055	472,505	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
65	-325,055	472,505	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
66	-357,055	472,505	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
67	-157,055	470,904	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
68	-189,055	470,904	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
69	-221,055	470,904	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
70	-177,269	632,956	0,0664997	1	6	1536	2048	models/scenery/structural/hollywood/table.mdl
71	-210,746	632,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
72	-177,269	600,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
73	-146,746	632,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
74	-177,269	664,956	0,0112	16	6	0	0	models/scenery/structural/italian/chair.mdl
75	-108,878	257,917	49,9953	17	0	512	768	models/scenery/structural/vesuvius/bartap.mdl
76	-107,89	218,056	51,3386	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Register.mdl
77	-107,859	217,955	51,3386	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
78	-34,0844	357,035	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
79	-50,0844	322,938	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
80	-72,0844	281,035	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
81	-88,0844	245,938	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
82	-106,927	211,938	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
83	-112,084	174,938	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
84	-112,084	145,938	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
85	-112,084	86,9383	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
86	-112,084	58,9383	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
87	-112,084	116,938	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
88	-163,927	47,9383	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
89	-255,927	-17,9646	126	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
90	-155,927	155,035	134	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
91	-152,927	260,035	134	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
92	-128,927	353,035	134	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
93	272,916	23,9383	326	17	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
94	208,073	87,9383	326	17	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
95	144,916	25,9383	326	17	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
