ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1493,82	475,996	88	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
1	-214,879	199,005	19,9947	0	6	0	0	models/scenery/structural/fishmarket/tableb.mdl
2	-214,879	199,005	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucket.mdl
3	-214,879	219,005	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
4	-214,879	219,005	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
5	-214,92	198,13	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
6	-214,92	198,275	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
7	-214,92	177,776	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
8	-214,92	158,005	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
9	-214,92	178,005	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
10	-236,04	483,995	19,9947	0	6	0	0	models/scenery/structural/fishmarket/tableb.mdl
11	-236,04	483,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucket.mdl
12	-236,04	524,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
13	-236,04	503,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
14	-236,04	524,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
15	-236,04	503,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
16	-236,083	483,12	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
17	-236,083	483,265	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
18	-236,083	462,766	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
19	-236,083	442,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
20	-236,083	462,995	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
21	-236,083	442,742	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucketfish.mdl
22	-214,96	93,0048	19,9947	0	6	0	0	models/scenery/structural/fishmarket/tableb.mdl
23	-214,96	93,0048	45,9947	16	6	0	0	models/scenery/structural/fishmarket/table_bucket.mdl
24	-214,96	134,005	45,9947	16	6	0	0	models/scenery/structural/fishmarket/icecubes.mdl
