ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	560,185	777,09	90	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
1	976,185	777,09	90	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
2	1145,09	528,185	90	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
3	390,91	526,185	90	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
4	703,927	418,965	116,506	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	832,084	418,965	116,506	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
6	587,771	482,108	-0,0840402	16	6	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
7	945,771	482,108	-0,0840402	16	6	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
8	190,815	841,09	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
9	1,1852	841,09	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
10	23,1852	342,91	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
11	167,185	342,91	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
12	-57,0901	485,185	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
13	-57,0901	703,185	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
14	249,09	499,185	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
15	288,084	656,062	97	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
16	1247,08	656,062	97	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	1593,09	682,185	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
18	1593,09	513,185	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
19	1500,81	342,91	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
20	1387,81	342,91	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
21	1287,91	515,185	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
22	1364,19	841,09	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
23	1522,81	841,09	80	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
24	95,9268	893,965	97	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
25	1439,93	865,965	97	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	-57,0901	1104,19	104	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
27	249,09	1103,81	104	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
28	96,1852	1257,09	104	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
29	846	1608	101	1	6	1536	2048	models/scenery/structural/zhaos/ibeamsb.mdl
30	775	1608	101	1	6	1536	2048	models/scenery/structural/zhaos/ibeamsb.mdl
31	883	1389	139	17	0	1500	2000	models/scenery/structural/zhaos/stairsa.mdl
32	1235,59	1594,89	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
33	1346,59	1591	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
34	1273,59	1595	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
35	1197,59	1596	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
36	1124,59	1591	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
37	1124,59	1598,12	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
38	1197,59	1594,12	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
39	1273,59	1593,12	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
40	1346,59	1598,12	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
41	1125,59	1595	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
42	1201,59	1593	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
43	1274,59	1594	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
44	1349,59	1595	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
45	1120,41	1217,11	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
46	1231,41	1213,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
47	1158,41	1217,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
48	1082,41	1218,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
49	1009,41	1213,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
50	1009,41	1220,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
51	1082,41	1216,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
52	1158,41	1215,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
53	1231,41	1220,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
54	1010,41	1217,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
55	1086,41	1215,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
56	1159,41	1216,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
57	1234,41	1217,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
58	1119,41	1409,11	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
59	1230,41	1405,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
60	1157,41	1409,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
61	1081,41	1410,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
62	1008,41	1405,22	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
63	1008,41	1412,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
64	1081,41	1408,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
65	1157,41	1407,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
66	1230,41	1412,34	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
67	1009,41	1409,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
68	1085,41	1407,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
69	1158,41	1408,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
70	1233,41	1409,22	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
71	2063,81	1313,09	88	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
72	2249,32	1128,04	88	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
