ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	336,796	808,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
1	336,212	679,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
2	336,212	551,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
3	192,212	951,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
4	64,7963	952,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
5	-63,7875	951,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
6	-208,204	807,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
7	-208,204	679,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
8	-207,788	551,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
9	-63,7875	407,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
10	63,7963	407,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
11	191,796	408,791	252	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
12	-503,651	957,183	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
13	-474,651	927,183	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
14	-474,651	956,183	18,7219	1	3	2250	2500	models/scenery/furniture/bartable/bartable.mdl
15	-474,651	986,183	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
16	-524,974	1042,45	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
17	-553,974	1072,45	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
18	-553,974	1043,45	18,7219	1	3	2250	2500	models/scenery/furniture/bartable/bartable.mdl
19	-553,974	1013,45	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
20	-474,026	1109,18	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
21	-474,026	1138,18	18,7219	1	3	2250	2500	models/scenery/furniture/bartable/bartable.mdl
22	-474,026	1168,18	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
23	-473,204	1138,21	187	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
24	-554,787	1043,79	186	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
25	-474,788	955,791	186	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
26	-516,787	829,791	186	16	6	0	0	models/scenery/structural/glaze/lantern.mdl
27	389,026	872,451	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
28	360,026	902,451	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
29	360,026	873,451	18,7219	1	3	2250	2500	models/scenery/furniture/bartable/bartable.mdl
30	360,026	843,451	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
31	551,978	868,451	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
32	522,978	898,451	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
33	522,978	869,451	18,7219	1	3	2250	2500	models/scenery/furniture/bartable/bartable.mdl
34	522,978	839,451	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
35	493,328	869	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
36	549,979	744,817	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
37	520,979	774,817	15,7219	0	6	0	0	models/scenery/structural/dragon/stool.mdl
