ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1039,92	-1230,96	70	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	1039,92	-1039,97	70	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	1040,07	-859,965	70	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
3	1229,03	-1187,23	70	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	847,938	-1178,92	70	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	2,6399	-598,85	-209,81	1	6	1024	2048	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
6	3928	3666,18	-104	17	0	1024	2048	models/scenery/misc/cage_light/cage_wall.mdl
7	3867	3635,67	60,08	1	6	1024	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
8	3866	3395,67	60,08	1	6	1024	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
9	2383,18	-197,363	-209,8	1	6	1024	2048	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
10	3670,19	2360,83	-65,473	1	6	1024	2048	models/scenery/structural/sewer_light/sewer_light.mdl
11	4237,19	2360,83	-65,473	1	6	1024	2048	models/scenery/structural/sewer_light/sewer_light.mdl
12	3954,19	2360,83	-65,473	1	6	1024	2048	models/scenery/structural/sewer_light/sewer_light.mdl
13	-254,916	1397,96	-113,494	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
14	953,238	447,787	-89,352	17	6	1024	2048	models/scenery/furniture/lightc/lightc.mdl
15	348,938	1552,08	-94	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
16	348,938	1424,08	-94	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	-979,916	-1178,61	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
18	-399,526	-336,438	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
19	517,569	-63,7824	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
20	1391,88	-337,854	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
21	1990,73	-63,7402	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
22	1958,44	1005,05	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
23	2345,49	1640,69	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
24	3256,55	1589,74	-190,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
25	2983,86	2432,77	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
26	3256,91	3237,68	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
27	1425,41	1345,11	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
28	3700,42	3753,74	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
29	810,03	1089,82	-158,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
30	135,713	1312,84	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
31	-135,877	1866,84	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
32	496,165	2512,94	-150,96	1	6	1024	1550	models/scenery/street/powerpole/powerpole.mdl
33	-136,057	306,945	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
34	-136,661	507,916	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
35	136,661	856,084	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
36	-136,661	1212,08	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
37	136,339	1808,08	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
38	136,339	2333,08	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
39	-136,661	2328,08	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
40	136,661	328,084	-192,476	17	6	1024	2048	models/scenery/furniture/ChineseLantern/ChineseLantern.mdl
41	405,084	383,96	-129,494	17	0	256	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
42	-600,073	407,965	-128,494	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
43	-439,916	408,965	-128,494	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
44	-310,073	407,965	-128,494	17	0	512	1024	models/scenery/structural/ceilinglight/ceilinglight.mdl
45	859,803	-535,468	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
46	846,188	1055,32	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
47	985,24	1551,79	-128,352	1	6	1024	1550	models/scenery/furniture/lightc/lightc.mdl
48	-350	920	-133	1	6	1024	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
49	1908	1023	-348	1	6	1024	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
50	1855,31	1539,32	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
51	2130,68	671,308	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
52	2173,19	1654,76	-124,352	1	6	1024	2048	models/scenery/furniture/lightc/lightc.mdl
53	1566,76	2000,21	-124,352	1	6	1024	2048	models/scenery/furniture/lightc/lightc.mdl
54	1227,8	-536,468	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
55	532,822	-66,5321	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
56	1655,2	-66,5321	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
57	2327,2	-67,5321	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
58	2327,8	-331,468	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
59	132,468	-533,197	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
60	-133,468	-534,803	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
61	-890,678	-477,308	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
62	-891,811	-1120,68	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
63	131,678	-1120,69	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
64	-606,803	-67,1601	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
65	-1286,18	-67,5321	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
66	3252,68	3323,31	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
67	3792,81	3670,54	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
68	2986,53	2821,82	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
69	3253,47	2239,8	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
70	2987,16	1702,2	-135,01	17	6	1024	1550	models/scenery/street/pierlight/pierlight.mdl
71	3311,24	2111,81	9	1	3	1024	2048	models/scenery/furniture/lightc/lightc.mdl
72	3311,24	1955,81	9	1	3	1024	2048	models/scenery/furniture/lightc/lightc.mdl
73	3311,24	1791,81	9	1	3	1024	2048	models/scenery/furniture/lightc/lightc.mdl
74	3119,72	1253,85	-63,4571	1	6	1024	2048	models/scenery/structural/sewer_light/sewer_light.mdl
75	2558,54	-200,527	-63,4571	1	6	1024	2048	models/scenery/structural/sewer_light/sewer_light.mdl
