ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1032	-460	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	1234	-446	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	1157	-446	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
3	1157	-266	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	1234	-266	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	1040	-80	60	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
6	1040	-104	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
7	1130	-80	60	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
8	1130	-104,165	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
9	1484	-80	60	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
10	1484	-104,165	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
11	1461	-266	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
12	1384	-266	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
13	1461	-446	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
14	1384	-446	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
15	1158	244	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
16	1235	244	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	1235	424	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	1158	424	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	1125	80	60	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
20	1125	104,165	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
21	1005	245	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
22	1005	425	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
23	928	425	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
24	928	245	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
25	1039	80	60	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
26	1039	104,165	157	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
27	1507,83	-274	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
28	1487,83	-270	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
29	1130	-80	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
30	1130	-104,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
31	1040	-80	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
32	1040	-104,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
33	681	-80	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
34	681	-104,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
35	1196	-273,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
36	979	-268	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
37	738	-275	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
38	1125	80	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
39	1125	104,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
40	1039	80	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
41	1039	104,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
42	1197	317	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
43	969	319,998	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
44	683	80	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
45	683	104,165	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
46	741	330	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
47	1508	-203	308	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
48	1488	-203	405	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
49	326,972	236,607	0	0	0	0	0	models/scenery/furniture/table/foldingtable.mdl
50	390,464	226,868	0	0	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
51	349,488	204,137	0	0	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
52	916	-265	288	0	6	0	0	models/scenery/furniture/bed2/bed2.mdl
53	-55,0176	246,734	74	0	0	0	0	models/scenery/furniture/LotusB/Panel1.mdl
54	54,9824	246,867	74	0	0	0	0	models/scenery/furniture/LotusB/Panel2.mdl
55	0	239	19	16	6	0	0	models/scenery/furniture/LotusB/Table1.mdl
56	-112	-60	17	16	6	0	0	models/scenery/furniture/LotusB/cabinet1.mdl
57	-112	-232	64,0284	16	0	0	0	models/scenery/furniture/LotusB/LB_Deco1.mdl
58	112	-232	64,0284	16	0	0	0	models/scenery/furniture/LotusB/LB_Deco1.mdl
59	43,8859	-208,515	44	16	0	0	0	models/scenery/furniture/cashregister_old/July2004cashregister_old.mdl
60	102,618	-86,3484	69,0356	16	6	0	0	models/scenery/furniture/lamp/table_stand_lamp.mdl
61	-67,3127	-230,352	0	16	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
62	-39,3127	-230,352	0	16	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
63	-11,3127	-230,352	0	16	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
64	228	108	64,0284	16	0	0	0	models/scenery/furniture/LotusB/LB_Deco1.mdl
65	323,319	239,873	100	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
66	448	240	44	0	6	0	0	models/scenery/furniture/microwave/microwave.mdl
67	228	-108	64,0284	16	0	0	0	models/scenery/furniture/LotusB/LB_Deco1.mdl
68	444	-108	64,0284	16	0	0	0	models/scenery/furniture/LotusB/LB_Deco1.mdl
69	405	126,867	74	0	0	0	0	models/scenery/furniture/LotusB/Panel2.mdl
70	412	116	19	16	6	0	0	models/scenery/furniture/LotusB/Table1.mdl
71	360	116	0	0	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
72	444	108	64,0284	16	0	0	0	models/scenery/furniture/LotusB/LB_Deco1.mdl
73	399,623	-95,445	38	16	0	0	0	models/scenery/plants/bonzai/bonzaia.mdl
74	401,271	-101,545	30,8737	0	6	0	0	models/scenery/plants/bonzai/pota.mdl
75	334,766	-188	120	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
