ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	248,009	310,665	126,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
1	248,009	311,665	126,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
2	247,669	310,665	126,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
3	48	32,026	15,5796	16	6	0	0	models/scenery/structural/dragon/stool.mdl
4	48	64,026	15,5796	16	6	0	0	models/scenery/structural/dragon/stool.mdl
5	48	96,026	15,5796	16	6	0	0	models/scenery/structural/dragon/stool.mdl
6	48	128,026	15,5796	16	6	0	0	models/scenery/structural/dragon/stool.mdl
7	192,004	33,3	25	16	0	0	0	models/scenery/misc/609handle/609handle.mdl
8	192,004	38,7	25	16	0	0	0	models/scenery/misc/609handle/609handle.mdl
9	206,111	44	41	16	6	0	0	models/scenery/furniture/kitchen/potb.mdl
10	206,111	20	41	16	6	0	0	models/scenery/furniture/kitchen/pota.mdl
11	205,76	79	40	1	6	1500	2000	models/scenery/furniture/ovena/ovena.mdl
12	199	67	42	16	6	0	0	models/scenery/furniture/kitchen/panb.mdl
13	192,004	161,654	25	16	0	0	0	models/scenery/misc/609handle/609handle.mdl
14	192,001	156,254	25	16	0	0	0	models/scenery/misc/609handle/609handle.mdl
15	199	102	42	16	6	0	0	models/scenery/furniture/kitchen/panc.mdl
16	211,44	158,291	49,8414	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
17	211,44	158,291	49,8414	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Register.mdl
18	204	120	41	0	0	0	0	models/scenery/furniture/609sink/609sinkdirty.mdl
19	204,709	205	0	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
20	-28	432,877	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
21	40	432,877	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
22	-28,2017	403,99	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
23	41,7983	403,99	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
24	273	450	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
25	273	519	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
26	224	561	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
27	155	561	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
28	85	561	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
29	336	344	51	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
30	336	270	51	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
31	23,7975	309,987	120,399	0	6	0	0	models/scenery/structural/ventrue_tower/lighta.mdl
32	-36	206,83	34,1278	0	6	0	0	models/scenery/structural/tseng/bamboopot.mdl
33	84	223	97	0	6	0	0	models/scenery/misc/chinashop/banner4.mdl
34	-54	36	122	0	6	0	0	models/scenery/misc/chinashop/banner1.mdl
35	30	218	84,4547	0	6	0	0	models/scenery/structural/tseng/containersa.mdl
36	218	142	41	16	6	0	0	models/scenery/misc/tsengs/bamboo_bigger.mdl
37	80	125	41	0	6	0	0	models/scenery/misc/plates/plate2.mdl
38	81	67	41	0	6	0	0	models/scenery/misc/plate2/plate2.mdl
39	204,823	125,737	39,5695	0	6	0	0	models/scenery/misc/plates/plate2.mdl
40	204,823	129,427	41,5936	0	6	0	0	models/scenery/misc/plate2/plate2.mdl
41	202,823	127,151	42,019	0	6	0	0	models/scenery/misc/plates/plate2.mdl
42	91	41	41	0	6	0	0	models/scenery/misc/tray/traystack.mdl
43	143,335	99,6688	126,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
44	3,33502	99,6688	126,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
45	90	105	410	16	6	0	0	models/items/beckett_key/ground/item_g_beckett_key.mdl
46	0	0	0	0	0	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
