ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-220,892	411,841	16,1037	16	6	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
1	350,867	411,771	16,1037	16	6	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
2	-363,331	760	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
3	-366,661	1058	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
4	493,999	760	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
5	490,669	1058	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
6	-366,661	1452	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
7	-371,661	1751	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
8	-98	1935,66	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
9	193	1947,66	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
10	901,339	2185	140,08	16	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
11	488,846	810,144	51	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
12	470,846	1090,92	51	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
13	-343,154	1090,92	51	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
14	-360,154	810,922	50	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
15	-359,154	1503,14	50,9528	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
16	-342,154	1783,14	51	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
17	-47,154	1924,14	50	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
18	230,846	1907,14	50	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
19	759,1	1776,14	54	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
20	779,846	2296,92	53,9528	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
21	64,579	560,422	38,529	0	6	0	0	models/scenery/furniture/ReceptionDesk/ReceptionDeskB.mdl
22	36,579	557,422	60	0	6	0	0	models/scenery/furniture/Computer_New/monitor.mdl
23	65,579	608,422	16	0	6	0	0	models/scenery/misc/chairoffice/chairoffice.mdl
24	479,726	788,104	50	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
25	483,846	761,144	51	0	6	0	0	models/scenery/misc/stapler/stapler.mdl
26	499,696	763,754	50,373	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
27	498,946	750,554	50,479	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
28	481,516	710,234	50,024	0	6	0	0	models/scenery/misc/faxmachine/faxmachine.mdl
29	495,516	722,814	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
30	480,846	738,144	50,948	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
31	483,846	758,144	51,0374	0	6	0	0	models/scenery/misc/tableoffice/tableoffice.mdl
32	464	1060	50	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
33	491,909	1048,83	50,373	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
34	492,659	1062,03	50,479	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
35	468	1004	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
36	476,059	1050,14	51,0374	0	6	0	0	models/scenery/misc/tableoffice/tableoffice.mdl
37	476	996	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
38	-351,726	788,104	50	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
39	-355,846	761,144	51	0	6	0	0	models/scenery/misc/stapler/stapler.mdl
40	-371,696	763,754	50,373	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
41	-370,946	750,554	50,479	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
42	-353,516	710,234	50,024	0	6	0	0	models/scenery/misc/faxmachine/faxmachine.mdl
43	-367,516	722,814	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
44	-352,846	738,144	50,948	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
45	-355,846	758,144	51,0374	0	6	0	0	models/scenery/misc/tableoffice/tableoffice.mdl
46	-336	1060	50	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
47	-363,909	1048,83	50,373	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
48	-364,659	1062,03	50,479	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
49	-340	1004	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
50	-345,059	1030,14	50,948	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
51	-348,059	1050,14	51,0374	0	6	0	0	models/scenery/misc/tableoffice/tableoffice.mdl
52	-348	996	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
53	-350,513	1480,82	50	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
54	-354,633	1453,86	51	0	6	0	0	models/scenery/misc/stapler/stapler.mdl
55	-370,483	1456,47	50,373	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
56	-369,733	1443,27	50,479	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
57	-352,303	1402,95	50,024	0	6	0	0	models/scenery/misc/faxmachine/faxmachine.mdl
58	-366,303	1415,53	51,024	0	6	0	0	models/scenery/misc/paper/paper3.mdl
59	-354,633	1450,86	51,0374	0	6	0	0	models/scenery/misc/tableoffice/tableoffice.mdl
