ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	0	0	219,924	16	6	0	0	models/scenery/structural/temple/dome.mdl
1	-159	0	26,5953	16	6	0	0	models/scenery/structural/temple/torch.mdl
2	0	159	26,5953	16	6	0	0	models/scenery/structural/temple/torch.mdl
3	159	0	26,5953	16	6	0	0	models/scenery/structural/temple/torch.mdl
4	0	-159	26,5953	16	6	0	0	models/scenery/structural/temple/torch.mdl
5	-64	312	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
6	64	312	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
7	64	576	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
8	-64	576	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
9	-64	704	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
10	64	704	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
11	480	576	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
12	496	496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
13	480	704	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
14	496	784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
15	784	784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
16	784	496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
17	704	480	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
18	576	480	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
19	576	320	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
20	576	192	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
21	704,311	192,311	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
22	704,311	320,311	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
23	576	64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
24	576	-64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
25	320	64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
26	320	-64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
27	576	-192	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
28	576	-320	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
29	704,311	-192,933	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
30	704,311	-320,933	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
31	703,689	-479,689	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
32	575,378	-478,756	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
33	496	-496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
34	784	-496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
35	496	-784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
36	784	-784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
37	704	-800	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
38	576	-800	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
39	704,311	-991,689	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
40	576,311	-991,689	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
41	576	-1120	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
42	704	-1120	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
43	1088	-1120	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
44	1088	-992	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
45	1104	-912	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
46	1392	-912	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
47	1392	-1200	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
48	1104	-1200	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
49	192	-992	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
50	192	-1120	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
51	176	-1200	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
52	-112	-1200	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
53	-112	-912	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
54	176	-912	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
55	-480	704	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
56	-480	576	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
57	-496	496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
58	-576	480	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
59	-704	480	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
60	-784	496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
61	-784	784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
62	-704	800	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
63	-576	800	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
64	-496	784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
65	-576	960	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
66	-704	960	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
67	-704	1088	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
68	-576	1088	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
69	-256	1088	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
70	-256	960	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
71	-240	880	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
72	48	880	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
73	48	1168	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
74	-240	1168	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
75	112	880	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
76	192	864	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
77	320	864	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
78	400	880	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
79	400	1168	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
80	112	1168	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
81	-1088	960	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
82	-1088	1088	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
83	-1104	1168	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
84	-1392	1168	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
85	-1392	880	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
86	-1104	880	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
87	-576	320	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
88	-576	192	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
89	-704	320	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
90	-704	192	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
91	-576	64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
92	-576	-64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
93	-314	64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
94	-314	-64	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
95	-576	-192	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
96	-576	-320	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
97	-704	-320	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
98	-704	-192	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
99	-704	-480	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
100	-576	-480	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
101	-496	-496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
102	-496	-784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
103	-784	-784	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
104	-784	-496	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
105	-64	-314	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
106	64	-314	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
107	-176	-912	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
108	-176	-1200	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
109	-464	-1200	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
110	-464	-912	72	0	6	0	0	models/scenery/structural/temple/pillar.mdl
111	-212	-212	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
112	213,01	-213,01	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
113	-212,51	212,51	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
114	212,762	212,762	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
115	343	0	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
116	554	0	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
117	640	-90	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
118	640	-166	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
119	640	-346	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
120	640	-454	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
121	685,475	395,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
122	685,475	-401,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
123	640,021	90,4538	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
124	640,021	166,454	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
125	640,021	339,546	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
126	640,021	455,546	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
127	454	640	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
128	90	640	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
129	-90	640	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
130	-454	640	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
131	-640	826	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
132	-640	936	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
133	-550	1024	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
134	-282	1024	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
135	0	552	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
136	0	336	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
137	-728	1024	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
138	-1064	1024	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
139	-640	456	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
140	-640	344	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
141	-640	168	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
142	-640	88	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
143	-640	-88	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
144	-640	-168	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
145	-640	-344	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
146	-640	-456	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
147	-336	0	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
148	-552	0	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
149	0	-336	102,089	16	6	0	0	models/scenery/structural/temple/arch.mdl
150	640	-824	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
151	640	-968	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
152	552	-1056	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
153	216	-1056	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
154	-320	-713	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
155	256	840	102,089	0	6	0	0	models/scenery/structural/temple/arch.mdl
156	781,475	639,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
157	256,374	594,525	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
158	448,374	-45,4746	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
159	-46,5254	447,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
160	-272,374	594,525	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
161	-594,525	879,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
162	-415,626	1069,47	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
163	-896,374	1069,47	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
164	-781,475	639,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
165	-686,525	395,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
166	-685,475	-128,374	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
167	-781,475	-639,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
168	-640,374	-781,475	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
169	-274,525	-772,374	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
170	48,3736	-1197,47	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
171	32,3736	-913,475	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
172	-1247,63	882,525	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
173	-1247,63	1165,47	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
174	-685,475	0,3736	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
175	-685,475	-403,626	92	16	6	0	0	models/scenery/structural/temple/wall_torch.mdl
