ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	34	72	135	16	6	0	0	models/scenery/misc/tsengs/shelf5.mdl
1	34	72	116	16	6	0	0	models/scenery/misc/tsengs/shelf2.mdl
2	34	72	97	16	6	0	0	models/scenery/misc/tsengs/shelf3.mdl
3	34	71	77	16	6	0	0	models/scenery/misc/tsengs/shelf4.mdl
4	34	72,2422	58	16	6	0	0	models/scenery/misc/tsengs/shelf1.mdl
5	36,6614	209,533	71,4689	1	6	2250	2500	models/scenery/structural/malkavian/malk_candle.mdl
6	62,5066	308	70	16	6	0	0	models/scenery/structural/tseng/cabineta.mdl
7	348	282	70	16	6	0	0	models/scenery/structural/tseng/cabineta.mdl
8	213,398	236,022	110,535	16	0	0	0	models/scenery/structural/tseng/stringlights.mdl
9	282,796	131,791	168	16	6	0	0	models/scenery/structural/chinese/lanternskins.mdl
10	152	313	135	16	6	0	0	models/scenery/misc/tsengs/shelf5.mdl
11	152	310,01	116	16	6	0	0	models/scenery/misc/tsengs/shelf2.mdl
12	152	310,01	97	16	6	0	0	models/scenery/misc/tsengs/shelf3.mdl
13	151	310,01	77	16	6	0	0	models/scenery/misc/tsengs/shelf4.mdl
14	152,242	310,01	58	16	6	0	0	models/scenery/misc/tsengs/shelf1.mdl
15	64	308	104,38	16	6	0	0	models/scenery/structural/tseng/containersa.mdl
16	348	281	104,38	16	6	0	0	models/scenery/structural/tseng/containersa.mdl
17	268	116	86,3532	16	6	0	0	models/scenery/structural/tseng/containersa.mdl
18	61	180	15	1	6	2250	2500	models/scenery/structural/warehouse/boxesc.mdl
19	124	184	15	1	6	2250	2500	models/scenery/structural/warehouse/boxesc.mdl
20	325	200	88,4465	16	6	0	0	models/scenery/structural/tseng/scale.mdl
21	349	73,5066	104,38	16	6	0	0	models/scenery/structural/tseng/containersa.mdl
22	349	74,5066	70	16	6	0	0	models/scenery/structural/tseng/cabineta.mdl
23	349,549	18,4092	70	16	6	0	0	models/scenery/structural/tseng/bamboopot.mdl
24	349,359	333,311	70	16	6	0	0	models/scenery/structural/tseng/bamboopot.mdl
25	35,7577	210	55,761	16	6	0	0	models/scenery/structural/tseng/cabinetb.mdl
26	25,1333	166,982	109,908	16	0	0	0	models/scenery/furniture/LotusB/Panel1.mdl
27	25	253	109,908	16	0	0	0	models/scenery/furniture/LotusB/Panel2.mdl
28	349	82	134,387	16	6	0	0	models/scenery/structural/tseng/containersa.mdl
29	346	45	134,387	16	6	0	0	models/scenery/structural/tseng/containersa.mdl
30	356	204	82	16	6	0	0	models/scenery/misc/tsengs/bamboo_bigger.mdl
31	341	198	86,5277	16	6	0	0	models/scenery/misc/tsengs/medicinebowl.mdl
32	289	20	55,761	16	6	0	0	models/scenery/structural/tseng/cabinetb.mdl
33	0	0	0	0	0	0	0	models/scenery/misc/tsengs/shelf5.mdl
