ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-950,66	811	364,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
1	-950,66	812	364,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
2	-951	811	364,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
3	-270,19	63,1672	158,527	1	6	1024	1536	models/scenery/structural/sewer_light/sewer_light.mdl
4	-554,19	63,1672	158,527	1	6	1024	1536	models/scenery/structural/sewer_light/sewer_light.mdl
5	-837,19	63,1672	158,527	1	6	1024	1536	models/scenery/structural/sewer_light/sewer_light.mdl
6	-330	638,889	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
7	-219	635	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
8	-292	639	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
9	-368	640	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
10	-441	635	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
11	-441	642,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
12	-368	638,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
13	-292	637,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
14	-219	642,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
15	-440	639	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
16	-364	637	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
17	-291	638	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
18	-216	639	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
19	-739,408	638,889	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
20	-628,408	642,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
21	-701,408	638,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
22	-777,408	637,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
23	-850,408	642,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
24	-850,408	635,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
25	-777,408	639,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
26	-701,408	640,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
27	-628,408	635,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
28	-849,408	638,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
29	-773,408	640,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
30	-700,408	639,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
31	-625,408	638,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
32	-295,592	866,889	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
33	-184,592	863	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
34	-257,592	867	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
35	-333,592	868	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
36	-406,592	863	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
37	-406,592	870,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
38	-333,592	866,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
39	-257,592	865,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
40	-184,592	870,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
41	-405,592	867	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
42	-329,592	865	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
43	-256,592	866	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
44	-181,592	867	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
45	-600,592	866,889	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
46	-489,592	870,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
47	-562,592	866,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
48	-638,592	865,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
49	-711,592	870,778	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
50	-711,592	863,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
51	-638,592	867,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
52	-562,592	868,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
53	-489,592	863,659	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
54	-710,592	866,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
55	-634,592	868,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
56	-561,592	867,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
57	-486,592	866,778	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
58	-905,592	866,889	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
59	-794,592	863	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
60	-867,592	867	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
61	-943,592	868	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
62	-1016,59	863	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
63	-1016,59	870,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
64	-943,592	866,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
65	-867,592	865,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
66	-794,592	870,119	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
67	-1015,59	867	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
68	-939,592	865	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
69	-866,592	866	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
70	-786	866	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
71	3,88889	755,592	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
72	-8,39233E-05	644,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
73	3,99992	717,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
74	4,99992	793,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
75	-8,39233E-05	866,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
76	7,11893	866,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
77	3,11893	793,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
78	2,11893	717,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
79	7,11893	644,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
80	3,99992	865,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
81	1,99992	789,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
82	2,99992	716,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
83	3,99992	641,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
84	3,88889	450,592	85,8261	17	0	1500	2000	models/scenery/structural/zhaos/storagerack.mdl
85	7,77787	339,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
86	3,77787	412,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
87	2,77787	488,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
88	7,77787	561,592	17	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
89	0,658848	561,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesc.mdl
90	4,65885	488,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
91	5,65885	412,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
92	0,658848	339,592	108,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
93	3,77787	560,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
94	5,77787	484,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
95	4,77787	411,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxes.mdl
96	3,77787	336,592	199,183	1	6	1500	2000	models/scenery/structural/zhaos/boxesb.mdl
97	-36	327	405	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta.mdl
98	-215	327	405	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta.mdl
99	-365	327	385,085	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta_corner.mdl
100	-384	327	332,085	1	6	1500	2000	models/scenery/structural/venta/venta.mdl
101	-444	327	405	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta.mdl
102	-595	327	385,085	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta_corner.mdl
103	-614	326	332,085	1	6	1500	2000	models/scenery/structural/venta/venta.mdl
104	-697	327	405	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta.mdl
105	-847	327	385,085	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta_corner.mdl
106	-866	327	332,085	1	6	1500	2000	models/scenery/structural/venta/venta.mdl
107	128,532	18,1971	89,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
108	399,468	469,803	89,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
109	128,532	938,197	89,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
110	89,2376	468,192	272	1	3	2250	2500	models/scenery/furniture/lightc/lightc.mdl
111	89,2376	632,192	272	1	3	2250	2500	models/scenery/furniture/lightc/lightc.mdl
112	89,2376	312,192	272	1	3	2250	2500	models/scenery/furniture/lightc/lightc.mdl
113	-734,121	-42,8787	94,0132	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
114	-449,648	-42,3438	94,0132	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
115	-165,121	-42,3438	94,0132	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
116	-900,431	887	275	16	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
117	-928,268	887	276	0	6	0	0	models/scenery/furniture/computer/apple.mdl
118	-927,374	882	281	0	6	0	0	models/scenery/furniture/computer/apple_monitor.mdl
119	-941,22	883	275	0	6	0	0	models/scenery/furniture/computer/apple_dd.mdl
120	-927,431	889,514	240	0	6	0	0	models/scenery/furniture/desk_executive/desk_executive.mdl
