ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	372	-452	376	0	6	0	0	models/scenery/structural/609railing/609railing.mdl
1	372	-452	232	0	6	0	0	models/scenery/structural/609railing/609railing.mdl
2	303,443	-388,153	304	16	0	0	0	models/scenery/structural/609railing/609stairs.mdl
3	-268	-528	334,52	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	218,153	-134,98	416	0	6	0	0	models/scenery/structural/609window/609win_int.mdl
5	218,221	-64,9078	272	0	6	0	0	models/scenery/structural/609window/609win_int.mdl
6	237,764	-65,2322	272	16	6	0	0	models/scenery/structural/609window/609win_ext.mdl
7	237,764	-65,2322	416	16	6	0	0	models/scenery/structural/609window/609win_ext.mdl
8	300	-400	478,52	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
9	-551,759	-306,14	352	0	6	0	0	models/scenery/furniture/sink2/sink2.mdl
10	-268	-528	478,52	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
11	-400,915	-297,025	284,804	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
12	-400,915	-272,025	284,804	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
13	-401,946	-322,932	284,804	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
14	-393,946	-9,93201	297,506	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
15	-337,946	-9,93201	297,506	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
16	-457,946	-9,93201	297,506	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
17	-439,946	-351,932	284,804	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
18	-434,946	-170,932	312,804	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
19	-551,946	-303,932	284,804	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
20	184,469	-411,136	478,384	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
21	-272	-609,584	129,907	16	6	0	0	models/scenery/structural/609sconce/609sconce.mdl
22	-24	-609,584	129,907	16	6	0	0	models/scenery/structural/609sconce/609sconce.mdl
23	198	-609,584	129,907	16	6	0	0	models/scenery/structural/609sconce/609sconce.mdl
24	193,946	118,932	313,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
25	193,946	189,932	313,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
26	193,946	49,932	313,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
27	-81,9386	-247,929	64	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
28	-81,9386	-179,557	64	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
29	-394,36	-1264,07	80	16	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
30	-716	-452	376	0	6	0	0	models/scenery/structural/609railing/609railing.mdl
31	-716	-452	232	0	6	0	0	models/scenery/structural/609railing/609railing.mdl
32	-556	-624	376	0	6	0	0	models/scenery/structural/609railing/609railing.mdl
33	-556	-624	232	0	6	0	0	models/scenery/structural/609railing/609railing.mdl
34	118,229	356,371	105,531	16	0	0	0	models/scenery/structural/609railing/609railingb.mdl
35	-1043,63	1568,33	164,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
