ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-633,76	587,09	-471	16	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
1	-248	-528	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
2	-56	-721	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
3	-440	-721	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
4	1184	-610	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
5	1377	-418	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
6	1377	-802	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
7	-1152	-336	-220	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
8	-1152	-1008	-220	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
9	3686,7	972,053	-403,615	16	0	0	0	models/scenery/furniture/FoldingLadder/FoldingLadder.mdl
10	-93	1001	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
11	-93,4961	1002,29	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_4straight.mdl
12	231,504	1002,29	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_4straight.mdl
13	232	1003	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
14	556,527	1002,3	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_4straight.mdl
15	557	1002	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
16	847	1045	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_2way.mdl
17	1137	1002	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_1straight.mdl
18	763	925,338	-404	16	6	0	0	models/scenery/structural/SewerPipes/pipe_box.mdl
19	944	947	-460	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_1straight.mdl
20	1123	927	-460	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_1straight.mdl
21	1136	1001	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
22	562,613	1025,9	-469,109	0	6	0	0	models/scenery/misc/sewerpuddle/sewerpuddle_large.mdl
23	1297,17	1034,83	-469,109	0	6	0	0	models/scenery/misc/sewerpuddle/sewerpuddle_large.mdl
24	916	1384	-464	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_1straight.mdl
25	1134	1285	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
26	845	1241	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_2way.mdl
27	554,527	1283,7	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_4straight.mdl
28	555	1284	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
29	229,504	1283,71	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_4straight.mdl
30	230	1283	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
31	-95,4963	1283,71	-345	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_4straight.mdl
32	-95,0002	1285	-353	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
33	767,921	1317,62	-342	0	6	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
34	767,921	1291,62	-406	16	0	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
35	909,921	1313,62	-342	0	6	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
36	909,921	1287,62	-406	16	0	0	0	models/scenery/pipes/VALVE_WHEEL/valve_wheel.mdl
37	5053,24	1565,09	-311	16	6	0	0	models/scenery/furniture/chair/crappy_chair.mdl
38	-247	62	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
39	-661	254	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
40	-56	254	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
41	310	254	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
42	481	-178	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
43	481	-442	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
44	481	446	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
45	481	678	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
46	657	-610	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
47	481	62	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
48	-440	254	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
49	905	-610	-470	16	6	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Divider.mdl
50	-248	-626	-265	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
51	-247	62	-265	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
52	288	254	-265	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
53	481	-442	-265	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
54	-620	550	-471	18	6	0	0	models/scenery/misc/deskoffice/desk.mdl
55	-552	539	-347	16	6	0	0	models/scenery/furniture/lighta/lighta.mdl
56	-248	-266	-470	16	0	0	0	models/scenery/structural/SewerParts/Standard_Sewer_Arch.mdl
57	622	554	-438	0	6	0	0	models/scenery/structural/warrens/pipe_grate.mdl
58	631	-54	-437,733	0	0	0	0	models/scenery/structural/warrens/pipeend.mdl
59	631	254	-437,733	0	0	0	0	models/scenery/structural/warrens/pipeend.mdl
60	631	554	-437,733	0	0	0	0	models/scenery/structural/warrens/pipeend.mdl
61	-655	598,01	-424,237	0	6	0	0	models/scenery/structural/warrens/warr_01_map.mdl
62	-621	551,95	-429,487	2	0	0	0	models/scenery/structural/warrens/warr_01_binders.mdl
63	-605	646	-394,728	0	6	0	0	models/scenery/structural/warrens/warr_01_calender.mdl
64	-546	15	-348	16	6	0	0	models/scenery/furniture/lighta/lighta.mdl
65	-493,99	18,27	-419	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
66	-549,8	-33,01	-419	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
67	-608,01	18,8	-419	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
