ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-192,084	19,9383	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	64,0732	19,9383	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	123,543	68,2956	182	1	0	600	700	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
3	185,446	155,296	182	1	0	600	700	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
4	213,446	270,296	182	1	0	600	700	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
5	211,542	399,678	182	1	0	600	700	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
6	210,446	527,678	182	1	0	600	700	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
7	191,916	19,9383	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
8	221,916	28,9383	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
9	243,073	51,0354	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
10	252,073	79,9383	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
11	251,916	207,938	153	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
12	-205,554	73,2956	182	1	0	600	700	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
13	63,9156	269,938	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
14	62,9156	326,035	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
15	63,9156	381,938	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
16	84,0732	530,938	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	-189,927	529,035	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	-189,084	382,035	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	-190,084	326,133	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
20	-189,084	270,035	158	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
21	225,792	655,792	92	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
22	225,308	783,792	92	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
23	241,308	720,792	92	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
24	241,308	844,792	92	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
25	251,758	207,938	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	251,916	79,9383	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
27	242,916	51,0354	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
28	221,758	28,9383	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
29	191,758	19,9383	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
30	63,9156	19,9383	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
31	-192,242	19,9383	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
32	-64,0844	19,9383	306	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
33	-63,9268	43,9383	157	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
34	99,9266	430	27,9646	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
35	99,9156	494	27,9646	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
36	-228,073	430	28,9646	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
37	-228,084	494	28,9646	1	0	350	400	models/scenery/structural/ceilinglight/ceilinglight.mdl
38	-33,4733	981,251	279,808	0	0	0	0	models/scenery/theater/stage_light.mdl
39	-33,495	926,249	279,586	0	0	0	0	models/scenery/theater/stage_light.mdl
40	-30,9366	870,253	279,669	0	0	0	0	models/scenery/theater/stage_light.mdl
41	-28,7301	813,249	279,821	0	0	0	0	models/scenery/theater/stage_light.mdl
42	-154,532	761,616	279,947	0	0	0	0	models/scenery/theater/stage_light.mdl
43	-155,502	810,25	279,803	0	0	0	0	models/scenery/theater/stage_light.mdl
44	-156,405	867,252	279,834	0	0	0	0	models/scenery/theater/stage_light.mdl
45	-158,703	926,148	279,926	0	0	0	0	models/scenery/theater/stage_light.mdl
46	-157,745	985,247	280,029	0	0	0	0	models/scenery/theater/stage_light.mdl
47	225,792	343,792	296,813	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
48	241,308	395,792	296,813	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
49	240,792	486,792	296,813	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
50	-241,308	308,208	296,813	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
51	-241,308	204,792	296,813	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
52	-241,308	80,7919	296,813	16	0	0	0	models/scenery/structural/asphole/barlight.mdl
