ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1213,38	-880,6	-163	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
1	2599,93	168,062	46	1	6	1024	1536	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	2440,08	136,062	94	1	6	1024	1536	models/scenery/structural/ceilinglight/ceilinglight.mdl
3	2276,08	168,062	46	1	6	1024	1536	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	2440,08	149,062	-2	1	6	1024	1536	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	1765,89	1,01423	-16	1	6	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
6	2539,89	1,01423	-16	1	6	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
7	2220,45	-1023,29	-22,5822	1	6	1536	2048	models/scenery/street/pierlightb/pierlightb.mdl
8	1552,92	343,938	0	1	6	1024	1536	models/scenery/structural/ceilinglight/ceilinglight.mdl
9	2048	-484	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
10	2048,06	-605,223	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
11	2048,06	-727,223	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
12	2048,06	-860,223	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
13	2048,06	-974	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
14	1965,78	-1056,06	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
15	1845	-1056,06	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
16	1730,78	-1056,06	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
17	1648,05	-976	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
18	1647,94	-853	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
19	1647,94	-727	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
20	1647,94	-598	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
21	1648,05	-481	143	17	3	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
