ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	256	64	130	16	6	0	0	models/scenery/structural/hollywood/manwndwa.mdl
1	-256	64	130	16	6	0	0	models/scenery/structural/hollywood/manwndwa.mdl
2	347,955	192	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
3	347,955	320	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
4	347,955	448	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
5	347,955	576	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
6	285	641	239	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
7	217	641	196	16	6	0	0	models/scenery/structural/chinese/pillar2.mdl
8	217	729	196	16	6	0	0	models/scenery/structural/chinese/pillar2.mdl
9	137	579	90	16	6	0	0	models/scenery/structural/chinese/banister.mdl
10	73	641,277	164	16	6	0	0	models/scenery/structural/chinese/pillar3.mdl
11	73	729	164	16	6	0	0	models/scenery/structural/chinese/pillar3.mdl
12	-71	641	164	16	6	0	0	models/scenery/structural/chinese/pillar3.mdl
13	-70,8873	729,984	164	16	6	0	0	models/scenery/structural/chinese/pillar3.mdl
14	-215,095	641,277	196	16	6	0	0	models/scenery/structural/chinese/pillar2.mdl
15	-215,095	729,277	196	16	6	0	0	models/scenery/structural/chinese/pillar2.mdl
16	-347,955	191,974	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
17	-347,955	319,974	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
18	-347,955	447,974	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
19	-347,955	575,974	238,733	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
20	-283	641	239	16	6	0	0	models/scenery/structural/chinese/balconytp.mdl
21	-135	578	90	16	6	0	0	models/scenery/structural/chinese/banisterl.mdl
22	-448	321	194,88	16	0	0	0	models/scenery/structural/chinese/doorframe.mdl
23	-448	576	194,88	16	0	0	0	models/scenery/structural/chinese/doorframe.mdl
24	448	576	194,88	16	0	0	0	models/scenery/structural/chinese/doorframe.mdl
25	448	320	194,88	16	0	0	0	models/scenery/structural/chinese/doorframe.mdl
26	-1	736	204,895	16	0	0	0	models/scenery/structural/chinese/manwndwc.mdl
27	-9,53674E-07	4	204,895	16	0	0	0	models/scenery/structural/chinese/manwndwc.mdl
28	213	2117	-62,7208	16	6	0	0	models/scenery/theater/speaker_2.mdl
29	460	918	207	16	6	0	0	models/scenery/theater/speaker_1.mdl
30	558	1712	138	16	6	0	0	models/scenery/theater/speaker_1.mdl
31	558	2040	138	16	6	0	0	models/scenery/theater/speaker_1.mdl
32	-557,355	2036,07	138	16	6	0	0	models/scenery/theater/speaker_1.mdl
33	-557,355	1708,07	138	16	6	0	0	models/scenery/theater/speaker_1.mdl
34	-557,355	1368,07	138	16	6	0	0	models/scenery/theater/speaker_1.mdl
35	-459,355	914,067	207	16	6	0	0	models/scenery/theater/speaker_1.mdl
36	2	2118	-62,7208	16	6	0	0	models/scenery/theater/speaker_2.mdl
37	-301	2117	-62,7208	16	6	0	0	models/scenery/theater/speaker_2.mdl
38	0	2138	90	16	0	0	0	models/scenery/structural/chinese/screen.mdl
39	-564	1048	128	16	0	0	0	models/scenery/structural/chinese/curtain1.mdl
40	-564	1368	112	16	0	0	0	models/scenery/structural/chinese/curtain2.mdl
41	-564	1708	98	16	0	0	0	models/scenery/structural/chinese/curtain3.mdl
42	-564	2036	82	16	0	0	0	models/scenery/structural/chinese/curtain4.mdl
43	565,042	1052,01	128	16	0	0	0	models/scenery/structural/chinese/curtain1.mdl
44	565,042	1372,01	112	16	0	0	0	models/scenery/structural/chinese/curtain2.mdl
45	565,042	1712,01	98	16	0	0	0	models/scenery/structural/chinese/curtain3.mdl
46	565,042	2040,01	82	16	0	0	0	models/scenery/structural/chinese/curtain4.mdl
47	-512	2143	47	0	6	0	0	models/scenery/signs/exitsign.mdl
48	512	2143	47	0	6	0	0	models/scenery/signs/exitsign.mdl
49	288	881	144	0	6	0	0	models/scenery/signs/exitsign.mdl
50	-288	881	144	0	6	0	0	models/scenery/signs/exitsign.mdl
51	-10,0847	1600,61	93,6144	18	0	0	0	models/scenery/structural/chinese/beams.mdl
52	0	0	0	0	0	0	0	models/scenery/structural/hollywood/manwndwa.mdl
