ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	921,67	-368	12,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
1	1213,38	-880,6	-163	0	0	0	0	models/scenery/furniture/lighta/lighta.mdl
2	-630,926	-800,852	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
3	-630,926	-800,852	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
4	-536,633	-707,145	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
5	-535,926	-707,852	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
6	-445,849	-616,145	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
7	-445,142	-616,852	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
8	-351,926	-522,852	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
9	-351,926	-522,852	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
10	-739,669	-844	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
11	-739,669	-844	75,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
12	-2228,08	-2606,32	30,306	1	0	1024	1536	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
13	-2101,46	-2603,7	30,306	1	0	1024	1536	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
14	-2353,46	-2603,7	30,306	1	0	1024	1536	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
15	-3262,69	-3066,23	-30	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
16	-3262,69	-3227,23	-30	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
17	-3472,08	-2460,06	-8	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	2599,93	168,062	46	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	2440,08	136,062	94	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
20	2276,08	168,062	46	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
21	2440,08	149,062	-2	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
22	1942,75	129,049	26	17	6	2048	2560	models/scenery/structural/vesuvius/signb.mdl
23	1992,75	129,049	26	17	6	2048	2560	models/scenery/structural/vesuvius/signb.mdl
24	1967,75	129,049	22	3	6	2048	2560	models/scenery/structural/vesuvius/sign.mdl
25	-3472,08	-2455,06	133	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	-3604,08	-2455,06	133	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
27	-3346,08	-2455,06	133	17	0	256	512	models/scenery/structural/ceilinglight/ceilinglight.mdl
28	-2967	-2487	23	1	6	1536	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
29	-3657,34	-2107,52	2,0685	1	6	2250	2500	models/scenery/street/powerpole/powerpole.mdl
30	-2625,1	-2381,73	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
31	-2055,71	-2105,73	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
32	-1175,9	-2280,85	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
33	-1151,43	-1866,15	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
34	251,876	-460,288	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
35	817,876	-285,288	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
36	1097,68	0,225839	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
37	2927,59	157,512	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
38	3763,11	-256,395	403,068	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
39	-1214	-520	1,58299	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
40	-2075,64	-136,56	304,04	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
41	-1865,79	819,027	456,04	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
42	-2641,49	927,819	407,04	1	6	2048	2560	models/scenery/street/powerpole/powerpole.mdl
43	-1025,12	-1073,83	1,58299	1	6	2250	2500	models/scenery/street/powerpole/powerpole.mdl
44	-110,124	-1217,29	1,58299	1	6	2250	2500	models/scenery/street/powerpole/powerpole.mdl
45	-1579	-2635	-111,574	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
46	-1572,09	-2509,67	27,3985	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
