ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-464,148	-542,266	334,52	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	218,153	-134,98	416	0	6	0	0	models/scenery/structural/609window/609win_int.mdl
2	218,221	-64,9078	272	0	6	0	0	models/scenery/structural/609window/609win_int.mdl
3	237,764	-65,2322	272	16	6	0	0	models/scenery/structural/609window/609win_ext.mdl
4	237,764	-65,2322	416	16	6	0	0	models/scenery/structural/609window/609win_ext.mdl
5	-551,759	-306,14	352	0	6	0	0	models/scenery/furniture/sink2/sink2.mdl
6	-268	-528	478,52	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
7	-393,946	-9,93201	297,506	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
8	-337,946	-9,93201	297,506	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
9	-457,946	-9,93201	297,506	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
10	184,469	-411,136	478,384	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
11	-24	-609,584	129,907	16	6	0	0	models/scenery/structural/609sconce/609sconce.mdl
12	193,946	118,932	313,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
13	193,946	189,932	313,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
14	193,946	49,932	313,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
15	-81,9386	-247,929	64	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
16	-81,9386	-179,557	64	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
17	-394,36	-1264,07	80	16	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
18	118,229	356,371	105,531	16	0	0	0	models/scenery/structural/609railing/609railingb.mdl
19	-1043,63	1568,33	164,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
20	-275,63	1562,33	164,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
21	593,37	1569,33	164,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
22	-189,532	1111,63	164,033	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
23	-3432	-3332	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
24	-3312	-3332,13	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
25	-3560	-3332	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
26	-3312	-3212	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
27	-3312	-3084	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
28	-3432	-2964	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
29	-3560	-2964	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
30	-3312	-2964	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
31	-3680	-3212	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
32	-3680,13	-3332	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
33	-3680	-3084	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
34	-3680	-2963,87	0,268005	0	6	0	0	models/scenery/structural/jewelry/pillar.mdl
35	-3624	-3020	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
36	-3624	-3148	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
37	-3624	-3276	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
38	-3431,66	-3084	80,86	18	6	0	0	models/scenery/structural/jewelry/ceilingarchdetail.mdl
39	-3431	-3213	80,86	18	6	0	0	models/scenery/structural/jewelry/ceilingarchdetail.mdl
40	-3560	-3212	80,86	18	6	0	0	models/scenery/structural/jewelry/ceilingarchdetail.mdl
41	-3560	-3084	80,86	18	6	0	0	models/scenery/structural/jewelry/ceilingarchdetail.mdl
42	-3496	-3020	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
43	-3496	-3148	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
44	-3496	-3276	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
45	-3368	-3276	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
46	-3368	-3148	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
47	-3368	-3020	139	16	6	0	0	models/scenery/structural/jewelry/ceilingarch.mdl
48	-3351	-3001	-88	0	6	0	0	models/scenery/furniture/chair/leatherchair.mdl
49	-3564	-3148	-112	0	6	0	0	models/scenery/furniture/desk_executive/desk_executive.mdl
50	-3575	-3096	-112	0	6	0	0	models/scenery/furniture/Computer_New/case.mdl
51	-3574	-3139	-76,9551	0	6	0	0	models/scenery/furniture/Computer_New/keyboard.mdl
52	-3577,5	-3158,77	-76,9551	0	6	0	0	models/scenery/furniture/Computer_New/mouse.mdl
53	-3574,36	-3159,18	-76,9551	0	6	0	0	models/scenery/furniture/Computer_New/pad.mdl
