ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-138	-2686	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
1	-228,536	-2594,46	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
2	-319,228	-2503,77	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
3	-474,843	-2840,15	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
4	-384,307	-2931,69	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
5	-23,539	-2684,54	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
6	64,46	-2595,54	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
7	-385,539	-3044,54	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
8	-474,539	-3134,54	-112	16	6	0	0	models/scenery/plants/planter/planter.mdl
9	-713,457	-2718,7	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
10	-536,457	-2894,7	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
11	-881,458	-2537,7	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
12	-805,458	-2449,32	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
13	-620,457	-2268,32	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
14	-533,554	-2181,7	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
15	-352,554	-2353,32	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
16	-170,554	-2539,32	142	0	6	0	0	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
17	-230	-2842,35	-163,035	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	-583,348	-2634,36	-83,0354	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	-634	-2583,36	-83,0354	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
20	-683,309	-2536,39	-83,0354	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
21	-495,304	-2427	-83,0354	16	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
