ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	184	1263,72	146,963	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
1	56	1263,72	147,037	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
2	440	1263,72	146,963	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
3	312	1263,72	147,037	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
4	487	1264	-64,0477	0	6	0	0	models/scenery/structural/sewer/support.mdl
5	487	1264	-9,72179	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
6	487	1264	60,5172	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
7	487	1264	131,053	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
8	487	1263,94	162,387	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
9	487	1263,94	232,924	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
10	185	648,176	146,963	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
11	57	648,176	147,037	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
12	441	648,176	146,963	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
13	313	648,176	147,037	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
14	488	648,452	-64,0477	0	6	0	0	models/scenery/structural/sewer/support.mdl
15	488	648,452	-9,72179	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
16	488	648,452	60,5172	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
17	488	648,452	131,053	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
18	488	648,388	162,387	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
19	488	648,388	232,924	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
20	17	648	-64,0477	0	6	0	0	models/scenery/structural/sewer/support.mdl
21	17	648	-9,72179	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
22	17	648,444	60,5172	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
23	67	648	101	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
24	17	648	131,053	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
25	17	647,936	162,387	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
26	17	647,936	232,924	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
27	17,1379	647,936	360,927	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
28	140	648,32	335,927	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
29	256	649	217	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
30	256	649	344,927	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
31	372	648,522	335,927	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
32	488,138	648,388	360,927	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
33	319	344,276	146,963	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
34	447	344,276	147,037	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
35	63	344,276	146,963	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
36	191	344,276	147,037	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
37	16	344	-64,0477	0	6	0	0	models/scenery/structural/sewer/support.mdl
38	16	344	-9,72179	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
39	16	344	60,5172	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
40	16	344	131,053	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
41	16	344,064	162,387	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
42	16	344,064	232,924	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
43	487	344,452	-64,0477	0	6	0	0	models/scenery/structural/sewer/support.mdl
44	487	344,452	-9,72179	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
45	487	344,452	60,5172	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
46	437	344,452	101	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
47	487	344,452	131,053	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
48	487	344,516	162,387	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
49	487	344,516	232,924	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
50	486,862	344,516	360,927	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
51	364	344,132	335,927	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
52	248	343,452	217	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
53	248	343,452	344,927	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
54	132	343,93	335,927	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
55	15,8621	344,064	360,927	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
56	126,662	974,354	369	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta.mdl
57	126,662	795,354	369	1	6	1500	2000	models/scenery/pipes/rusty_pipes/ducta.mdl
