ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	91	-179	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
1	79,3547	-187,424	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
2	83,3821	-204,15	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
3	129,792	-180,038	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
4	138,216	-191,683	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
5	173,792	-181,038	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
6	142,645	-133,576	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
7	132	-98	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
8	83,7845	-129,317	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
9	48,208	-139,962	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
10	67,0579	-133,344	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
11	92,208	-140,962	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
12	138,618	-116,85	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
13	131	-142	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
14	154,942	-187,656	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
15	90	-223	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
16	-111	44	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
17	-122,645	35,5764	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
18	-112	0	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
19	-63,7845	31,3169	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
20	-47,0578	35,3443	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
21	-71	81	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
22	-63,3821	106,15	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
23	-69	135	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
24	-118,216	93,6831	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
25	-153,792	83,0378	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
26	-134,942	89,6557	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
27	-109,792	82,0378	-30	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
28	-59,3547	89,4236	-30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
29	-28,208	41,9622	-30	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
30	-118,618	18,8498	-30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
31	-232	-227,852	-64	1	6	1500	2000	models/scenery/furniture/table/foldingtable.mdl
32	-232,962	-199,21	-30,4199	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
33	-226,344	-218,06	-30,4199	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
34	-222,317	-234,787	-30,4199	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
35	232	171,852	-64	1	6	1500	2000	models/scenery/furniture/table/foldingtable.mdl
36	232,962	143,21	-30,4199	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
37	226,344	162,06	-30,4199	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
38	222,317	178,787	-30,4199	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
39	232	87,8519	-64	1	6	1500	2000	models/scenery/furniture/table/foldingtable.mdl
40	232,962	59,2102	-30,4199	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
41	226,344	78,06	-30,4199	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
42	222,317	94,7866	-30,4199	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
43	-226,762	-207,808	202,648	16	3	0	0	models/scenery/furniture/lightc/lightc.mdl
44	234,899	-93,049	105,391	17	6	2250	2500	models/scenery/furniture/LampFloor02/LampFloor02.mdl
45	224,317	193,083	105,571	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
46	228,344	176,356	105,571	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
47	234,962	157,506	105,571	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
48	235,962	201,506	105,571	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
49	234	186,148	71,9908	1	6	1500	2000	models/scenery/furniture/table/foldingtable.mdl
50	-181,213	329,683	105,571	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
51	-196,94	329,656	105,571	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
52	-242	322	72	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
53	-170	318	105,571	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
54	-188,148	320	71,9908	1	6	1500	2000	models/scenery/furniture/table/foldingtable.mdl
