ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	345,073	-504,965	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	196,073	-356,965	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	544,073	-8,0617	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
3	619,073	-82,062	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	693,073	-156,062	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	291,062	-142,084	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
6	365,062	-67,0844	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
7	439,062	6,9156	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
8	69,0617	-365,084	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
9	143,062	-291,084	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
10	217,062	-216,084	126	0	6	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
11	253,074	-425,21	50	0	6	0	0	models/scenery/misc/Cash_Register/Cash_Register.mdl
12	253,179	-425,204	50	0	6	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
13	284,389	-29,7391	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
14	311,829	-141,403	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
15	315,647	-137,585	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
16	338,84	-114,391	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
17	342,076	-111,155	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
18	366,771	-86,46	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
19	369,705	-83,5265	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
20	393,393	-59,8385	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
21	396,957	-56,2745	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
22	284,829	-168,403	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
23	288,647	-164,585	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
24	261,645	-191,585	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
25	257,827	-195,403	25	0	0	0	0	models/scenery/misc/609handle/609handle.mdl
