ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	400,519	321,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
1	399,519	321,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
2	400,519	321,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
3	189,519	174,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
4	188,519	174,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
5	189,519	174,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
6	447,792	208,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
7	446,792	208,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
8	447,792	208,669	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
9	187,133	344,32	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
10	270,4	43,6006	-51	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
11	544,624	45,6006	-51	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
12	540,4	374,601	125,405	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
13	271,624	392,601	-51	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
14	400	96,339	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
15	399	96,339	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
16	400	96,339	124,08	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
17	459	167,669	-11,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
18	458	167,669	-11,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
19	459	167,669	-11,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
20	389	168,669	-11,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
21	388	168,669	-11,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
22	389	168,669	-11,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
23	58,3312	154	-51,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
24	56,3312	64	-51,9201	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
25	185,4	282,601	-51	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
26	43,4	392,601	-51	0	3	0	0	models/scenery/furniture/lighta/lighta.mdl
27	363	92	-132	0	6	0	0	models/scenery/structural/theatlights/theatlights.mdl
