ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-1039,53	-1750,56	-16	17	6	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
1	-1286,06	-1878,07	-40,1229	1	0	1024	1536	models/scenery/structural/sconce/sconceb.mdl
2	-1212,95	-1804,07	-40,1229	1	0	1024	1536	models/scenery/structural/sconce/sconceb.mdl
3	-749,536	-2031,46	-112	17	6	1024	1536	models/scenery/plants/planter/planter.mdl
4	-832,067	-2195,91	20,527	17	6	1024	1536	models/scenery/structural/sewer_light/sewer_light.mdl
5	-996,536	-2277,46	-112	17	6	1024	1536	models/scenery/plants/planter/planter.mdl
6	-1389,08	-2450,06	-3	1	6	1024	1536	models/scenery/structural/ceilinglight/ceilinglight.mdl
7	-1457,89	-2383,13	-16	17	6	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
8	-1546,05	-1433,76	55,5787	17	6	2250	2500	models/scenery/furniture/LampFloor02/LampFloor02.mdl
9	-1819,05	-1548,76	55,5787	17	6	2250	2500	models/scenery/furniture/LampFloor02/LampFloor02.mdl
10	-1812,9	-1299,44	24	0	6	0	0	models/scenery/furniture/librarytable/librarytable.mdl
11	-1799,47	-1334,09	24	0	6	0	0	models/scenery/furniture/Diningroom_Chairs/Diningroom_Chairs.mdl
12	-1896,35	-1354,14	24	0	6	0	0	models/scenery/furniture/Diningroom_Chairs/Diningroom_Chairs.mdl
13	-1773,31	-1306,51	24	0	6	0	0	models/scenery/furniture/Diningroom_Chairs/Diningroom_Chairs.mdl
14	-1777,55	-1252,77	24	0	6	0	0	models/scenery/furniture/Diningroom_Chairs/Diningroom_Chairs.mdl
15	-1919,55	-1289	150,4	1	6	1800	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
16	-1981,08	-1353,06	150,4	1	6	1800	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	-1908,08	-1423,06	150,4	1	6	1800	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	-1839,93	-1496,06	150,4	1	6	1800	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	-1533,08	-1366,45	150,4	1	6	1800	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
20	-1487,08	-1413,06	150,4	1	6	1800	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
