ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	2440,08	176,062	94	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	2429,08	304,062	14	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	2515,08	304,062	14	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
3	2472,08	304,062	14	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	2538,93	363,062	30	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	2474,93	363,062	30	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
6	2412,08	363,062	30	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
7	3134,93	446	-126,938	1	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
8	3134,92	526	-126,938	1	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
9	3302	591,916	-5,035	1	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
10	3246,93	639,062	124	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
11	3302	530,916	-5,035	1	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
12	3302	561,916	-5,035	1	0	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
13	2635,08	239,062	-10	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
14	2634,93	300,062	-10	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
15	2634,93	366,062	-10	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
16	2734,08	264,965	-12	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	2804,08	265,062	-12	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	2737,93	390,965	-12	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	2894,93	283,062	-12	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
20	2964,08	282,965	-12	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
21	2960,08	390,965	-12	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
22	2569,31	239,792	-7	17	6	512	768	models/scenery/structural/asphole/barlight.mdl
23	2163,16	1039,8	-53,1556	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
24	2163,16	871,631	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
25	2163,16	827,916	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
26	2163,16	659,425	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
27	2163,16	443,215	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
28	2162,84	611,707	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
29	2426,48	644,959	-85,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
30	2275,84	577,674	-77,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
31	2275,84	941,98	-77,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
32	2425,16	1091,12	-77,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
33	2427,48	852,488	-85,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
34	2607,77	518,641	-85,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
35	2756,77	515,638	-85,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
36	2425,84	426,836	-77,1987	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
37	2942,83	709,606	-86,0047	17	0	512	768	models/scenery/structural/vesuvius/bartap.mdl
38	2998,74	586,465	-86	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Register.mdl
39	2998,67	586,386	-86	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
40	2726,2	416,474	-49,3349	17	0	512	768	models/scenery/misc/stage_props/frame_blank.mdl
41	2515,95	416,474	-49,3349	17	0	512	768	models/scenery/misc/stage_props/frame_blank.mdl
42	2026,84	612,836	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
43	2027,16	442,836	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
44	2026,84	828,327	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
45	2026,84	659,836	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
46	2027,16	1040,01	-53,1556	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
47	2027,16	871,836	-52,8444	17	6	512	768	models/scenery/structural/vesuvius/table_lamp.mdl
48	3024	659	-89,5344	16	0	0	0	models/scenery/structural/vesuvius/bar.mdl
49	3024	841	-89,5344	16	0	0	0	models/scenery/structural/vesuvius/bar.mdl
50	2580,6	1103,5	-49,3349	17	0	512	1024	models/scenery/misc/stage_props/frame_blank.mdl
51	2785	1103,5	-49,3349	17	0	512	1024	models/scenery/misc/stage_props/frame_blank.mdl
52	2644,94	199,574	-101	0	6	0	0	models/scenery/structural/vesuvius/atm.mdl
53	3032	561,426	-51,0672	16	0	0	0	models/scenery/structural/vesuvius/vip.mdl
54	3210,4	516,882	63,701	17	0	512	1024	models/scenery/misc/stage_props/frame_blank.mdl
