ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-1184	-1353	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
1	-1184	-2368	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
2	-735	-2953	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
3	-737	-3784	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
4	-1632	-3448	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
5	-1352	-2783	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
6	-1017	-3616	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
7	-1184	-4277	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
8	-1016	1249	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
9	-2017	1079	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
10	-353	1080	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
11	3167,93	320,259	-492,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
12	3168	-1216	-514	16	0	0	0	models/scenery/structural/SewerParts/RoundRoom.mdl
13	-2017	1417	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
14	-1184	833	-482	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
15	-1182	-183	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
16	-1352	-3616	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
17	-1017	-2783	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
18	-1184	-3785	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
19	-737	-2616	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
20	-1183	-2615	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
21	-1184	-1600	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
22	-1353	-1183	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
23	-2016	-1016	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
24	-1848	-352	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
25	-186	-1183	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
26	1504	-1016	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
27	2335	2424	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
28	2503	1760	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
29	3167	1927	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
30	3000	2592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
31	1672	2592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
32	1504	1928	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
33	1504	-264	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
34	1335	-96	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
35	2336	-265	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
36	3168	-263	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
37	3168	-749	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
38	1504	704	-353	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
39	1502	2424	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
40	2504	2592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
41	3167	2425	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
42	3000	1760	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
43	2337	1930	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
44	1672	1762	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
45	1336	-1182	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
46	-353	-1354	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
47	-352	-183	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
48	-1352	-350	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
49	-2017	-520	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
50	-1849	-1183	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
51	-1186	-1016	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
52	-1632	-2615	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
53	-737	-3448	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
54	-1632	-3784	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
55	-1465	-2783	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
56	-904	-3616	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
57	-1184	448	-607	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
58	-1352	1248	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
59	-354	1416	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
60	-1848	1249	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
61	-1180,54	-4735,46	-498	16	0	0	0	models/scenery/structural/SewerParts/BigFanFrame.mdl
62	3168	-1216	16	16	0	0	0	models/scenery/structural/SewerParts/BigFanFrame.mdl
63	-520	1249	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
64	-1184	1080	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
65	-1183	65	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
66	-1465	-3616	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
67	-905	-2783	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
68	-1632	-2952	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
69	-1184	-3447	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
70	-1184	-2952	-990	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
71	-1184	-1984	-864	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
72	-1017	-1184	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
73	-2184	-1184	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
74	-2016	-184	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
75	3584,26	2592,07	-236,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
76	2504	-96	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
77	2167	-96	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
78	1671	-96	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
79	1504	72	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
80	1504	320	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
81	1504	1592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
82	1336	2592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
83	3336	2592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
84	2167	1760	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
85	1504	-640	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
86	1673	-1185	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
87	1087	-1183	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
88	64	-1183	-733	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
89	-520	-1184	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
90	-352	-1015	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
91	-522	-351	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
92	-1017	-352	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
93	-354	-520	-735	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
94	576	-1185	-605	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
95	2167	2592	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
96	1504	1088	-222	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
97	3168	72	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
98	2999	-96	-478	16	0	0	0	models/scenery/structural/SewerParts/SewerArchStandard.mdl
99	-2015,93	64,2593	-748,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
100	-351,928	64,2593	-748,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
101	-831,741	-1184,07	-748,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
102	-704,259	-1184,07	-748,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
103	1920,26	-1184,07	-492,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
104	1087,74	-96,0718	-492,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
105	1087,74	2592,07	-236,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
106	3583,26	1758,49	-236,572	16	0	0	0	models/scenery/structural/SewerParts/TunnelCap1.mdl
