ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	3776,91	-4095,38	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
1	4046,84	-4118,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
2	3489,8	-4356,47	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
3	3140,81	-4107,46	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
4	4104,8	-4036,75	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
5	4104,76	-3910,79	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
6	4104,76	-3782,79	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
7	4020,51	-4710,59	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
8	3044,51	-3587,59	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
9	2526,82	-3561,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
10	2769	-3802	-7316	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
11	2968	-4099	-7304	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
12	2502	-3617	-7301	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
13	2077	-3710	-7301	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
14	2077	-3639	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
15	2077	-3568	-7301	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
16	3136	-4010	-7349,62	17	0	256	512	models/scenery/structural/stake/labldgbs12.mdl
17	3136	-3883	-7349,62	17	0	256	512	models/scenery/structural/stake/labldgbs12.mdl
18	3136	-3755	-7349,62	17	0	256	512	models/scenery/structural/stake/labldgbs12.mdl
19	3136	-3626	-7349,62	17	0	256	512	models/scenery/structural/stake/labldgbs12.mdl
20	3394	-4104	-7184	17	0	512	1024	models/scenery/structural/stake/lionhead.mdl
21	3136	-3830	-7184	17	0	512	1024	models/scenery/structural/stake/lionhead.mdl
22	2129	-3735	-7424	0	6	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses2.mdl
23	2292,15	-3610,49	-7423	0	6	0	0	models/scenery/trash/greendumpster/greendumpster.mdl
24	2437,15	-3610,49	-7423	0	6	0	0	models/scenery/trash/yellowdumpster/yellowdumpster.mdl
25	2501,68	-3689,32	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
26	3864	-4743	-7424	0	6	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses2.mdl
27	4073	-4498	-7423	0	6	0	0	models/scenery/trash/greendumpster/greendumpster.mdl
28	2199	-14,6983	725,867	0	6	0	0	models/scenery/structural/hollywood/overpassrail_hol.mdl
29	2210	-32	734	0	6	0	0	models/scenery/structural/santamonica/freewaysignb.mdl
30	2210	-17,1218	732,638	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
31	2211,63	-45,6336	733,138	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
32	2156	44	744	16	6	0	0	models/scenery/structural/asphole/bilboardasky.mdl
33	2250	16	729	16	6	0	0	models/scenery/structural/asphole/bilboardasky.mdl
34	1883,2	160,882	1018,05	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop02.mdl
35	2159,46	-77,8863	936	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop05.mdl
36	2199,3	52,8591	885	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
37	2347,67	-0,361965	992	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop04.mdl
38	2347,74	148,564	1104	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop02.mdl
39	2195,97	19,5637	998	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
40	1977,89	513,05	1185	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop02.mdl
41	2015,81	453,325	1043	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
42	1780,27	323,262	1157	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop02.mdl
43	1781	359	1101	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
44	1781	287	1101	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
45	1898,72	476,218	1147	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop02.mdl
46	2054,21	-122,334	1102	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop05.mdl
47	1967	-122	1102	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop05.mdl
48	2191,61	118,335	961	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
49	1896	100	951	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
50	2126	299,711	918	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
51	2223,36	-115,317	856	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
52	2245,59	-121,638	856	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
53	2267,5	-115,317	856	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
54	2324	-102	945	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
55	2114	-17,1218	733,138	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
56	2503	-3781	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
57	2502	-3766	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
58	2290	-3781	-7301	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
59	2361	-3781	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
60	2432	-3781	-7301	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
61	2148	-3781	-7301	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
62	2077	-3781	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
63	2219	-3781	-7348	1	6	1800	2500	models/scenery/street/fencepost/fencepost.mdl
64	2072	-14,6983	725,867	0	6	0	0	models/scenery/structural/hollywood/overpassrail_hol.mdl
65	1827,31	-84,5511	1043	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
66	2220,18	424,536	951	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
67	2240,18	424,536	951	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
68	4160	-4250	-7336	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
69	2907,08	-3797,19	-7423	0	6	0	0	models/scenery/trash/greendumpster/greendumpster.mdl
70	2163	291	1157	16	0	0	0	models/scenery/structural/la/clouds.mdl
71	2163	291	1209	16	0	0	0	models/scenery/structural/la/clouds.mdl
72	2160	60	742	16	6	0	0	models/scenery/structural/asphole/bilboardasky.mdl
73	2748,58	-4211,68	-7366	0	6	0	0	models/scenery/trash/barrels/barrele.mdl
74	2645	-4062	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
75	2405	-4080	-7238	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
76	2343	-4215	-7389	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
77	2311	-3920	-7348	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
78	2471	-3920	-7281	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
79	2559	-3920	-7246	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
80	2540	-3924	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
81	2366	-3924	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
82	2280	-3918	-7240	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
83	2218	-3870	-7387	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
84	2767	-4186	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailrustedbase.mdl
85	2613	-3931	-7135	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
86	2223	-4152	-7203	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
87	2780	-4151	-7134	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
88	2613	-4152	-7203	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
89	2455	-4152	-7203	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
90	2231	-3931	-7135	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
91	2455	-3931	-7135	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
92	2780	-3930	-7135	1	6	1800	2500	models/scenery/structural/ganglight/ganglight.mdl
93	2780	-4101	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
94	2453	-3924	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
95	2391	-3920	-7314	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
96	2561	-4076	-7244	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
97	2241	-4072	-7247	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
98	2159	-4066	-7318	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
99	2324	-4064	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
100	2732	-4062	-7232	1	6	1800	2500	models/scenery/structural/handrailb/handrailb.mdl
101	2764,86	-4223,42	-7215,36	16	6	0	0	models/scenery/structural/warehouse/break_crate.mdl
102	2648	-4498	-7425	1	6	1800	2500	models/scenery/vehicles/trailer/trailer_1pc.mdl
103	2425	-4496	-7425	1	6	1800	2500	models/scenery/vehicles/trailer/trailer_1pc.mdl
