ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1518,51	-2205,39	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
1	1518,51	-2205,39	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
2	1508,51	-3774,39	551,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
3	1590,51	-2568,39	551,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
4	2358,51	-2743,39	551,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
5	2066,51	-4068,39	551,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
6	1583,51	-3680,39	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
7	1583,51	-3680,39	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
8	1796,51	-4069,39	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
9	1796,51	-4069,39	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
10	2265,56	-3158,59	361,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
11	1950,56	-4059,39	743,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
12	2264,51	-3579,39	743,138	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
13	2037,56	-3040,39	-145,862	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
14	3072	-2368	640	0	0	0	6	0	0	0	models/scenery/structural/bradbury/lantern.mdl
15	3328	-2368	640	0	0	0	6	0	0	0	models/scenery/structural/bradbury/boardstatic.mdl
16	2944	-2368	640	0	0	0	6	0	0	0	models/scenery/structural/bradbury/boardsa.mdl
17	2624	-3446,56	192	0	0	0	0	0	0	0	models/scenery/structural/brad_rails/brad_rails2.mdl
18	2624	-3446	0,0615234	0	0	0	0	0	0	0	models/scenery/structural/brad_rails/brad_rails2.mdl
19	2627	-3448	-190	0	0	0	0	0	0	0	models/scenery/structural/brad_rails/brad_rails2.mdl
20	1680	-2965	149	0	0	0	6	0	0	0	models/scenery/structural/brad_elevator/brad_elevator.mdl
21	1793,56	-3520,59	-144,86	0	0	0	6	16	0	0	models/scenery/trash/barrels/barrelf.mdl
22	2171	-2965,23	146	0	180	0	6	0	0	0	models/scenery/structural/brad_elevator/brad_elevator.mdl
23	1490	-3833	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
24	1490	-3705	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
25	1490	-3577	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
26	1490	-3449	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
27	1490	-3321	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
28	1490	-3193	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
29	1490	-3065	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
30	1490	-2937	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
31	1490	-2681	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
32	1490	-2553	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
33	1490	-2425	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
34	1490	-2297	866	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
35	2122	-4080	870,428	0	90	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
36	1994	-4080	870,428	0	90	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
37	1866	-4080	870,428	0	90	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
38	1610	-4080	870,428	0	90	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
39	2365,47	-2425	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
40	2365,47	-2553	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
41	2365,47	-2681	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
42	2365,47	-2937	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
43	2365,47	-3065	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
44	2365,47	-3193	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
45	2365,47	-3577	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
46	2365,47	-3833	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
47	2365,47	-3961	866	0	180	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
48	1735,83	-2176	866	0	270	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
49	1863,83	-2176	866	0	270	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
50	1991,83	-2176	866	0	270	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
51	2247,83	-2176	866	0	270	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
52	1490	-3961	666	0	0	0	6	0	0	0	models/scenery/structural/bradbury/sconce1.mdl
