ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-137,146	-66,1542	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
1	827,163	143,224	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
2	837,854	-674,776	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
3	-260,837	-852,776	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
4	270,854	-63,1542	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
5	779,163	-444,776	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
6	129,163	97,2239	25,1382	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
7	931,163	-1216,78	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
8	111,163	-704,776	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
9	-172,146	-1000,78	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
10	416,854	-218,776	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
11	311,854	-381,776	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
12	-302,837	-484,776	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
13	-14,8367	3,22388	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
14	577,163	-1283,15	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
15	984,854	-665,154	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
16	329,163	9,22388	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
17	246,854	-1378,78	-262,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
18	-108	502	-428,806	0	6	0	0	models/scenery/furniture/toileta/toileta.mdl
19	-108	570	-428,806	0	6	0	0	models/scenery/furniture/toileta/toileta.mdl
20	160	877	-428,806	0	6	0	0	models/scenery/furniture/toileta/toileta.mdl
21	228	877	-428,806	0	6	0	0	models/scenery/furniture/toileta/toileta.mdl
22	866,854	-1226,15	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
23	347,163	-994,776	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
24	395,163	-51,1542	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
25	-668,837	-695,154	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
26	-769,837	-59,1542	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
27	-480,837	287,224	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
28	-247,146	-576,776	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
29	8,85361	799,224	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
30	847,163	688,846	-422,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
31	-105,146	746,846	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
32	96,8536	-235,154	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
33	235,163	203,224	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
34	404,854	-155,154	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
35	-344,837	-16,7761	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
36	-315,146	-744,776	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
37	-856,837	55,2239	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
38	-652,837	55,2239	-606,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
39	-648,837	-95,1542	-606,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
40	-457,819	-24,9849	-532,974	16	6	0	0	models/scenery/structural/chandelier/chandelier2.mdl
41	4,85361	51,2239	-732,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
42	-32	-196	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
43	-4	-128	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
44	-200	68	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
45	-36	68	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
46	-100	67	64	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
47	332	0	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
48	331	-97	64	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
49	332	-164	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
50	652	32	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
51	653	-47	64	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
52	652	-128	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
53	765	68	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
54	852	68	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
55	856	-197	64	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
56	796	-196	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
57	-232	-780	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
58	-296	-780	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
59	-196	-976	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
60	-196	-812	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
61	356	-356	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
62	452	-356	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
63	720	-356	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
64	840	-356	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
65	900	-356	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
66	868	-672	64	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
67	624	-740	64	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
68	940	-356	64	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
69	492	-202	55,9045	17	6	1024	2024	models/scenery/structural/bradbury/boardsb.mdl
70	478	-152	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
71	360	289	-98	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
72	37	-717	0	17	6	1024	2024	models/scenery/misc/debris/debris5.mdl
73	468	273	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
74	-10	-162	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
75	94	-365	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
76	-244	-304	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
77	-414	-968	0	17	6	1024	2024	models/scenery/misc/debris/debris5.mdl
78	-273	-992	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
79	-248	-646	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
80	65	121	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
81	401	-201	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
82	33	-658	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
83	918	-278	0	17	6	1024	2024	models/scenery/misc/debris/debris5.mdl
84	615	-337	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
85	216	-48	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
86	609	138	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
87	705	32	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
88	911	1	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
89	688	159	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
90	929	267	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
91	784	-608	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
92	704	-504	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
93	336	-536	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
94	273	-415	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
95	160	-586	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
96	-225	-2	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
97	-188	-139	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
98	-374	-461	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
99	-38	137	0	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
100	-194	205	1	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
101	-84	-380	-224	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
102	12	-380	-224	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
103	368	-156	-224	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
104	368	-88	-224	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
105	220	-444	-224	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
106	304	-444	-224	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
107	896	-1092	-224	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
108	1012	-1304	-224	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
109	1011	-1168	-224	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
110	976	-460	-224	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
111	880	-461,05	-224	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
112	576	-1173,05	-224	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
113	496	-1172	-224	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
114	612	-1272	-224	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
115	692	-1060	-224	0	6	0	0	models/scenery/structural/bradbury/piecea.mdl
116	688	-964	-224	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
117	-241	-419	-285	17	6	1024	2024	models/scenery/misc/debris/debris5.mdl
118	-267	-1020	-285	17	6	1024	2024	models/scenery/misc/debris/debris5.mdl
119	131	-494	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
120	264	-1240	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
121	186	-233	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
122	769	-1080	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
123	1026	-782	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
124	1054	-241	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
125	-119	-389	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
126	-107	-296	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
127	-61	-1008	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
128	542	-235	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
129	917	-419	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
130	660	-608	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
131	772	-1372	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
132	748	-592	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
133	741	8	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
134	846	-76	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
135	451	8	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
136	385	2	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
137	134	31	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
138	-76	10	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
139	29	-545	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
140	-214	-544	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
141	-214	-882	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
142	-5	-787	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
143	269	-788	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
144	218	-787	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
145	634	-1008	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
146	663,287	-1011,71	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
147	670	-1253	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
148	1092	-1013	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
149	379	-472	-287	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
150	393	-417	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
151	226	-555	-288	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
152	-132	384	-384	0	6	0	0	models/scenery/structural/bradbury/wall_1char.mdl
153	-732	-88	-384	0	6	0	0	models/scenery/structural/bradbury/wall_1char.mdl
154	-572	156	-384	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
155	-572,981	248	-384	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
156	-572	384	-384	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
157	160	644	-384	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
158	72	643	-384	0	6	0	0	models/scenery/structural/bradbury/pieced.mdl
159	-64	643,981	-384	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
160	540	328	-384	0	6	0	0	models/scenery/structural/bradbury/piecec.mdl
161	1092	624	-384	0	6	0	0	models/scenery/structural/bradbury/wall_1char.mdl
162	-25,7378	-352,42	-432	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
163	10,2622	-412,42	-432	16	6	0	0	models/scenery/furniture/table/table.mdl
164	-8	-115,968	-427	16	6	0	0	models/scenery/furniture/table/table.mdl
165	43,088	-154,036	-438	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
166	-56	-112	-432	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
167	757,494	-421,38	-432	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
168	827,497	-408	-418	16	6	0	0	models/scenery/furniture/table/table.mdl
169	864	-456	-438	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
170	824,633	-94,6496	-432	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
171	773,52	-44,9801	-418	16	6	0	0	models/scenery/furniture/table/table.mdl
172	791,891	30,2502	-438	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
173	384	-96	-320	17	6	1500	2000	models/scenery/structural/chandelier/chandeliermount.mdl
174	56	-96	-445	16	6	0	0	models/scenery/structural/chandelier/chandelier2.mdl
175	328	80	-448	0	6	0	0	models/scenery/furniture/Couch_Vic_burnt/Couch_Vic_burnt.mdl
176	256	-256	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
177	62	134	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
178	512	-216	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
179	486	-64	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
180	794	-326	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
181	807	58	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
182	760	113	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
183	721	-389	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
184	70	-401	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
185	30	38	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
186	202	-996	-447	1	6	1024	2024	models/scenery/misc/debris/debris5.mdl
187	296	-1025	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
188	304	-949	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
189	-597	-952	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
190	-690	-748	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
191	-630	-334	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
192	-685	-168	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
193	-695	25	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
194	-588	173	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
195	793	-1269	-448	0	6	0	0	models/scenery/furniture/Couch_Vic_burnt/Couch_Vic_burnt.mdl
196	853	-1275	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
197	993	-1154	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
198	-540	-735	-415	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
199	-536	-617	-396,913	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
200	-415,202	-341,49	-396,913	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
201	-317	-317	-434	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
202	-376	-323	-384	0	6	0	0	models/scenery/structural/bradbury/pieceb.mdl
203	-504	-187	-384	0	6	0	0	models/scenery/structural/bradbury/wall_mid.mdl
204	-209	-220	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
205	-525	-66	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
206	-485	506	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
207	-505	561	-405	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
208	-333	412	-434	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
209	-224	580	-415	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
210	-326	614	-396,913	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
211	-448,483	49,7597	-396,913	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
212	-524,773	62,9949	-415	0	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
213	-918	-101	-438	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
214	-870	-225	-431	16	6	0	0	models/scenery/furniture/CoffeeTable1_burnt/CoffeeTable1_Burnt.mdl
215	-939	-356	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
216	-929	126	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
217	-792	14	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
218	183	485	-417,806	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
219	183	570	-417,806	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
220	349	657	-417,806	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
221	264	657	-417,806	0	6	0	0	models/scenery/furniture/sinka/sinka.mdl
222	18	341	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
223	160	398	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
224	-58	840	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
225	349	818	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
226	328	520	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
227	240	438	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
228	652	728	-448	0	6	0	0	models/scenery/furniture/Couch_Vic_burnt/Couch_Vic_burnt.mdl
229	888	500	-448	0	6	0	0	models/scenery/furniture/Couch_Vic_burnt/Couch_Vic_burnt.mdl
230	1031,18	744,764	-432	16	6	0	0	models/scenery/furniture/table/table.mdl
231	999,913	704,184	-438	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
232	995,175	804,764	-432	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
233	1018,5	456,13	-418	16	6	0	0	models/scenery/furniture/table/table.mdl
234	1069,58	397,931	-438	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
235	948,494	442,75	-432	16	6	0	0	models/scenery/furniture/ChairWingBack_burnt/ChairWingBack_burnt.mdl
236	889	789	-446	0	6	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses2.mdl
237	708	452	-447	0	6	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses1.mdl
238	513	760	-447	0	6	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses1.mdl
239	522	439	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
240	1084	620	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
241	564,714	618,733	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
242	795	783	-447,449	17	6	1024	2024	models/scenery/misc/debris/debris.mdl
243	798	431	-447	17	6	1024	2024	models/scenery/misc/debris/debris2.mdl
