ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	370	260	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
1	370	40	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
2	446	260	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
3	510	40	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
4	408	390	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
5	624	330	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
6	208	330	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
7	178	544	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
8	178	816	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
9	144	1022	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
10	64	650	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
11	-90	544	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
12	-150	816	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
13	-56	330	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
14	-184	1030	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
15	-406	1072	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
16	-406	928	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
17	654	544	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
18	594	816	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
19	560	1022	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
20	768	710	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
21	-442	1072	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
22	-442	928	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
23	706	508	179,466	16	0	0	0	models/scenery/structural/vesuvius/bar.mdl
24	637,322	383,861	224	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
25	665,322	383,861	224	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	545,697	198	214	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
27	545,697	281	214	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
28	567	603	136,095	1	3	1500	2000	models/scenery/furniture/sink2/sink2w.mdl
29	501	603	136,095	1	3	1500	2000	models/scenery/furniture/sink2/sink2w.mdl
30	563	612,93	245,095	1	3	1500	2000	models/scenery/structural/theatlights/theatlights.mdl
31	504	612,93	245,095	1	3	1500	2000	models/scenery/structural/theatlights/theatlights.mdl
32	443,087	492	202,095	1	3	2250	2500	models/scenery/furniture/showercurtain/showercurtain.mdl
33	419,087	441	227,095	1	3	2250	2500	models/scenery/furniture/showerhead/showerhead.mdl
34	1329,86	1753,89	644,667	16	6	0	0	models/scenery/furniture/desk_executive/desk_executive.mdl
35	1362,36	1751,08	645	0	0	0	0	models/scenery/furniture/chair/office_chair.mdl
36	1376	1720	691	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
37	894,303	539	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
38	673,697	404	87	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
39	460	184	99	0	6	0	0	models/scenery/structural/chantbanister/chantbanister.mdl
40	-338	933	1	0	6	0	0	models/scenery/furniture/couch_vic/Couch_Vic.mdl
41	-338	1067	1	0	6	0	0	models/scenery/furniture/couch_vic/Couch_Vic.mdl
42	-488	864	25	0	6	0	0	models/scenery/furniture/chair/leatherchair.mdl
43	-647	1092	26	0	6	0	0	models/scenery/furniture/couch/leathercouch.mdl
44	-837	1001	54	16	0	0	0	models/scenery/structural/chantfireplace/chantfireplace.mdl
45	-637	1001	1	0	6	0	0	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
46	-647	916	26	0	6	0	0	models/scenery/furniture/couch/leathercouch.mdl
47	-488	1136	25	0	6	0	0	models/scenery/furniture/chair/leatherchair.mdl
48	-432	1122	64	0	6	0	0	models/scenery/furniture/Paintings/painting4.mdl
49	-432	881	68	0	6	0	0	models/scenery/furniture/Paintings/painting2.mdl
50	-575,051	916,541	18	0	6	0	0	models/scenery/furniture/CoffeeTable1/chanttbl.mdl
51	-821	1000	219	16	0	0	0	models/scenery/structural/conflightb/conflightb.mdl
52	-575,051	1087,54	18	0	6	0	0	models/scenery/furniture/CoffeeTable1/chanttbl.mdl
53	-845,164	999,999	12,9934	16	6	0	0	models/scenery/misc/GasLogs/GasLogs.mdl
54	749	24	155,751	1	6	1500	2000	models/scenery/furniture/3Leg_Table/3Leg_Table.mdl
55	681,678	8	195	16	0	0	0	models/scenery/structural/stake/stkwndwa.mdl
56	765	92,5811	195	16	0	0	0	models/scenery/structural/stake/stkwndwa.mdl
57	765	220,465	195	16	0	0	0	models/scenery/structural/stake/stkwndwa.mdl
58	765	348,643	195	16	0	0	0	models/scenery/structural/stake/stkwndwa.mdl
59	581	89,1636	137,173	0	6	0	0	models/scenery/furniture/Fancybed/fancybed.mdl
60	545	158,164	137,173	0	6	0	0	models/scenery/furniture/Dresser1/Dresser1_Solid.mdl
61	595	8	185,173	1	6	2250	2500	models/scenery/furniture/Paintings/painting4.mdl
62	557,905	238	128	16	6	0	0	models/scenery/furniture/desk_executive/desk_executive_nodrawer.mdl
63	564,741	255,625	171,186	0	6	0	0	models/scenery/furniture/Computer_New/mouse.mdl
64	570	236	171,186	0	6	0	0	models/scenery/furniture/Computer_New/keyboard.mdl
65	536,836	238,869	186,173	1	6	2250	2500	models/scenery/furniture/Paintings/painting2.mdl
66	-856	1133	93	0	6	0	0	models/scenery/structural/malkavian/malkbcase1.mdl
67	-856	871	93	0	6	0	0	models/scenery/structural/malkavian/malkbcase1.mdl
68	651,384	383,777	213	17	0	512	768	models/scenery/structural/vesuvius/glass_rack.mdl
69	558,549	33,1636	179,591	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
70	546,303	275,61	176,41	0	6	0	0	models/scenery/furniture/BookStack/BookStack01.mdl
71	554,303	261,61	176,41	0	6	0	0	models/scenery/furniture/BookStack/BookStack01.mdl
72	592	72	170,505	0	6	0	0	models/scenery/furniture/BookOpen/BookOpen.mdl
73	615	425	174	0	0	0	0	models/scenery/furniture/DeskClock/DeskClock.mdl
74	676	357	153	0	6	0	0	models/scenery/furniture/barstool/barstoolb.mdl
75	648,23	356,988	153	0	6	0	0	models/scenery/furniture/barstool/barstoolb.mdl
76	619,23	356,988	153	0	6	0	0	models/scenery/furniture/barstool/barstoolb.mdl
77	762	245	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
78	762	194	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
79	761,44	373,64	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
80	761,44	322,64	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
81	761,44	67,3604	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
82	761,44	118,36	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
83	655,64	11,4396	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
84	706,64	11,4396	184,29	16	6	0	0	models/scenery/structural/diner/curtainsc.mdl
85	395,087	560	154,194	1	6	1500	2000	models/scenery/furniture/toileta/toileta.mdl
86	491,752	609,671	181	16	6	0	0	models/scenery/misc/toothbrush/toothbrush.mdl
87	510,752	609,671	181	16	6	0	0	models/scenery/misc/soap/soap.mdl
88	408	530	162	0	6	0	0	models/scenery/misc/toiletpaperholder/toiletpaperholder.mdl
89	496	449,697	214	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
90	726,044	623,568	86	0	6	0	0	models/scenery/structural/malkavian/malkbcase1.mdl
91	850	624	86	0	6	0	0	models/scenery/structural/malkavian/malkbcase1.mdl
92	819,956	328,398	86	0	6	0	0	models/scenery/structural/malkavian/malkbcase1.mdl
93	868	533	25	0	6	0	0	models/scenery/furniture/chair/leatherchair.mdl
94	880	476	17,9569	1	6	512	768	models/scenery/furniture/CoffeeTable1/chanttbl.mdl
95	765,535	473,893	29,2939	1	6	2250	2500	models/scenery/structural/malkavian/malk_candle.mdl
96	767	472	14,6821	1	6	512	768	models/scenery/furniture/CoffeeTable1/chanttbl2.mdl
97	774,697	483,563	34,3127	0	6	0	0	models/scenery/furniture/BookStack/BookStack01.mdl
98	766,697	497,563	34,41	0	6	0	0	models/scenery/furniture/BookStack/BookStack01.mdl
99	708,943	355,739	25	0	6	0	0	models/scenery/furniture/chair/leatherchair.mdl
100	685	405	17,9569	1	6	512	768	models/scenery/furniture/CoffeeTable1/chanttbl.mdl
101	897	405	86	0	6	0	0	models/scenery/structural/malkavian/malkbcase1.mdl
102	0	0	0	0	0	0	0	models/scenery/structural/sconce/sconceb.mdl
