ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	332	152	110	16	6	0	0	models/scenery/structural/confhandrail/confhandrailb.mdl
1	332	152	68	16	6	0	0	models/scenery/structural/confhandrail/confstairsa.mdl
2	576	1510	231	16	6	0	0	models/scenery/structural/confhandrail/confstairsb.mdl
3	576	1576	231	16	6	0	0	models/scenery/structural/confhandrail/confstairsc.mdl
4	576	1544	229	16	6	0	0	models/scenery/structural/confhandrail/confstairsd.mdl
5	320	152	67	16	6	0	0	models/scenery/structural/confhandrail/confstairse.mdl
6	576	22	172	17	6	512	256	models/scenery/structural/conflight/conflight.mdl
7	392	708	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
8	392	437	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
9	392	1468	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
10	763	1468	490	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
11	763	708	490	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
12	763	437	490	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
13	136	966	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
14	137	1210	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
15	1015	1210	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
16	1014	966	491	16	0	0	0	models/scenery/furniture/speakerbox/confspeaker.mdl
17	575	908	272	16	0	0	0	models/scenery/structural/confhandrail/confhandrail.mdl
18	208	1208	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
19	105	1208	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
20	576	1855	332	16	6	0	0	models/scenery/furniture/couch_vic/Couch_Vic.mdl
21	208	968	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
22	105	968	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
23	1046	1209	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
24	943	1209	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
25	1046	969	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
26	943	969	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
27	769	1486	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
28	769	1383	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
29	768	750	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
30	768	647	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
31	768	496	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
32	768	393	94	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
33	480	864	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
34	480	824	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
35	480	744	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
36	480	784	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
37	480	664	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
38	480	704	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
39	480	584	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
40	480	624	19	16	2	0	0	models/scenery/furniture/barstool/barstoolb.mdl
41	575	1793	332	16	6	0	0	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
42	402	1703	333	16	6	0	0	models/scenery/furniture/ChairWingBack/ChairWingBack.mdl
43	725	1708	333	16	6	0	0	models/scenery/furniture/ChairWingBack/ChairWingBack.mdl
44	523	258	119	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
45	576	1642	443	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
46	575,212	1779,53	105	16	6	0	0	models/scenery/structural/pulpit/pulpit.mdl
47	576,788	1615,47	313	16	6	0	0	models/scenery/structural/gallight/gallight.mdl
48	739	1701	312	16	6	0	0	models/scenery/structural/gallight/gallight.mdl
