ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-100	-112	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
1	108	124,004	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
2	-240	60	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
3	-63,9956	324	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
4	132	384,004	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
5	-639,996	0	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
6	639,996	2,09808E-05	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
7	-104	384,004	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
8	-165	640	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
9	-191,996	-380	86,2661	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
10	-520	751,996	339,22	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
11	-383,996	568	302,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
12	-218	735,996	430,22	16	6	0	0	models/scenery/structural/bradbury/sconce2.mdl
13	23,9956	567	544,048	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
14	-87,9956	328	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
15	36	127,996	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
16	624	160,004	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
17	952	148	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
18	1048	-460	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
19	316	-472,004	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
20	-84	-567,996	589,219	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
21	-503,996	-852	307,047	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
22	-996	-864	307,047	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
23	-1428	-959,996	307,047	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
24	-1308	-959,996	307,047	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
25	-1416	-284	307,047	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
