ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-240,19	735,94	-18,2019	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
1	-240,19	735,94	-113,682	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
2	-296	736	-18,0419	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
3	-296	736	-113,522	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
4	-223,761	754,653	11,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
5	-223,971	733,653	16,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
6	-245	711,971	16,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
7	-223,971	712,133	11,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
8	-265,34	711,641	11,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
9	240,19	735,94	-18,2019	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
10	240,19	735,94	-113,682	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
11	296	736	-18,0419	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
12	296	736	-113,522	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
13	223,761	754,653	11,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
14	223,971	733,653	16,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
15	245	711,971	16,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
16	223,971	712,133	11,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
17	265,34	711,641	11,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
18	272	-288	-82,1592	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
19	272	-288	-121,639	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
20	-408	-288	-82,1592	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
21	-408	-288	-121,639	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
22	-2,9547	-704,243	-46,262	16	0	0	0	models/scenery/structural/sewer/sew_stair.mdl
23	226,66	905,641	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
24	247	905,971	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
25	205,653	905,971	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
26	185,313	905,641	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
27	164,773	905,996	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
28	144,433	905,666	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
29	123,426	905,996	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
30	103,086	905,666	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
31	82,5992	906,119	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
32	62,2592	905,789	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
33	41,2523	906,119	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
34	20,9123	905,789	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
35	0,0862885	906,02	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
36	-20,2537	905,69	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
37	-41,2606	906,02	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
38	-61,6006	905,69	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
39	-82,1407	906,046	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
40	-102,481	905,716	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
41	-123,488	906,046	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
42	-143,828	905,716	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
43	-164,314	906,168	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
44	-184,654	905,838	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
45	-205,661	906,168	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
46	-226,001	905,838	16,0781	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
47	-246,823	906,151	21,0781	0	0	0	0	models/scenery/structural/dane/railing.mdl
48	724,162	-2477,85	84,5787	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
49	724,492	-2498,19	89,5787	0	0	0	0	models/scenery/structural/dane/railing.mdl
50	724,492	-2456,84	89,5787	0	0	0	0	models/scenery/structural/dane/railing.mdl
51	724,162	-2436,5	84,5787	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
52	724,517	-2415,96	89,5787	0	0	0	0	models/scenery/structural/dane/railing.mdl
53	724,187	-2395,62	84,5787	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
54	724,517	-2374,61	89,5787	0	0	0	0	models/scenery/structural/dane/railing.mdl
55	724,187	-2354,27	84,5787	0	0	0	0	models/scenery/structural/dane/railing_post.mdl
