ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-436,195	-842,712	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
1	-259,409	-725,282	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
2	476,572	-842,718	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
3	477,295	-725,119	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
4	-437,579	-559,642	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
5	-437,579	-192,278	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
6	645,795	-200,034	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
7	645,357	-547,488	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
8	-294,572	26,7178	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
9	501,428	26,7178	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
10	109,409	-57,77	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
11	170,718	228,572	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
12	53,3817	399,53	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
13	-16,4095	-176,23	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
14	-222,409	-85,23	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
15	-346,718	-203,409	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
16	-346,718	-455,409	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
17	554,775	-221,203	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
18	554,803	-474,573	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
19	438,591	-85,23	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
20	232,428	-176,282	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
21	-71,5905	-471,718	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
22	100,409	-471,718	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
23	271,409	-471,718	-384	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
24	103,445	-799,535	-320	16	6	0	0	models/scenery/structural/malkavian/malklight2.mdl
25	256,915	-323,99	-295	1	6	1500	2000	models/scenery/structural/chandelier/chandelier2.mdl
26	256,915	-324,99	-275	1	6	1500	2000	models/scenery/structural/chandelier/chandeliermount.mdl
27	-60,0847	-324,103	-295	1	6	1500	2000	models/scenery/structural/chandelier/chandelier2.mdl
28	-60,0847	-325,103	-275	1	6	1500	2000	models/scenery/structural/chandelier/chandeliermount.mdl
29	-745,929	-125,78	-458	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
30	-746	-117,719	-421	0	0	0	0	models/scenery/misc/platters/platter_silverb.mdl
31	-731	-118,719	-403	0	6	0	0	models/scenery/misc/plates/plate2.mdl
32	-745,118	-116,703	-403	0	6	0	0	models/scenery/misc/plates/plate2.mdl
33	-759	-118,719	-403	0	6	0	0	models/scenery/misc/plates/plate2.mdl
34	-465,443	471,061	-461	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
35	-465,372	463	-424	0	0	0	0	models/scenery/misc/platters/platter_silverb.mdl
36	-480,372	464	-406	0	6	0	0	models/scenery/misc/plates/plate2.mdl
37	-466,254	461,984	-406	0	6	0	0	models/scenery/misc/plates/plate2.mdl
38	-452,372	464	-406	0	6	0	0	models/scenery/misc/plates/plate2.mdl
39	-239,071	471,061	-461	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
40	-239	463	-424	0	0	0	0	models/scenery/misc/platters/platter_silverb.mdl
41	-254	464	-406	0	6	0	0	models/scenery/misc/plates/plate2.mdl
42	-239,882	461,984	-406	0	6	0	0	models/scenery/misc/plates/plate2.mdl
43	-226	464	-406	0	6	0	0	models/scenery/misc/plates/plate2.mdl
44	-421,451	474,164	-414,5	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
45	-283,14	474,164	-414,5	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
46	339,569	571,754	-380	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
47	339,669	740,644	-380	1	6	1500	2000	models/scenery/structural/sconce/sconce.mdl
48	464,65	539,943	-250,113	1	3	1500	2000	models/scenery/structural/conflightb/conflightb.mdl
49	483	520,293	-250,113	1	3	1500	2000	models/scenery/structural/conflightb/conflightb.mdl
50	464,35	501,944	-250,113	1	3	1500	2000	models/scenery/structural/conflightb/conflightb.mdl
51	483	775,86	-250,113	1	3	1500	2000	models/scenery/structural/conflightb/conflightb.mdl
