ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	3520,78	-2696,01	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
1	4050,42	-3282,02	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
2	3776,91	-4095,38	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
3	3779,31	-2966,68	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
4	3781,53	-3531,18	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
5	4046,84	-4118,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
6	3489,8	-4356,47	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
7	3140,81	-4107,46	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
8	3701,2	-3686,72	-7423,58	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
9	4104,8	-4036,75	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
10	4104,76	-3910,79	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
11	4104,76	-3782,79	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
12	4020,51	-4710,59	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
13	3001,24	-4151,81	-7263,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
14	4412	-4112	-7306	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
15	4438	-4071	-7177	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
16	4335	-4065	-7177	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
17	4195	-4069	-7177	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
18	4223	-3915	-7177	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
19	4209	-3787	-7177	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
20	4209	-3786	-7177	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
21	4598,42	-4081,34	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
22	4597,42	-4081,34	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
23	4597,42	-4081,34	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
24	4604,3	-3786,12	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
25	4603,3	-3786,12	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
26	4603,3	-3786,12	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
27	4512,53	-3785,89	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
