ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	470,792	-339,668	73,6378	16	6	0	0	models/scenery/misc/flood_light/flood_light.mdl
1	517,122	-753,123	73,6378	16	6	0	0	models/scenery/misc/flood_light/flood_light.mdl
2	-130,878	-1406,88	73,6378	16	6	0	0	models/scenery/misc/flood_light/flood_light.mdl
3	226	-770	2	0	6	0	0	models/scenery/furniture/Dirty_Mattresses/Dirty_Mattresses2.mdl
4	247	-780	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
5	249	-912	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
6	248	-515	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
7	250	-647	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
8	549	-511	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
9	551	-643	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
10	524	-803	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
11	524	-902	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
12	529	-1038	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
13	529	-1154	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
14	556	-1279	4	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
15	554	-1440	-140	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
16	550	-1307	371	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
17	552	-1439	371	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
18	415	-1440	371	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
19	583	-1392	-284	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
20	532	-1271	-283	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
21	381	-1471	-286	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
22	69	-1040	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
23	69	-1135	188	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
24	-70	-1683	155	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
