ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	2946	-2167	-7335	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
1	2946	-2326	-7335	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
2	1535	2612,25	-7362,42	17	3	1800	2500	models/scenery/street/lamppost/lamppost.mdl
3	1164,88	435,71	-7278	17	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
4	1164,88	268,71	-7278	17	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
5	1278,69	4798,68	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
6	647,322	4796,81	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
7	647,308	3691,32	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
8	1278,68	4027,31	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
9	1116,42	3685,26	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
10	1247,82	3954,84	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
11	1248,18	3688,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
12	1988,14	3959,35	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
13	642,013	4251,99	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
14	2861,81	1579,26	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
15	3137,06	2648,56	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
16	2862,2	3685,21	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
17	1947,26	1303,36	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
18	932,86	1575,9	-7268	1	0	1800	2500	models/scenery/street/powerpole/powerpole.mdl
19	491,349	1130,86	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
20	1825,8	3689,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
21	2380,82	3954,84	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
22	2851,31	3689,32	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
23	3132,84	3221,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
24	2867,53	2681,82	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
25	3131,84	2104,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
26	2867,32	1588,81	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
27	2374,8	1307,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
28	1841,82	1572,47	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
29	1258,18	1308,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
30	494,308	1306,32	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
31	-184,692	1309,32	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
32	-185,838	1898,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
33	79,4679	1897,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
34	760,468	555,803	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
35	759,468	67,803	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
36	495,162	918,822	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
37	495,532	-238,178	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
38	761,692	-594,322	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
39	100,322	-596,186	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
40	364,838	-1105,82	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
41	99,5321	-1546,18	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
42	1418,18	-861,468	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
43	1995,82	-595,162	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
44	2583,19	-860,678	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
45	3646,2	-596,532	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
46	3643,8	-859,468	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
47	3213,82	-595,161	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
48	764,096	194,86	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
49	491,788	-441,517	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
50	1012,05	-865,867	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
51	2365,08	-591,867	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
52	2852,55	-1402,78	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
53	2579,35	-2333,14	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
54	2978,65	-2969,01	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
55	3520,78	-2696,01	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
56	4050,42	-3282,02	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
57	3776,91	-4095,38	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
58	4498,8	-2963,47	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
59	4501,2	-2700,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
60	2584,16	-1318,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
61	2848,47	-1791,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
62	2583,53	-2319,18	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
63	2849,81	-2698,32	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
64	3779,31	-2966,68	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
65	3289,84	-2964,15	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
66	3781,53	-3531,18	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
67	4046,84	-4118,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
68	3489,8	-4356,47	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
69	3140,81	-4107,46	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
70	2489,24	4000,26	-7127,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
71	2712,19	3999,76	-7126,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
72	2262,79	4000,24	-7126,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
73	646,532	4267,82	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
74	1279,47	4412,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
75	3131,69	3953,54	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
76	2331,12	3570,74	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
77	2352,29	3582,13	-7367,74	17	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
78	3234,68	2753,96	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
79	3223,29	2775,13	-7367,74	17	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
80	3701,2	-3686,72	-7423,58	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
81	4104,8	-4036,75	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
82	4104,76	-3910,79	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
83	4104,76	-3782,79	-7276,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
84	4020,51	-4710,59	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
85	3044,51	-3587,59	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
86	3199	-1057,7	-7315	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
87	3314	-1057,7	-7315	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
88	2028,22	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
89	2067,95	-497,244	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
90	1591,22	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
91	1187,76	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
92	888,223	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
93	848,051	-496,756	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
94	820,051	106,777	-7281,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
95	820,051	601,777	-7281,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
96	848,051	1207,78	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
97	889,244	1247,95	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
98	1187,78	1247,95	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
99	1591,78	1247,95	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
100	2028,24	1247,95	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
101	375,741	-307,543	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
102	387,131	-328,713	-7367,74	17	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
103	82	2226	-7354	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
104	82	2576	-7440	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
105	-53,6599	2985,48	-7468	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
106	-141	3190	-7484	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
107	2695,81	-3045,4	-7423,58	17	6	2048	3000	models/scenery/street/payphone/payphone_pair.mdl
108	-278,403	1738,28	-7423,58	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
109	1669,46	1685,52	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
110	1648,29	1674,13	-7367,74	17	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
111	3711,21	2082,24	-7283,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
112	2307,67	-517	-7313,92	1	6	1800	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
113	809,81	3609,6	-7423,57	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
114	3068,51	603,408	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
115	3190,76	3503,21	-7170,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
116	332	512	-7220	1	6	512	1024	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
117	382	605,296	-7169,57	1	6	512	1024	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
118	382,446	419,296	-7169,57	1	6	512	1024	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
119	2381,7	1715,41	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
120	-53,808	2068,76	-7121,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
121	3001,24	-4151,81	-7263,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
122	494,532	151,197	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
123	1601,51	-2207,59	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
124	1697,98	-2124	-6165	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
125	1697,98	-2050	-6283	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
126	1697,98	-2124	-6307	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
127	1697,98	-2011	-6293	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
128	1697,98	-2088	-6154	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
129	1734,29	-2180,46	-6071,17	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
130	1766,98	-2125	-6097	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
131	1800,69	-2179,41	-6071,17	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
132	1835,98	-2050	-6283	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
133	1835,98	-2011	-6293	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
134	1835,98	-2088	-6154	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
135	1835,98	-2124	-6307	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
136	1835,98	-2124	-6165	1	6	1800	2500	models/scenery/street/barbedwire/pole.mdl
137	4603,3	-3786,12	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
138	4511,53	-3785,89	-7155,94	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
139	998,762	-1229,19	-7299,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
140	3316	-1860	-7305,73	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
141	3512	-1504	-7305,73	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
142	-56,6369	1953,15	-7377,81	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
143	3706,85	-727,637	-7377,81	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
144	4561,85	-2831,64	-7377,81	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
145	1024,81	-3278,76	-7283,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
146	1025,79	-2528,63	-7283,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
147	2526,82	-3561,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
148	2769	-3802	-7316	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
149	2844	-406	-7341	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
150	444,305	4616	-7373	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
151	444,305	3928	-7373	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
152	1329,82	-3582,16	-7302,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
153	4281,46	-2578,48	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
154	4260,29	-2589,87	-7367,74	17	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
155	1535	2460,25	-7362,42	17	3	1800	2500	models/scenery/street/lamppost/lamppost.mdl
156	2772	2493	-7300	1	6	1800	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
157	3027,54	-981,259	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
158	3700,75	-977,815	-7307,35	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
159	1238,82	-2406,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
160	1424,56	2704,41	-7398,86	16	6	0	0	models/scenery/trash/barrels/barrelf.mdl
161	-454,907	-5287,77	-875	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
162	-736	-4864	-927,734	16	6	0	0	models/scenery/structural/bradbury/sconce1.mdl
163	-352,002	-4931	-903,824	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
164	501,46	-7145,38	-923,199	16	0	0	0	models/scenery/structural/sewer/LA_SEWER_SURFACE_NO_GATE.mdl
165	753,02	-4749	-923,199	16	0	0	0	models/scenery/structural/sewer/LA_SEWER_SURFACE_NO_GATE.mdl
166	-160	-5056	-872	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
167	-160	-5056	-876	0	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
168	191	-4672	-872	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
169	191	-4672	-876	0	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
170	704	-4672	-872	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_pipe_support.mdl
171	704	-4672	-876	0	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
172	-243,81	-5823,29	-774,717	0	0	0	0	models/scenery/structural/sewer_light/sewer_light.mdl
