ObjNum	OriginX	OriginY	OriginZ	Pitch	Roll	Yaw	Solid	Flags	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-925,51	3569,66	738,848	0	294	0	6	0	0	0	models/scenery/furniture/computer/keyboard.mdl
1	-920,11	3550,17	738,848	0	289	0	6	0	0	0	models/scenery/furniture/computer/mouse.mdl
2	-901,55	3574,85	744,396	0	204	0	6	0	0	0	models/scenery/furniture/computer/computer_monitor.mdl
3	-890,57	3550,19	744,848	0	204	0	6	0	0	0	models/scenery/furniture/computer/computer_case.mdl
4	-947	3554	712,183	0	249,5	0	6	0	0	0	models/scenery/furniture/chair/office_chair.mdl
5	-1055	3697,72	750,396	0	97	0	6	0	0	0	models/scenery/furniture/computer/computer_monitor.mdl
6	-1092,79	3702,93	750,848	0	90	0	6	0	0	0	models/scenery/furniture/computer/computer_case.mdl
7	-1073,94	3709,55	749,848	0	175	0	6	0	0	0	models/scenery/furniture/computer/mouse.mdl
8	-1057,22	3713,57	749,848	0	180	0	6	0	0	0	models/scenery/furniture/computer/keyboard.mdl
9	-1068	3732,72	706,183	0	235,5	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
10	2277	3012	236	0	0	0	6	0	0	0	models/scenery/structural/chandelier/chandelier2.mdl
11	190,983	1116	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
12	279,983	1129	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
13	284,983	1173,18	137,159	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
14	332,983	1116	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
15	474,983	1116	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
16	449,023	1164	130	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
17	424,983	1173,18	134,949	88	180	90,0001	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
18	569,003	1173	132	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
19	591,003	1164	130	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
20	617,003	1116	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
21	675,003	1033,77	131,159	90	180	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
22	759,003	1116	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
23	901,003	1116	131	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
24	1043	1116,77	131,159	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
25	844,993	1206,47	131,159	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
26	930,003	1206,77	72	0	0	-90	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
27	711,003	1173	132	90	90	0	6	1	1500	2000	models/scenery/pipes/rusty_pipes/pipea.mdl
28	1035,57	1382,42	64	0	90	0	6	0	0	0	models/scenery/misc/water_heater/water_heater.mdl
29	296	1643	597,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
30	360	1643	597,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
31	424	1643	597,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
32	488	1643	597,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
33	62	1644	597,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
34	61	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
35	122	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
36	186	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
37	250	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
38	314	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
39	378	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
40	442	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
41	506	1108	595,183	0	90	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
42	-19	2176	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
43	-83	2176	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
44	-147	2176	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
45	-211	2176	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
46	228	2259	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
47	292	2259	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
48	356	2259	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
49	420	2259	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
50	484	2259	733,183	0	270	0	6	0	0	0	models/scenery/structural/librail/librail.mdl
51	-605,155	3773,38	712,183	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
52	-1004,55	3779,84	706,183	0	270	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
53	-940,05	3758,74	712	0	0	0	6	0	0	0	models/scenery/furniture/table/library_table.mdl
54	-1115	2730	712	0	27	0	6	0	0	0	models/scenery/furniture/stepladder/stepladder.mdl
55	-400,481	3427,72	776	0	90	0	6	0	0	0	models/scenery/misc/lib_fountain/lib_fountain.mdl
56	-651,575	3775,87	706,183	0	0	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
57	-698,845	3656,62	712	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
58	-648,381	3654,47	706,183	0	270	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
59	-604,845	3656,62	712,183	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
60	-933,05	3255,87	712	0	0	0	6	0	0	0	models/scenery/furniture/table/library_table.mdl
61	-943,05	3784,74	706,183	0	267	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
62	-928,05	3293,87	706,183	0	226	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
63	-940,05	3729,74	706,183	0	87	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
64	-932,05	3230,87	706,183	0	87	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
65	923,003	961	8,77132	0	6,49999	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_lg.mdl
66	536,003	1233	8,9543	0	52,5	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small.mdl
67	623,003	947	19,1832	0	90	0	6	0	0	0	models/scenery/structural/zhaos/boxes.mdl
68	1109,72	1379,28	125,492	-89	90	89,9996	6	0	0	0	models/scenery/structural/oilfield/pipestackbend.mdl
69	1109,72	1332,61	123,391	0	0	180	6	1	1024	1024	models/scenery/structural/oilfield/pipestackb.mdl
70	680,003	1011	9,18321	0	287,5	0	6	0	0	0	models/scenery/misc/pallet/pallet.mdl
71	895,003	1222	21,1832	0	90	0	6	0	0	0	models/scenery/misc/boxes/box3.mdl
72	922,003	1225	21,1832	0	183	0	6	0	0	0	models/scenery/misc/boxes/box3.mdl
73	918,003	1226	41,1832	0	161	0	6	0	0	0	models/scenery/misc/boxes/box4.mdl
74	611,003	1233	19,1832	0	90	0	6	0	0	0	models/scenery/structural/zhaos/boxesc.mdl
75	710,801	1258,01	60,913	0	90	0	6	0	0	0	models/scenery/furniture/metalshelving/metalshelfa.mdl
76	1461	1345	43	0	0	0	6	0	0	0	models/scenery/structural/SewerPipes/PipeLarge_P4.mdl
77	-651,155	3776,38	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
78	-650,005	3658,24	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
79	829,003	1488	10	0	90	0	6	0	0	0	models/scenery/misc/boilerroom/boiler2.mdl
80	-1003,55	3778,84	809	0	283	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
81	-1004	3660	809	0	283	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
82	-1005	3661	706,183	0	270	0	6	0	0	0	models/scenery/furniture/table/library_end_table.mdl
83	-716,945	3790,74	712	0	0	0	6	0	0	0	models/scenery/furniture/table/library_table.mdl
84	-719,945	3816,74	706,183	0	267	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
85	-716,945	3761,74	706,183	0	87	0	6	0	0	0	models/scenery/furniture/chair/library_chair_wood.mdl
86	-703,155	3340,38	712	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
87	-654,315	3342	809	0	13	0	6	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
88	-609,155	3340,38	712,183	0	0	0	6	0	0	0	models/scenery/furniture/bookcase/library_bookcase_small2.mdl
