ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	758	116	-164	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
1	757	116	-164	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
2	758	116	-164	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
3	-537,911	-492,951	484,004	0	6	0	0	models/scenery/structural/musarch/musarchb.mdl
4	965,911	-832,049	192,004	0	6	0	0	models/scenery/structural/musarch/musarchb.mdl
5	965,911	-192,049	192,004	0	6	0	0	models/scenery/structural/musarch/musarchb.mdl
6	-87,088	717,233	320	0	6	0	0	models/scenery/misc/diarama/otter.mdl
7	-389,43	713,415	313	16	6	0	0	models/scenery/misc/diarama/deer.mdl
8	-577,109	539,816	312	0	6	0	0	models/scenery/misc/diarama/tut.mdl
9	-564,88	498,386	312	0	6	0	0	models/scenery/misc/diarama/tut.mdl
10	-555,137	230,138	312	16	6	0	0	models/scenery/misc/diarama/compy.mdl
11	-570,374	-89,4787	312	16	6	0	0	models/scenery/misc/diarama/cam.mdl
12	-575,737	-871,83	312	16	6	0	0	models/scenery/misc/diarama/hip.mdl
13	-564,826	-1178,45	311,482	16	6	0	0	models/scenery/misc/diarama/tri.mdl
14	-356,403	-1361,05	312	16	6	0	0	models/scenery/misc/diarama/komodo.mdl
15	-65,1569	-1362,08	313	16	6	0	0	models/scenery/misc/diarama/lion.mdl
16	550,151	-1358,94	312	16	6	0	0	models/scenery/misc/diarama/flam.mdl
17	593,766	-1371,84	312	16	6	0	0	models/scenery/misc/diarama/flam.mdl
18	618,884	-1347,35	312	16	6	0	0	models/scenery/misc/diarama/flam.mdl
19	1061,25	-1161,44	317	16	6	0	0	models/scenery/misc/diarama/dein.mdl
20	1067,72	-949,65	316	16	6	0	0	models/scenery/misc/diarama/rino.mdl
21	1070,53	-169,551	360,241	16	6	0	0	models/scenery/misc/diarama/octopus.mdl
22	1072,34	137,825	312	16	6	0	0	models/scenery/misc/diarama/arrui.mdl
23	1058,47	428,525	312	16	6	0	0	models/scenery/misc/diarama/dilo.mdl
24	-590	-794	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
25	-629	-755	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	-629	-697	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
27	-629	-634	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
28	379	-374	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
29	340	-335	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
30	340	-277	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
31	340	-214	-216,505	0	3	0	0	models/scenery/structural/ceilinglight/ceilinglight.mdl
32	-460	843	-170,455	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
33	-605	475	-170,455	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
34	-694	314	-170,455	0	6	0	0	models/scenery/furniture/lighte/lighte.mdl
35	560,917	726,36	312	16	6	0	0	models/scenery/misc/diarama/zeb.mdl
36	-133,64	-1079,93	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
37	124,36	-1079,93	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
38	378,36	-1079,93	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
39	636,36	-1079,93	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
40	831,931	-837,64	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
41	831,931	-579,64	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
42	831,931	-66,64	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
43	831,931	191,36	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
44	637,64	439,931	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
45	379,64	439,931	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
46	125,64	439,931	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
47	-132,36	439,931	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
48	-329,931	196,64	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
49	-329,931	-61,36	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
50	-329,931	-574,36	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
51	-329,931	-832,36	276	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
52	1396,12	-342,265	-244,394	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
53	-189,856	-1470,85	34,3	16	6	0	0	models/scenery/misc/lampoffice/lamp2.mdl
54	115,234	-1708,59	43,5913	17	6	1000	1500	models/scenery/furniture/LampFloor/LampFloor.mdl
55	-353,911	190,951	192,004	0	6	0	0	models/scenery/structural/musarch/musarchb.mdl
56	855,911	-830,951	192,004	0	6	0	0	models/scenery/structural/musarch/musarchb.mdl
57	855,911	-805,952	410,004	0	6	0	0	models/scenery/structural/musarch/muscolumn.mdl
58	855,911	-858,952	410,004	0	6	0	0	models/scenery/structural/musarch/muscolumn.mdl
59	855,956	-832,403	547,004	0	6	0	0	models/scenery/structural/musarch/musarch2.mdl
60	856,044	-319,597	547,004	0	6	0	0	models/scenery/structural/musarch/musarchb.mdl
61	887,249	64,5054	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
62	-479,552	-128,32	50	0	6	0	0	models/scenery/street/payphone/payphone_wallmount.mdl
63	-479,552	-74,32	50	0	6	0	0	models/scenery/street/payphone/payphone_wallmount.mdl
64	-479,552	-185,32	50	0	6	0	0	models/scenery/street/payphone/payphone_wallmount.mdl
65	-471,931	-127,64	216	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
66	-412,64	7,931	188	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
67	-407,36	-283,931	188	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
68	972,931	-192,36	216	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
69	914,64	-311,931	188	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
70	908,36	-55,069	188	0	6	0	0	models/scenery/structural/conflightb/conflightb.mdl
71	981	-136,654	50	0	6	0	0	models/scenery/street/payphone/payphone_wallmount.mdl
72	981	-193,46	50	0	6	0	0	models/scenery/street/payphone/payphone_wallmount.mdl
73	981	-247,277	50	0	6	0	0	models/scenery/street/payphone/payphone_wallmount.mdl
74	251,194	-704,36	983,963	0	6	0	0	models/scenery/structural/musceiling/musceiling.mdl
75	251,194	-965,36	983,963	0	6	0	0	models/scenery/structural/musceiling/musceiling.mdl
76	251,194	-454,36	983,963	0	6	0	0	models/scenery/structural/musceiling/musceiling.mdl
77	251,194	-191,36	983,963	0	6	0	0	models/scenery/structural/musceiling/musceiling.mdl
78	250,194	67,64	983,963	0	6	0	0	models/scenery/structural/musceiling/musceiling.mdl
79	250,194	347,64	983,963	0	6	0	0	models/scenery/structural/musceiling/musceiling.mdl
80	887,249	330,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
81	887,249	-183,495	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
82	886,751	-450,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
83	886,751	-702,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
84	887,751	-1059,51	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
85	887,249	423,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
86	888,751	-971,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
87	798,461	494,99	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
88	507,461	495,99	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
89	251,461	495,99	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
90	-4,53943	494,99	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
91	-292,539	492,99	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
92	-386,751	421,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
93	-386,751	328,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
94	-386,751	62,5054	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
95	-386,751	-185,495	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
96	-387,249	-452,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
97	-387,249	-704,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
98	-385,249	-973,505	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
99	-386,249	-1061,51	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
100	-293,539	-1137,01	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
101	-5,53943	-1135,01	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
102	250,461	-1134,01	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
103	506,461	-1134,01	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
104	797,461	-1135,01	305	0	6	0	0	models/scenery/furniture/musbench/musbench.mdl
105	127,133	-1431,28	30	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
106	116,953	-1441,4	30	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
107	13,3699	-1711,47	24,2927	0	6	0	0	models/scenery/furniture/couch/leathercouch.mdl
108	115,47	-1644,63	24,2927	0	6	0	0	models/scenery/furniture/chair/leatherchair.mdl
109	10,47	-1625,63	0,2927	0	6	0	0	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
110	1075,18	-1766,49	34	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
111	1092,71	-1784,48	34	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
112	1098,49	-1762,94	34	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
113	1101,44	-1801,24	0	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
