ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-184,692	1309,32	-6279,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
1	-185,838	1898,2	-6279,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
2	79,4679	1897,8	-6279,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
3	-278,403	1738,28	-6399,58	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
4	-56,6369	1953,15	-6353,81	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
5	-53,6201	3278,62	-6450,59	1	0	2250	2500	models/scenery/furniture/lighta/lighta.mdl
6	233,67	2730	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
7	232,34	2346	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
8	305,33	3242	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
9	1160,34	3242	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
10	1089,34	2858	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
11	670	3049,66	-6452	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
12	1236	3051,66	-6451,92	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
13	1609,34	2858	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
14	1362,34	2730	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
15	1362,33	2346	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
16	517,33	2602	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
17	1089,34	2601	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
18	1160,66	2090,79	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
19	739,33	2106,52	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
20	302,33	2090	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
21	670,99	2345,14	-6452	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
22	1089,66	2345,01	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
23	-53,6599	2985,48	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
24	233,34	2986	-6444	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
25	-141	3190	-6460	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
26	1408	3150	-6460	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
27	233,67	2730	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
28	232,34	2346	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
29	1089,34	2858	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
30	1236	3051,66	-6699,92	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
31	1609,34	2858	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
32	1362,34	2730	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
33	1362,33	2346	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
34	517,33	2602	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
35	1089,34	2601	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
36	1160,66	2090,79	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
37	302,33	2090	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
38	1089,66	2345,01	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
39	233,34	2985,48	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
40	1408	3150	-6708	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
41	82	2576	-6416	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
42	82	2226	-6330	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
43	1526	1961,66	-6451,92	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
44	1287	2014	-6498	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
45	854	2014	-6605	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
46	410	2014	-6728	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
47	-47,6699	2730	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
48	-47,6699	2346	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
49	522,34	2858	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
50	672	3050,34	-6700	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
51	742,34	3242	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
52	740,33	2106	-6692	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
53	670	2344,33	-6700	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
54	1526	1961,66	-6700	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
55	233,67	2730	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
56	232,34	2346	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
57	1089,34	2858	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
58	1236	3051,66	-6947,92	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
59	1609,34	2858	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
60	1362,34	2730	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
61	1362,33	2346	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
62	302,33	2090	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
63	1408	3150	-6956	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
64	-47,6699	2730	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
65	-47,6699	2346	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
66	522,34	2858	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
67	672	3050,34	-6948	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
68	742,34	3242	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
69	740,33	2106	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
70	670	2344,33	-6948	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
71	1526	1961,66	-6948	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
72	-53,6699	2986	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
73	-54,3401	3242	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
74	234,33	2986	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
75	306,33	3242	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
76	1089,66	2346	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
77	1088,33	2602	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
78	1159,66	2090	-6940	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
79	1287	2014	-6740	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
80	854	2014	-6847	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
81	410	2014	-6970	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
82	138	2014	-6984	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
83	1287	2014	-6988	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
84	854	2014	-7095	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
85	-47,6699	2730	-7188	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
86	-54,3401	1962	-7188	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
87	-47,6699	2346	-7188	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
88	233,67	2730	-7188	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
89	232,34	2346	-7188	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
90	302,34	2088	-7188	0	6	0	0	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
91	1408	3150	-7204	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
92	1650	2378	-7204	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
93	2001,43	369,711	781,748	18	0	0	0	models/scenery/structural/angel/angel_group.mdl
94	2159,46	-77,8863	936	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop05.mdl
95	2199,3	52,8591	885	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
96	2195,97	19,5637	998	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
97	1947,02	361,343	972	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop03.mdl
98	2191,61	118,335	961	0	6	0	0	models/scenery/structural/Ventrue_Tower/buildingtop01.mdl
99	2163	291	1157	16	0	0	0	models/scenery/structural/la/clouds.mdl
100	2163	291	1209	16	0	0	0	models/scenery/structural/la/clouds.mdl
101	2069	318	809,375	2	6	0	0	models/scenery/structural/gargoyle/mad_gargoyle_buildingleft.mdl
