ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	0	592	8,15997	16	0	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
1	0	592	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
2	996,133	1437,13	75	17	6	500	1500	models/scenery/structural/sewer/LA_SEWER_light.mdl
3	622,133	1436,87	75	17	6	500	1500	models/scenery/structural/sewer/LA_SEWER_light.mdl
4	237,133	1439,13	75	17	6	500	1500	models/scenery/structural/sewer/LA_SEWER_light.mdl
5	-224,867	1428,87	75	17	6	500	1500	models/scenery/structural/sewer/LA_SEWER_light.mdl
6	-599,133	1429,13	75	17	6	500	1500	models/scenery/structural/sewer/LA_SEWER_light.mdl
7	-983,867	1428,87	75	17	6	500	1500	models/scenery/structural/sewer/LA_SEWER_light.mdl
8	0,1331	1087,59	-9,1334	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
9	57,1633	3446,85	-167,862	17	6	1800	2500	models/scenery/trash/barrels/barrelf.mdl
10	1496	832	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
11	928	384	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
12	464	-64	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
13	0	-392	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
14	0	264	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
15	-464	-64	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
16	-928	384	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
17	-1856	1128	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
18	-1536	1424	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
19	-1392	832	-16	0	6	0	0	models/scenery/structural/sewer/LA_SEWER_light.mdl
20	0	-64	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
21	0	-64	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
22	928	-64	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
23	928	-64	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
24	928	832	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
25	928	832	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
26	-1856	1424	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
27	-1856	1424	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
28	-1856	832	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
29	-1856	832	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
30	-928	832	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
31	-928	832	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
32	0	-720	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
33	0	-720	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
34	-928	-64	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
35	-928	-64	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
36	2088	832	8,15997	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_ceiling.mdl
37	2088	832	-86,787	16	6	0	0	models/scenery/structural/sewer/LA_SEWER_Support.mdl
38	-318,059	594	-133,657	16	0	0	0	models/scenery/structural/smsewer/smladder.mdl
39	-318,059	594	-37,657	16	0	0	0	models/scenery/structural/smsewer/smladder.mdl
40	-318,059	594	66,343	16	0	0	0	models/scenery/structural/smsewer/smladder.mdl
41	1291	1442	-184	17	0	500	500	models/scenery/structural/smsewer/smladder.mdl
42	1290,94	1442	-81,657	17	0	500	500	models/scenery/structural/smsewer/smladder.mdl
43	-420	2176	-2	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall.mdl
44	-420	2560	-2	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall.mdl
45	420	2560	-2	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall.mdl
46	420	2176	-2	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall.mdl
47	420	2944	-2	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall.mdl
48	-420	2944	-2	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall.mdl
49	-1330	1424	-16	16	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_brokengate.mdl
50	-1324	1424	-13	3	0	2500	2700	models/scenery/structural/Plaguebearer_sewer/Plague_rubble.mdl
51	160	2048	-222	0	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
52	160	2304	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
53	160	2560	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
54	160	2816	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
55	160	3072	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
56	-160	3072	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
57	-160	2816	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
58	-160	2560	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
59	-160	2304	-222	2	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
60	-160	2048	-222	0	0	0	0	models/scenery/structural/Plaguebearer_sewer/plague_pillar.mdl
61	-312	3516	0	0	2	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_pipes.mdl
62	312	3512	0	0	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_pipes.mdl
63	-929,025	294,577	-206,988	0	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall01.mdl
64	-928,018	495,428	-206,866	16	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_waterfall01.mdl
65	1,8464	3441,03	-221,889	0	0	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_platform.mdl
66	-142	2304	-221	16	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_lantern.mdl
67	-142	2816	-221	16	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_lantern.mdl
68	142	2816	-221	16	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_lantern.mdl
69	142	2304	-221	16	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_lantern.mdl
70	-160	2448	96	0	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_hookmount.mdl
71	-160	2687	96	0	6	0	0	models/scenery/structural/Plaguebearer_sewer/Plague_hookmount.mdl
