ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	350,679	-44,33	-168,84	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
1	350,679	-43,33	-168,84	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
2	350,339	-44,33	-168,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
3	519,33	-106,991	-168,84	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
4	518,33	-106,991	-168,84	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
5	519,33	-107,331	-168,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
6	399,33	136,009	-11,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
7	398,33	136,009	-11,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
8	399,33	135,669	-11,9201	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
9	344,991	-296,67	-11,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
10	344,991	-297,67	-11,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
11	345,331	-296,67	-11,9201	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
12	638,452	-310,47	-136,053	0	6	0	0	models/scenery/misc/soda_machines/soda_machine2.mdl
13	638,565	-245,47	-136,053	0	6	0	0	models/scenery/misc/soda_machines/soda_machine1.mdl
14	526,67	-156,679	-11,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
15	527,67	-156,679	-11,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
16	526,67	-156,339	-11,9201	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
17	265,697	-335,23	83,8771	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
18	265,68	-335,23	387,877	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
19	265,68	-335,23	691,877	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
20	265,68	-335,23	995,877	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
21	265,68	-335,23	1299,88	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
22	265,68	-335,23	1603,88	1	0	1536	2048	models/scenery/structural/sconce/sconceb.mdl
23	89,6925	-252,113	0	0	6	0	0	models/scenery/furniture/coffeetablemotel/coffeetablemotel.mdl
24	-203,307	-285,113	135,991	0	6	0	0	models/scenery/furniture/coffeetablemotel/coffeetablemotel.mdl
25	101,108	-205,229	1216,38	0	6	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
26	-48,054	-160,068	1321,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
27	-48,054	-192,068	1321,5	16	0	0	0	models/scenery/misc/halolights/halolight.mdl
