ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1164,88	435,71	-7278	17	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
1	1164,88	268,71	-7278	17	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
2	932,86	1575,9	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
3	491,349	1130,86	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
4	2867,32	1588,81	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
5	2374,8	1307,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
6	1258,18	1308,53	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
7	494,308	1306,32	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
8	-185,838	1898,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
9	79,4679	1897,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
10	760,468	495,803	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
11	760,468	215,803	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
12	495,162	918,822	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
13	495,532	-238,178	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
14	761,692	-594,322	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
15	364,838	-1105,82	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
16	1418,18	-861,468	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
17	1995,82	-595,162	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
18	2583,19	-860,678	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
19	3646,2	-596,532	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
20	3643,8	-859,468	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
21	3213,82	-595,161	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
22	764,096	194,86	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
23	491,788	-441,517	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
24	1012,05	-865,867	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
25	2365,08	-591,867	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
26	2852,55	-1271,78	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
27	820,051	106,777	-7281,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
28	820,051	601,777	-7281,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
29	-278,403	1738,28	-7423,58	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
30	382,446	419,296	-7169,57	1	6	1800	2500	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
31	-53,808	2068,76	-7121,71	17	6	1800	2500	models/scenery/furniture/lightc/lightc.mdl
32	494,532	110,197	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
33	-56,6369	1953,15	-7377,81	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
34	3706,85	-727,637	-7377,81	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
35	-351,8	76,987	-6288,6	0	6	0	0	models/scenery/structural/ventrue_tower/lighta.mdl
36	-692,2	159,987	-6424,6	0	6	0	0	models/scenery/structural/ventrue_tower/lighta.mdl
37	-544,2	88,013	-6223,6	0	6	0	0	models/scenery/structural/ventrue_tower/lighta.mdl
38	-724,07	-96,035	-6233,49	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
39	-420,92	15,965	-6233,49	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
