ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-131,559	559,223	112,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
1	127,185	583,178	112,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
2	-123,085	-433,364	342,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
3	-128,815	583,178	112,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
4	130,145	560,598	112,701	16	0	0	0	models/scenery/misc/giosconce/giosconce.mdl
5	1	-433,669	328,1	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomdoora.mdl
6	249,48	-369,268	451,039	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
7	500	63,4079	451,085	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
8	-432,606	314,757	451,121	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
9	432,892	-185,544	451,085	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
10	-250,23	497,926	451,121	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
11	434	314	451,085	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
12	250,71	496,218	451,121	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
13	-1,51044	580,763	69,0197	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomdoorb.mdl
14	-500	66,0214	451,085	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
15	-433,559	-185,1	450,121	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
16	-250,882	-367,981	451,121	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndw.mdl
17	-2	563,2	69,0197	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomdoorb.mdl
18	-457,005	393,999	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
19	-323,74	527,264	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
20	-94,2226	591,949	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
21	94,2436	591,949	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
22	233	16	130,725	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomstairleft.mdl
23	-229,47	19,5094	130,638	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomstairright.mdl
24	460,638	391,046	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
25	327,371	524,311	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
26	528,022	-29,9044	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
27	528,02	158,562	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
28	-527,949	158,244	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
29	-527,949	-30,2226	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
30	-468,265	-270,984	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
31	-334,999	-404,25	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
32	326,966	-396,726	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
33	460,231	-263,46	232,113	1	0	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
34	1,07288E-05	448,118	106,116	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb4.mdl
35	356,385	58,6251	105,99	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb3.mdl
36	1,07288E-05	-296,205	106,046	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb1.mdl
37	-355,702	59,328	106,046	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomcolumnb2.mdl
38	1,07288E-05	88,9115	240,99	0	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomraila.mdl
39	-765,125	712,824	281,594	0	6	0	0	models/scenery/misc/flood_light/flood_light.mdl
40	902,744	922,089	281,594	0	6	0	0	models/scenery/misc/flood_light/flood_light.mdl
41	0,467149	591,859	420,95	16	0	0	0	models/scenery/structural/Ventrue_Tower/ballroomwndwe.mdl
