ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-212,892	524,771	36,006	0	6	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
1	1561,86	29,888	144,667	16	6	0	0	models/scenery/furniture/desk_executive/desk_executive.mdl
2	1594,36	27,076	145	0	0	0	0	models/scenery/furniture/chair/office_chair.mdl
3	1608	-4	191	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
4	386	842	37	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
5	381	457	37	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
6	291,234	564,111	80,5913	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
7	247	650	229	16	6	0	0	models/scenery/structural/conflight/conflight.mdl
8	107	807	36	0	6	0	0	models/scenery/furniture/armoire/armoire.mdl
9	107	497	36	0	6	0	0	models/scenery/furniture/armoire/armoire.mdl
10	395,275	714,887	36	0	6	0	0	models/scenery/furniture/endtable/endtable.mdl
11	395,275	714,887	96	0	6	0	0	models/scenery/furniture/vase/vasea.mdl
12	395,275	587,113	36	0	6	0	0	models/scenery/furniture/endtable/endtable.mdl
13	395,275	587,113	96	0	6	0	0	models/scenery/furniture/vase/vasea.mdl
14	111	582	50	16	6	0	0	models/scenery/furniture/nightstandhotel/nightstandhotel.mdl
15	271,481	565,17	36	0	6	0	0	models/scenery/furniture/nightstandhotel/nightstandhotel.mdl
16	271,481	563,17	71,0069	0	6	0	0	models/scenery/furniture/phone_stylish/phone2.mdl
17	284	642	60,2257	2	6	0	0	models/scenery/furniture/couch/bloodcouch.mdl
18	-48	697	37	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
19	44	695	37	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
20	-44,6361	96,5373	37	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
21	47,3639	94,5373	37	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
22	-369	336	37	0	6	0	0	models/scenery/plants/Planthotel/Planthotel.mdl
23	-247	525	229	16	6	0	0	models/scenery/structural/conflight/conflight.mdl
24	-291,519	600,17	36	0	6	0	0	models/scenery/furniture/nightstandhotel/nightstandhotel.mdl
25	-308,523	450,921	37,006	16	6	0	0	models/scenery/furniture/standinglamp/standinglamp.mdl
26	-106	336	36	0	6	0	0	models/scenery/furniture/TVStand/tvstand_new.mdl
27	-289	528	36	0	6	0	0	models/scenery/furniture/Couchfancyhotel/Couchfancyhotel.mdl
28	-286	455	36	0	6	0	0	models/scenery/furniture/nightstandhotel/nightstandhotel.mdl
29	-353,398	692,398	35,9966	0	6	0	0	models/scenery/furniture/Tablefancyhotel/Tablefancyhotel.mdl
30	-353,007	692	75,0583	16	6	0	0	models/scenery/furniture/lampfancyhotel/Lampfancyhotel.mdl
31	-122	705	37	0	6	0	0	models/scenery/plants/Planthotel/Planthotel.mdl
32	-286,959	453,439	71,659	0	6	0	0	models/scenery/furniture/phonemodern/phonemodern.mdl
33	-402	461	113	16	6	0	0	models/scenery/misc/pinupposter/poster.mdl
34	0	0	0	0	0	0	0	models/scenery/furniture/coffeetable/coffeetable.mdl
