ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-730	537	-201	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
1	-730	483	-201	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
2	-730	590	-201	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
3	-730	643	-201	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	-1054,15	469,965	175,506	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
5	-1055,15	338,965	175,506	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
6	-620	508	-234,534	16	0	0	0	models/scenery/structural/vesuvius/bar.mdl
7	-625,259	446,593	-231,159	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Register.mdl
8	-631,118	447,45	-231,159	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
9	-700,17	557,106	-232,005	17	0	512	768	models/scenery/structural/vesuvius/bartap.mdl
10	-663,916	505,062	-168	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
11	-663,916	598,062	-168	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
12	-897,147	716,035	-13,1843	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
13	-728,15	716,938	-13,1843	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
14	-907,073	459,062	-165	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
15	-930	294	-198	1	0	2250	2500	models/scenery/structural/ashandrail/ashandrail.mdl
16	-1039	425,619	-165	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
17	-1013	543,619	-28	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
18	-860	544,619	-28	1	3	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
