ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	3120	818,429	-242	16	6	0	0	models/scenery/misc/wall_clock/wall_clock.mdl
1	3289,05	952	-320	1	6	2250	2500	models/scenery/furniture/computer/computer_case.mdl
2	3284,54	929	-284	16	6	0	0	models/scenery/furniture/computer/keyboard.mdl
3	3291,05	914	-284	16	6	0	0	models/scenery/furniture/computer/mouse.mdl
4	3295,05	909	-320	1	6	2250	2500	models/scenery/furniture/desk/desk.mdl
5	3297,93	886,12	-283	16	6	0	0	models/scenery/misc/plate2/plate2.mdl
6	3176,66	879	-195,92	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
7	3035	1064	-196	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
8	3035,33	879	-196	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
9	3046	883	-320	1	6	2250	2500	models/scenery/furniture/desk/desk.mdl
10	2996,04	1093	-293	1	0	2250	2500	models/scenery/furniture/couch_basic/loveseat_basic2.mdl
11	3047,56	888,554	-280	1	6	2250	2500	models/scenery/furniture/computer/apple_monitor.mdl
12	3041,56	885,554	-283,5	1	6	2250	2500	models/scenery/furniture/computer/apple.mdl
13	3051,11	907,1	-284,5	1	6	2250	2500	models/scenery/furniture/computer/apple_stick.mdl
14	3079,05	884,85	-319	0	6	0	0	models/scenery/furniture/chair/office_chair.mdl
15	2998,23	1018,37	-309,874	1	6	2250	2500	models/scenery/furniture/CoffeeTableOld/CoffeeTableOld.mdl
16	3117	1093	-286,542	16	6	0	0	models/scenery/misc/pizzaslice/pizza1.mdl
17	3287,64	842,876	-320	16	6	0	0	models/scenery/misc/trash/trash.mdl
18	3071	833	-320	16	6	0	0	models/scenery/misc/trash/trash.mdl
19	3036,11	910,1	-283,2	16	6	0	0	models/scenery/misc/ashtray/ashtray1.mdl
20	2938,81	840,852	-283	0	6	0	0	models/scenery/furniture/tvs/TV19inch.mdl
21	3000,23	1018,37	-300	0	6	0	0	models/scenery/misc/magazine/magazine.mdl
22	3042,1	861,954	-284	16	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
23	2941,54	841,584	-302	0	6	0	0	models/scenery/furniture/TVStand/TVStand.mdl
24	3297	1024	-320	1	6	2250	2500	models/scenery/furniture/refrigerator/refrigeratorold.mdl
25	3287	1098	-297	1	6	2250	2500	models/scenery/structural/warehouse/boxesc.mdl
26	3279	1093	-250,181	1	6	2250	2500	models/scenery/structural/warehouse/boxesc.mdl
27	3270	1060	-319	1	6	2250	2500	models/scenery/street/TrashBags/TrashBag_4.mdl
28	3268	1037	-319	1	6	2250	2500	models/scenery/misc/dartboard/dart.mdl
29	3299	1057	-319	1	6	2250	2500	models/scenery/street/TrashBags/TrashBag_3.mdl
30	3247	1106	-319	1	6	2250	2500	models/scenery/street/TrashBags/TrashBag_4.mdl
31	3124,04	1109,64	-286,5	16	6	0	0	models/scenery/furniture/microwave/microwave.mdl
32	3117,83	1092,52	-286,5	16	6	0	0	models/scenery/misc/plate2/plate2.mdl
33	3108,04	1108,64	-286	16	6	0	0	models/scenery/misc/cannedfood/can1.mdl
34	3103,83	1092,52	-286,5	16	6	0	0	models/scenery/misc/pizzaslice/crust.mdl
35	3082,04	1102,64	-286,5	16	6	0	0	models/scenery/misc/pizza/pizza.mdl
36	3101,04	1103,64	-320	1	6	2250	2500	models/scenery/furniture/table/foldingtable.mdl
37	3175,04	1105,64	-320	1	6	2250	2500	models/scenery/furniture/table/foldingtable.mdl
38	3166,3	1108,41	-283,5	16	6	0	0	models/scenery/furniture/CoffeMaker/CoffePotMetal.mdl
39	3167,3	1113,41	-286,5	16	6	0	0	models/scenery/furniture/CoffeMaker/CoffeMaker.mdl
40	3192,04	1111,64	-286,5	16	6	0	0	models/scenery/misc/donuts/donut.mdl
41	3119	1089	-286	16	6	0	0	models/scenery/misc/pizzaslice/crust.mdl
42	3306	993,25	-248	16	6	0	0	models/scenery/misc/dartboard/dart.mdl
43	3308	963,25	-263	16	6	0	0	models/scenery/misc/dartboard/dart.mdl
44	3306	974,25	-318,99	16	6	0	0	models/scenery/misc/dartboard/dart.mdl
45	3306	983,25	-237	16	6	0	0	models/scenery/misc/dartboard/dart.mdl
46	3312,08	987,25	-237	16	6	0	0	models/scenery/misc/dartboard/dartboard.mdl
47	3177	1063	-196	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
48	0	0	0	0	0	0	0	models/scenery/misc/wall_clock/wall_clock.mdl
