ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-299,591	-244,414	-45,4087	16	6	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
1	-69	-728	39,049	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
2	-236	-586	-19,951	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
3	-82	-460	-19,951	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
4	-72	-221	-140,951	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
5	-301	-217	-200,951	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
6	-446	-327	-200,951	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
7	-522	-600	-260,951	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
8	-412,624	-648,601	-23,5946	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
9	-311,4	-346,376	-23,5946	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
10	-294,624	-368,376	-203,595	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
11	-1263,62	-468,601	-263,595	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
12	-907,4	-335,601	-263,595	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
13	-891,4	-597,601	-263,595	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
14	455	-295	-45	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket1.mdl
15	433	-291	-45	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket1.mdl
16	407	-295	-45	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket2.mdl
17	465	-295	-17	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket2.mdl
18	447	-293	-18	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket1.mdl
19	401	-293	-12,338	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket2.mdl
20	430	-294	11	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket1.mdl
21	448	-296	12	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket1.mdl
22	385	-291	-17	1	3	2250	2500	models/scenery/misc/paint_bucket_brush/paint_bucket2.mdl
23	-394	203	-15	16	6	0	0	models/scenery/misc/FemMannequins/leg2.mdl
24	-429	204	-53	16	6	0	0	models/scenery/misc/FemMannequins/leg2.mdl
25	-466	204	-7	16	6	0	0	models/scenery/misc/FemMannequins/leg2.mdl
26	218	-199	18	1	3	2250	2500	models/scenery/misc/FemMannequins/leg2.mdl
27	215	-160	58	1	3	2250	2500	models/scenery/misc/FemMannequins/leg1.mdl
28	110	-274,5	18	1	3	2250	2500	models/scenery/misc/FemMannequins/leg2.mdl
29	70	-274	4	1	3	2250	2500	models/scenery/misc/FemMannequins/leg1.mdl
30	185	-274,5	6	1	3	2250	2500	models/scenery/misc/FemMannequins/leg1.mdl
31	-360,686	-156,99	-68,86	0	6	0	0	models/scenery/misc/magazine/magazine.mdl
32	-360,686	-158,99	-78,744	0	6	0	0	models/scenery/furniture/CoffeeTableOld/CoffeeTableOld.mdl
33	-296,702	-273,198	-47	1	6	1500	2000	models/scenery/misc/water_cooler/water_cooler.mdl
34	-305	-161	-65	0	6	0	0	models/scenery/furniture/couch/leathercouch.mdl
35	-508	-56	-89	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
36	467,451	-503,369	-22,553	0	6	0	0	models/scenery/misc/magazine/magazine.mdl
37	484	-540	2,84356	16	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
38	62	-379	-78	16	6	0	0	models/scenery/structural/zhaos/boxes.mdl
39	185	164	-78	16	6	0	0	models/scenery/structural/zhaos/boxesb.mdl
40	364,156	91	94,9962	16	6	0	0	models/scenery/misc/cage_light/cage_wall.mdl
41	-187,613	-685,648	-28	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
42	-167,829	-688,648	-11,3497	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
43	-190,004	-659,574	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
44	-135,186	-688,648	16,0411	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
45	-116,144	-685	32,3185	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
46	-190	-617	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
47	-190	-574	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
48	-190	-531	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
49	-187	-506	-30	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
50	-161	-503	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
51	-118	-503	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
52	-75	-503	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
53	-49	-500	-30	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
54	-45,9985	-477	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
55	-48,8801	-409,927	-30,153	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
56	-74,5602	-406,998	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
57	-100,56	-404,634	-31,847	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
58	-45,9985	-434	-30	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
59	-103,76	-354,536	-76,9822	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
60	-103,76	-386,741	-48,4896	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
61	-103,753	-290,643	-133,509	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
62	-103,753	-322,849	-105,016	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
63	-106,626	-271,353	-150,196	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
64	-115,647	-266,059	-151,991	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
65	-118,499	-239,956	-152	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
66	-120,786	-214,123	-153,991	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
67	-140,154	-211,273	-170,325	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
68	-173,334	-211,273	-197,676	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
69	-193,077	-214,203	-214	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
70	-195,275	-223,026	-213	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
71	-198,275	-226	-206	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
72	-224	-226	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
73	-267	-226	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
74	-310	-226	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
75	-353	-226	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
76	-396	-226	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
77	-422	-229	-203	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
78	-425	-255	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
79	-425	-298	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
80	-425	-341	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
81	-425	-384	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
82	-425	-427	-203	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
83	-422	-452	-203	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
84	-413,564	-457,128	-205	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
85	-411	-477,048	-221,829	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
86	-411	-509,988	-249,469	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
87	-414	-529,195	-265,83	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
88	-422,291	-534,371	-267,83	0	0	0	0	models/scenery/structural/conduitb/conduitb.mdl
89	-425,241	-558,156	-268	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
90	-425,273	-598,428	-268	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
91	-425,248	-638,827	-268	0	0	0	0	models/scenery/structural/conduita/conduita.mdl
