ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	4084,85	-531,429	-333,907	1	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
1	5159,59	-567,166	-174,907	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
2	4665,59	-566,166	-174,907	1	6	1500	2000	models/scenery/street/pierlight/pierlight.mdl
3	5834,59	-596,166	-140,907	1	6	1500	2000	models/scenery/furniture/lightc/lightc.mdl
4	5092,59	-627,404	-177,615	1	6	1500	2000	models/scenery/furniture/lightc/lightc.mdl
5	4954,59	-627,404	-177,615	1	6	1500	2000	models/scenery/furniture/lightc/lightc.mdl
6	4792,59	-627,404	-177,615	1	6	1500	2000	models/scenery/furniture/lightc/lightc.mdl
7	4524,59	-484,166	-212,907	17	6	1500	2000	models/scenery/street/light_fixtures/lamppostlight.mdl
8	7021,3	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
9	7020,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
10	6721,74	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
11	6722,73	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
12	6424,3	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
13	6425,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
14	6127,74	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
15	5828,74	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
16	5530,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
17	7319,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
18	7318,3	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
19	3431,31	-531,716	-333,907	1	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
20	2783,26	-527,496	-333,907	1	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
21	3479,59	-853,166	-172,907	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
22	3229	-1666	-393	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
23	3560,98	-2504,25	-110	0	6	0	0	models/scenery/furniture/tvbeach/tvbeach.mdl
24	3564,2	-2503,89	-79,8548	0	6	0	0	models/scenery/furniture/tvs/TV21inch.mdl
25	3280	-3731	-17	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
26	3711,95	-2761,5	-3,64084	17	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
27	3712,06	-2782,52	-4,38532	17	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
28	3048	-2847	-17	16	0	0	0	models/scenery/misc/cage_light/cage_wall.mdl
29	6867,53	-854,246	-273,907	16	0	0	0	models/scenery/structural/pier/handrailc.mdl
30	7743,59	-895,166	-277,907	16	0	0	0	models/scenery/structural/pier/handraila.mdl
31	5000,59	-853,166	-172,907	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
32	4295,59	-853,166	-172,907	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
