ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	279	75	26	0	0	0	0	models/scenery/structural/diner/booth.mdl
1	405	75	26	0	0	0	0	models/scenery/structural/diner/booth.mdl
2	531	75	26	0	0	0	0	models/scenery/structural/diner/booth.mdl
3	306,084	247,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
4	312,009	310	144,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
5	312,009	311	144,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
6	311,669	310	144,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
7	489,679	310	144,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
8	489,679	311	144,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
9	489,339	310	144,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
10	124,679	312	144,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
11	124,679	313	144,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
12	124,339	312	144,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
13	279	75	125	0	6	0	0	models/scenery/structural/diner/lighta.mdl
14	404,797	74,9867	125	0	6	0	0	models/scenery/structural/diner/lighta.mdl
15	530,797	74,9867	125	0	6	0	0	models/scenery/structural/diner/lighta.mdl
16	657,203	74,9867	125	0	6	0	0	models/scenery/structural/diner/lighta.mdl
17	767,797	185,987	125	0	6	0	0	models/scenery/structural/diner/lighta.mdl
18	369,927	247,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
19	497,927	247,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
20	434,084	247,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
21	557,927	245,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
22	600,084	263,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
23	601,084	320,062	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
24	180,927	246,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
25	119,084	247,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
26	55,9268	247,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
27	14,9268	264,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
28	14,9268	321,965	100	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
29	138,927	-54,9383	146	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
30	39,24	79,0617	146	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
31	-58,0732	151,965	146	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
32	-62,9156	274,062	146	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
33	135,24	75,0617	146	1	6	512	768	models/scenery/structural/ceilinglight/ceilinglight.mdl
34	773,203	343,987	125	0	6	0	0	models/scenery/structural/diner/lighta.mdl
35	185,536	251,368	58,8414	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Register.mdl
36	185,466	251,289	58,8414	1	0	512	768	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
37	383,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
38	351,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
39	447,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
40	415,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
41	511,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
42	479,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
43	575,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
44	543,978	211,77	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
45	607,988	219	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
46	629,988	241	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
47	635,988	272	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
48	635,988	304	24,9097	0	6	0	0	models/scenery/structural/diner/barstool.mdl
