ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	251,507	-342,225	-160	0	6	0	0	models/scenery/furniture/desk/desk.mdl
1	246,853	-364,806	-114,799	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
2	286,763	-346,684	-160	16	6	0	0	models/scenery/furniture/chair/office_chair.mdl
3	246,853	-364,806	-114,799	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Register.mdl
4	307	-120	-92	0	6	0	0	models/scenery/misc/Brad_Bust_1/brad_bust_1.mdl
5	291	113	-99	0	6	0	0	models/scenery/furniture/vase/vasea.mdl
6	275	145	-107	0	6	0	0	models/scenery/furniture/vase/vaseb.mdl
7	298	151	-93,3036	0	6	0	0	models/scenery/furniture/vase/vasec.mdl
8	-2,19923	342,273	-107	0	6	0	0	models/scenery/furniture/vase/vasea.mdl
9	-27,9769	336,758	-123	0	6	0	0	models/scenery/furniture/vase/vaseb.mdl
10	-47,913	347,598	-117,688	0	6	0	0	models/scenery/furniture/vase/vasec.mdl
11	30	354	-94	0	6	0	0	models/scenery/misc/Brad_Bust_1/brad_bust_1.mdl
12	0	0	0	0	0	0	0	models/scenery/furniture/desk/desk.mdl
