ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-1928	-2345	-11,9201	1	6	1536	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
1	-2187,66	-2346	-11,9201	1	6	1536	2048	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
2	-1506,42	1411,58	2	16	0	0	0	models/scenery/structural/diner/pillars2.mdl
3	-1579,42	1484,58	2	16	0	0	0	models/scenery/structural/diner/pillars.mdl
4	-1487,04	-87,1489	-111,575	17	6	1024	1536	models/scenery/street/payphone/payphone_pair.mdl
5	472,331	-1350,04	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
6	1460,04	-489,339	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
7	1280,34	-520,957	-123,92	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
8	-1400,12	-142	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
9	-1399,37	45	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
10	-1399,37	139	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
11	-1400,37	-46	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
12	-1430,88	131	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
13	-1430,63	34	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
14	-1430,63	-57	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
15	-1430,63	-151	4996,49	16	0	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
16	-290,458	291,363	-96,0265	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Ticket_Pull.mdl
17	-269,458	243,363	-97,6124	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_gate.mdl
18	-198,998	304,363	-65,8062	1	6	1800	2500	models/scenery/structural/Toll_Gate_Stuff/Toll_booth.mdl
19	-906,968	2320,13	9,04029	1	3	2048	2560	models/scenery/street/powerpole/powerpole.mdl
20	-1270,29	2846,3	-110,929	1	6	2250	2500	models/scenery/misc/wooden_spool/wooden_spool.mdl
21	-1279,32	2835,5	-75	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
22	-1256,53	2844,18	-75	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
23	-1268,25	2830,84	-75	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
24	470,316	-561,368	-111,193	0	6	0	0	models/scenery/vehicles/LightningBird/LightningBird_Green.mdl
25	790,791	184,995	-111,193	0	6	0	0	models/scenery/vehicles/LightningBird/LightningBird_Green.mdl
26	473,331	-1094,04	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
27	266,331	-691,04	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
28	599,375	-707,004	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
29	850,375	-708,004	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
30	1113,38	-708,004	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
31	265,331	-432,04	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
32	263,331	-180,04	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
33	626,331	-131,04	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
34	602,331	182,96	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
35	598,331	520,96	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
36	286,375	302,996	12,0799	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
37	-1269	25,04	49,8363	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
38	-636,75	-1976	9,04029	1	0	2048	2560	models/scenery/street/powerpole/powerpole.mdl
39	-228	664	-5800	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
40	-228,02	664	-5730,34	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
41	-228,02	664	-5869,66	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
42	-420,5	664	-5800	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
43	-420,48	664	-5730,34	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
44	-420,48	664	-5869,66	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
45	-446	689	-5800	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
46	-446	688,983	-5730,34	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
47	-446	688,983	-5869,66	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
48	-446	881	-5800	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
49	-446	880,983	-5730,34	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
50	-446	880,983	-5869,66	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
51	-1514,85	308	-5851	0	6	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
52	-1514,85	180	-5851	0	6	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
53	-1514,48	52,0001	-5851	0	6	0	0	models/scenery/structural/hollywood/overpasspipes.mdl
