ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-600	1901,89	78,128	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
1	-600	1920,87	77,887	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
2	-194	1918,11	78,128	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
3	-194	1899,13	77,887	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
4	-347,829	1779	-6	17	6	2250	2500	models/scenery/street/light_fixtures/Cage_Light.mdl
5	-315,171	2039	-6	17	6	2250	2500	models/scenery/street/light_fixtures/Cage_Light.mdl
6	-192,917	1513,31	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
7	-615,308	2018,08	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
8	-1506,42	1411,58	2	16	0	0	0	models/scenery/structural/diner/pillars2.mdl
9	-1579,42	1484,58	2	16	0	0	0	models/scenery/structural/diner/pillars.mdl
10	-1411,27	1279,96	-20,3013	1	6	2250	2500	models/scenery/structural/shoplight/shoplightbulb.mdl
11	-1411,27	1279,96	-20,3013	1	6	2250	2500	models/scenery/structural/shoplight/shoplight.mdl
12	-2262	2096	3	1	6	2250	2500	models/scenery/structural/ceilinglight/ceilinglight.mdl
13	293,699	746,651	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
14	995,998	1910,18	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
15	983,998	2845,8	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
16	418,197	3380	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
17	-147,545	2846,27	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
18	-165,681	1769,22	9,033	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
19	-508,376	1859,38	33,4054	16	6	0	0	models/scenery/furniture/lighta/lighta.mdl
20	-948	1582	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
21	-561	1965	-73	1	6	2250	2500	models/scenery/furniture/toileta/toileta.mdl
22	-528	2023	-60	1	6	2250	2500	models/scenery/furniture/sinka/sinka.mdl
23	-317	1875	36	1	6	2250	2500	models/scenery/structural/ceiling_fan/ceiling_fan_base.mdl
24	-302	1876	-92	1	6	2250	2500	models/scenery/furniture/desk/desk.mdl
25	-297	1877,66	-51,4292	1	6	2250	2500	models/scenery/furniture/computer/apple_monitor.mdl
26	-303	1874,66	-55,4292	1	6	2250	2500	models/scenery/furniture/computer/apple.mdl
27	-551	1857	-65	1	6	2250	2500	models/scenery/furniture/couch_basic/loveseat_basic2.mdl
28	-453	1855	-92	1	6	2250	2500	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
29	-948	2344	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
30	-268	524	4	16	6	0	0	models/scenery/structural/santamonica/parkingpillar.mdl
31	-268	652	4	16	6	0	0	models/scenery/structural/santamonica/parkingpillar.mdl
32	-248	672	4	16	6	0	0	models/scenery/structural/santamonica/parkingpillar.mdl
33	-120	672	4	16	6	0	0	models/scenery/structural/santamonica/parkingpillar.mdl
34	-848	2420	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
35	-694	2420	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
36	-948	2190	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
37	-948	2036	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
38	-540	2420	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
39	-386	2420	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
40	-232	2420	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
41	-170	2520	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
42	-170	2674	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
43	-170	2828	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
44	-170	2982	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
45	-170	3136	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
46	-170	3290	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
47	-114,98	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
48	39,0197	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
49	193,02	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
50	347,02	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
51	501,02	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
52	655,02	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
53	809,02	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
54	963,02	3403,32	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
55	1018	3304	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
56	1018	3150	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
57	1018	2996	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
58	1018	2842	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
59	1018	2688	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
60	1018	2534	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
61	1018	2380	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
62	1018	2226	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
63	1018	2072	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
64	1018	1918	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
65	1018	1764	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
66	1018	1610	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
67	1018	1456	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
68	1018	1304	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
69	1018	1150	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
70	1018	996	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
71	1018	842	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
72	962,856	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
73	808,856	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
74	654,856	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
75	500,856	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
76	346,856	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
77	192,856	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
78	38,8562	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
79	-115,144	727,325	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
80	-171,325	796,856	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
81	-171,325	950,856	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
82	-171,325	1104,86	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
83	-171,325	1258,86	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
84	-173,325	1412,86	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
85	-272	1472	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
86	-426	1472	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
87	-580	1472	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
88	-734	1472	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
89	-888	1472	52	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
90	457,577	3382,14	9,04029	1	3	2048	2560	models/scenery/street/powerpole/powerpole.mdl
91	-152,386	2368,35	9,04029	1	3	2048	2560	models/scenery/street/powerpole/powerpole.mdl
92	-919,968	2289,13	9,04029	1	3	2048	2560	models/scenery/street/powerpole/powerpole.mdl
93	-1600,42	1671,13	9,04029	1	3	2048	2560	models/scenery/street/powerpole/powerpole.mdl
94	-2366,42	1945,13	9,04029	1	3	2048	2560	models/scenery/street/powerpole/powerpole.mdl
95	-1172,65	2793,52	63,0709	0	6	0	0	models/scenery/structural/oilfield/pipe.mdl
96	-1151,97	2431,06	147,199	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
97	-1165,62	2417,88	146,958	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
98	-1736,99	2301,57	0,5	0	6	0	0	models/scenery/structural/oilfield/horztank.mdl
99	-1902,01	2302,81	0,5	0	6	0	0	models/scenery/structural/oilfield/horztank.mdl
100	-1876,05	2611,95	198,591	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
101	-1895,03	2611,95	198,35	17	0	2250	2500	models/scenery/structural/conflightb/conflightb.mdl
102	-1920,16	2651,78	228,463	17	6	2250	2500	models/scenery/street/light_fixtures/Cage_Light.mdl
103	-1963,98	2648,95	74	0	6	0	0	models/scenery/structural/oilfield/pipe.mdl
104	-1884,72	2652,52	95,463	16	6	0	0	models/scenery/structural/oilfield/pipeb.mdl
105	-1808,67	2757,95	243,463	16	6	0	0	models/scenery/structural/oilfield/pipec.mdl
106	-1618,58	974,392	182	16	6	0	0	models/scenery/structural/diner/roof.mdl
107	-1836,92	1484	2	16	0	0	0	models/scenery/structural/diner/pillars2.mdl
108	-1410	1046	-82,5392	1	6	1024	1536	models/scenery/street/newspaper/newspaperall.mdl
109	-1399,13	1258,29	-56,7371	17	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
110	-1313,32	1666,67	-22,5822	1	6	2250	2500	models/scenery/street/pierlightb/pierlightb.mdl
111	-1389,78	1676,13	-49	1	6	2250	2500	models/scenery/street/fencepost/fencepost.mdl
112	-1392,16	1676,01	-16,2721	0	6	0	0	models/scenery/signs/stop.mdl
113	-1397,37	45	4996,49	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
114	-1397,37	139	4996,49	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
115	-1428,88	131	4996,49	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
116	-1428,63	34	4996,49	0	6	0	0	models/scenery/street/pierlight/pierlightskybox_hol.mdl
117	-916,054	44,7034	4978,61	16	0	0	0	models/scenery/misc/coaster/coastersky.mdl
118	-910,563	42,6278	4985,28	16	0	0	0	models/scenery/misc/fwheel/fwheelsky.mdl
119	-1026,46	30,1539	4970,75	16	0	0	0	models/scenery/structural/pier/roofsky.mdl
120	-1312,5	26,5595	4998,44	16	6	0	0	models/scenery/signs/asylum/asylumsky.mdl
121	-1252,31	59,0934	4990,63	16	0	0	0	models/scenery/structural/santamonica/parkingroofsky.mdl
122	-1252,31	23,9684	4990,63	16	0	0	0	models/scenery/structural/santamonica/parkingroofsky.mdl
123	-1313,62	-126,447	5007,38	16	0	0	0	models/scenery/structural/apartment/roofcsky.mdl
124	-1276	-123	5007,38	16	0	0	0	models/scenery/structural/apartment/roofasky.mdl
125	-1237,68	-126,721	5007,38	16	0	0	0	models/scenery/structural/apartment/roofcsky.mdl
126	-1237,63	-181,099	5007,38	16	0	0	0	models/scenery/structural/apartment/roofcsky.mdl
127	-1159,56	58,683	4990,63	16	0	0	0	models/scenery/structural/santamonica/parkingroofsky.mdl
128	-1413	121	4997	16	0	0	0	models/scenery/structural/santamonica/freewaysigna.mdl
129	-905,876	1940,48	81	17	6	2048	2560	models/scenery/structural/santamonica/junkyardsign.mdl
130	-2202,71	1667,45	-22,5822	1	6	2250	2500	models/scenery/street/pierlightb/pierlightb.mdl
131	-1092	2151	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
132	-1089	2082	19,8537	1	6	2250	2500	models/scenery/street/barbedwire/pole.mdl
133	-1092	2008	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
134	-1018	2011	19,8537	1	6	2250	2500	models/scenery/street/barbedwire/pole.mdl
135	-966	2008	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
136	-1019	2009	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
137	-1092	2080	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
138	-1093	2154	-27,1463	1	6	2250	2500	models/scenery/street/fencepost/fencepost.mdl
139	-1198	2153,32	32	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
140	-1298	2154	-27,1463	1	6	2250	2500	models/scenery/street/fencepost/fencepost.mdl
141	-1302	2152	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
142	-1302	2079	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
143	-1300	2008	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
144	-1370	2007	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
145	-1445	2007	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
146	-1518	2008	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
147	-1586,98	2007,21	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
148	-1657	2007	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
149	-1728,98	2007,21	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
150	-1800	2007	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
151	-1870,98	2007,21	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
152	-1945	2009	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
153	-2016	2008	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
154	-2015	2079	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
155	-968	2447	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
156	-968	2522	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
157	-968,207	2588,69	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
158	-968	2659	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
159	-968,207	2730,69	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
160	-969	2800	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
161	-968,207	2872,69	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
162	-971	2938	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
163	-967	3009	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
164	-1037	3010	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
165	-1113	3009	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
166	-1184	3008	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
167	-1254,98	3008,79	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
168	-1323	3008	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
169	-1396,98	3008,79	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
170	-1468	3008	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
171	-1538,98	3008,79	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
172	-1620	3008	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
173	-1680,98	3008,79	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
174	-1774	3007	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
175	-1822,98	3008,79	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
176	-1927	3007	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
177	-2016,79	3004,98	-27,1463	1	6	2250	2500	models/scenery/street/barbedwire/barbedwiresupport.mdl
178	-2016	2936	40	1	6	2250	2500	models/scenery/street/barbedwire/barbedwire.mdl
179	-51	2399	-48	1	6	1300	1500	models/scenery/vehicles/CrushedCars/CrushedCars_A.mdl
180	73	2354	-39	1	6	1300	1500	models/scenery/vehicles/CrushedCars/CrushedCars_B.mdl
181	183	2273	-77	1	6	1300	1500	models/scenery/vehicles/CrushedCars/CrushedCars_c.mdl
182	310	2148	-27	1	6	1300	1500	models/scenery/vehicles/CrushedCars/CrushedCars_d.mdl
