ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1032	137,669	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
1	1029	533,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
2	1145,32	152	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
3	1145,32	151	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
4	1145,66	152	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
5	1331,99	147	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
6	1331,99	146	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
7	1332,33	147	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
8	1469	528,321	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
9	1470	528,321	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
10	1469	528,661	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
11	1250,68	531	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
12	1250,68	532	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
13	1250,34	531	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
14	1028	351,321	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
15	1029	351,321	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
16	1028	351,661	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
17	1031	744,321	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
18	1032	744,321	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
19	1031	744,661	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
20	1338,99	384	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
21	1338,99	383	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
22	1339,33	384	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
23	1343,99	664	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
24	1343,99	663	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
25	1344,33	664	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
26	1152,99	387	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
27	1152,99	386	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
28	1153,33	387	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
29	1151,99	674	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
30	1151,99	673	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
31	1152,33	674	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
32	858	360,991	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
33	859	360,991	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
34	858	361,331	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
35	875	668,991	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
36	876	668,991	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
37	875	669,331	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
38	1024	686,669	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
39	1027	378,339	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
40	872,679	671	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
41	872,679	672	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
42	872,339	671	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
43	871,009	404	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
44	871,009	405	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
45	870,669	404	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
46	873,679	310	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
47	873,679	311	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
48	873,339	310	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
49	1569,68	868	-67,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
50	1569,68	869	-67,8401	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
51	1569,34	868	-67,9201	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
52	1569	388,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
53	1570	388,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
54	1569	388,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
55	1439	377,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
56	1440	377,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
57	1439	377,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
58	1161	380,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
59	1162	380,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
60	1161	380,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
61	1359	70,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
62	1360	70,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
63	1359	70,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
64	1534	72,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
65	1535	72,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
66	1534	72,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
67	1177	67,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
68	1178	67,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
69	1177	67,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
70	1232,68	698	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
71	1232,68	699	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
72	1232,34	698	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
73	1253,34	208,665	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
74	1253,34	209,665	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
75	1253	208,665	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
76	1307	384,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
77	1308	384,321	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
78	1307	384,661	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
79	1431,34	527,665	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
80	1431,34	528,665	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
81	1431	527,665	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
82	1214,01	532	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
83	1214,01	533	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
84	1213,67	532	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
85	1433	1005,01	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
86	1432	1005,01	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
87	1433	1004,67	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
88	1436,34	1197,34	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
89	1435,34	1197,34	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
90	1436,34	1197	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
91	1222,68	1281	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
92	1222,68	1282	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
93	1222,34	1281	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
94	1226,68	1110	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
95	1226,68	1111	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
96	1226,34	1110	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
97	1230,68	944	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
98	1230,68	945	-211,92	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
99	1230,34	944	-212	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
100	1469	530,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
101	1470	530,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
102	1469	530,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
103	869,661	680	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
104	869,661	679	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
105	869,661	680	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
106	1152,67	675	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
107	1152,67	676	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
108	1152,67	675	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
109	1152,34	387	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
110	1152,34	388	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
111	1152,34	387	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
112	1344,67	673	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
113	1344,67	674	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
114	1344,67	673	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
115	1597	361,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
116	1598	361,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
117	1597	361,661	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
118	1339,34	384	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
119	1339,34	385	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplightbulb.mdl
120	1339,34	384	316,08	1	6	1024	1536	models/scenery/structural/shoplight/shoplight.mdl
121	868,344	867,665	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
122	868,344	868,665	124,16	1	6	1536	2048	models/scenery/structural/shoplight/shoplightbulb.mdl
123	868,004	867,665	124,08	1	6	1536	2048	models/scenery/structural/shoplight/shoplight.mdl
124	1367	162	42	16	6	0	0	models/scenery/misc/lampoffice/lamp1.mdl
125	1158	145,899	42	16	6	0	0	models/scenery/misc/lampoffice/lamp1.mdl
126	1180,26	770,166	233,621	16	0	0	0	models/scenery/furniture/HackableMetalChest/HackableMetalChest.mdl
127	833	765	228	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
128	811	764	192	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
129	915	739	192	16	6	0	0	models/scenery/furniture/chair/office_chair.mdl
130	1183	920,056	116	16	0	0	0	models/scenery/structural/medical/railing.mdl
131	1199	918,056	95	16	6	0	0	models/scenery/structural/medical/steps.mdl
132	1298,47	971,565	-192,045	0	6	0	0	models/scenery/misc/soda_machines/soda_machine2.mdl
133	1233,47	971,678	-192,045	0	6	0	0	models/scenery/misc/soda_machines/soda_machine1.mdl
134	1181,25	140,557	42	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
135	1170,52	150,1	42	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
136	1127,25	154	42	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
137	1142	168	0	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
138	1169,25	190	0	16	6	0	0	models/scenery/furniture/chair/office_chair.mdl
139	1228,25	149	42	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
140	1487,27	94,3519	0	0	6	0	0	models/scenery/furniture/wheelchair/wheelchairclean.mdl
141	1394	328	0	0	6	0	0	models/scenery/furniture/cabinethospital/cabinethospital.mdl
142	1370	709,992	0	0	6	0	0	models/scenery/furniture/operatingtable/operatingtable.mdl
143	1368	699	128	16	6	0	0	models/scenery/furniture/operatinglamps/operatinglamps.mdl
144	1110,82	724,008	0	0	6	0	0	models/scenery/furniture/heartrate/heartrate.mdl
145	1152,82	784,008	53,9474	0	6	0	0	models/scenery/furniture/xray/xray.mdl
146	1160	599	0	0	6	0	0	models/scenery/furniture/cabinethospital/cabinethospital.mdl
147	1288	740,992	0	0	6	0	0	models/scenery/furniture/oxygentank/oxygentankclean.mdl
148	1328	730,992	0	0	6	0	0	models/scenery/furniture/instrumenttray/instrumenttrayclean.mdl
149	1264,08	715,851	42	0	6	0	0	models/scenery/furniture/bedpan/bedpanclean.mdl
150	1287,54	463,301	0	0	6	0	0	models/scenery/furniture/oxygentank/oxygentankclean.mdl
151	1362,72	393,456	-294	0	6	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
152	1369,71	422,395	-294	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
153	1379,89	432,515	-294	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
154	1379	468	-294	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
155	1372	446	-294	0	6	0	0	models/scenery/furniture/computer/computer_monitor.mdl
