ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-2789,67	-248,63	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
1	-2789,67	-248	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
2	-2789,2	-248	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
3	-2285,67	-248,63	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
4	-2285,67	-248	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
5	-2285,2	-248	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
6	-3269,67	-248,63	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
7	-3269,67	-248	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
8	-3269,2	-248	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
9	-3268,67	-1670,37	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
10	-3268,67	-1671	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
11	-3269,14	-1671	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
12	-2764,67	-1670,37	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
13	-2764,67	-1671	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
14	-2765,14	-1671	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
15	-2284,67	-1670,37	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
16	-2284,67	-1671	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
17	-2285,14	-1671	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
18	-2366,37	-983,666	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
19	-2367	-983,666	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
20	-2367	-983,196	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
21	-3150,37	-983,666	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
22	-3151	-983,666	214,952	0	0	0	0	models/scenery/street/pierlight/pierlight.mdl
23	-3151	-983,196	47,9523	0	6	0	0	models/scenery/structural/sewer/support.mdl
24	-447,777	-8,16389	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
25	64	-7,94909	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
26	336	103,944	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
27	592	103,944	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
28	791,777	56,0509	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
29	1188,78	56,0509	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
30	-1577	56,0509	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
31	-1129,78	49,0509	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
32	-979,223	104,051	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
33	-723,223	104,051	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
34	-600,915	29,3483	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
35	-287,671	-73,0961	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
36	-95,6705	-72,9147	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
37	216,915	28,3295	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
38	745,652	49,9039	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
39	217,035	-1847,26	96,8742	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
40	1148,92	-1847,26	96,8742	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
41	2080,92	-1847,26	96,8742	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
42	-2459,85	-1847,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
43	-595,965	-1847,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
44	-3391,96	-1847,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
45	-3465,74	-882,852	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
46	-839,967	-2135,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
47	91,9232	-2135,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
48	-1772,08	-2135,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
49	-1527,96	-1847,22	96,3464	1	0	2048	2560	models/scenery/structural/hollywood/streetlightpost.mdl
50	1241	44,9435	526,217	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
51	-1625	48,9435	526	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
52	-1180	56,0509	339,783	17	0	1024	1536	models/scenery/structural/conflightb/conflightb.mdl
53	-576	-16	382	16	0	0	0	models/scenery/structural/oceanhouse/column.mdl
54	192	-16	382	16	0	0	0	models/scenery/structural/oceanhouse/column.mdl
55	736	48	321,886	16	0	0	0	models/scenery/structural/oceanhouse/columnb.mdl
56	1248	48	321,886	16	0	0	0	models/scenery/structural/oceanhouse/columnb.mdl
57	-1632	48	321,886	16	0	0	0	models/scenery/structural/oceanhouse/columnb.mdl
58	-1120	48	321,886	16	0	0	0	models/scenery/structural/oceanhouse/columnb.mdl
59	-279	-161	244,49	16	0	0	0	models/scenery/structural/oceanhouse/columnc.mdl
60	-105	-161	244,49	16	0	0	0	models/scenery/structural/oceanhouse/columnc.mdl
61	-105	-57	244,49	16	0	0	0	models/scenery/structural/oceanhouse/columnc.mdl
62	-279	-57	244,49	16	0	0	0	models/scenery/structural/oceanhouse/columnc.mdl
63	-1696,57	301,466	147,319	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
64	-1762	301	147,319	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
65	-1831	302	147,319	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
66	-1897	302	147,319	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
67	1309,32	304,859	147,421	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
68	1375,32	304,859	147,421	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
69	1442,32	303,859	147,421	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
70	1507,75	304,325	147,421	1	0	1536	2048	models/scenery/plants/populus/populus_s.mdl
