ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-2138,45	-2626	-87	16	0	0	0	models/items/CarStereo/Ground/CarStereo.mdl
1	-2138,45	-2627	-85	16	0	0	0	models/items/CarStereo/Ground/CarStereo.mdl
2	-2209	-2423,5	-85	16	0	0	0	models/items/rings/ground/Ring01.mdl
3	-2210	-2420	-85	16	0	0	0	models/items/rings/ground/Ring02.mdl
4	-2209	-2426	-85	16	0	0	0	models/items/rings/ground/Ring03.mdl
5	-2218	-2415	-81,3911	16	0	0	0	models/items/Watch/Ground/watch.mdl
6	-2218	-2410	-81,3911	16	0	0	0	models/items/Watch/Ground/watch_02.mdl
7	-2221	-2462	-88	16	0	0	0	models/scenery/misc/jewelry/chaindisplay.mdl
8	-2210	-2464	-88	16	0	0	0	models/scenery/misc/jewelry/earringdisplay.mdl
9	-2210	-2475	-88	16	0	0	0	models/scenery/misc/jewelry/earringdisplayb.mdl
10	-2220	-2390	-88	16	0	0	0	models/scenery/misc/jewelry/necklacedisplay.mdl
11	-2224	-2477	-88	16	0	0	0	models/scenery/misc/jewelry/necklacedisplayb.mdl
12	-2243	-2739	-112	0	0	0	0	models/scenery/furniture/table/foldingtable.mdl
13	-2254	-2726	-112	0	0	0	0	models/scenery/furniture/chair/crappy_chair.mdl
14	-1908	-2398	-72	0	0	0	0	models/scenery/furniture/tvs/TV19inch.mdl
15	-1910	-2445	-72	0	0	0	0	models/scenery/furniture/tvs/TV21inch.mdl
16	-1914	-2495	-72	0	0	0	0	models/scenery/furniture/tvs/TV8inch.mdl
17	-2267	-2745	-77,9677	0	0	0	0	models/scenery/furniture/tvs/TV8inch.mdl
18	-1926	-2556	-105	0	0	0	0	models/scenery/furniture/candelabra/candelabra.mdl
19	-1924	-2387	-105	0	0	0	0	models/scenery/furniture/candelabra/candelabra.mdl
20	-1922	-2485	-105	0	0	0	0	models/scenery/furniture/CoffeMaker/CoffeMaker.mdl
21	-1903	-2572	-88	0	0	0	0	models/scenery/furniture/computer/apple_monitor.mdl
22	-1898	-2546	-88	0	0	0	0	models/scenery/furniture/computer/apple_dd.mdl
23	-1899	-2546	-85	0	0	0	0	models/scenery/furniture/computer/apple_dd.mdl
24	-1898	-2528	-87,6493	0	0	0	0	models/scenery/furniture/computer/apple.mdl
25	-1925	-2537	-105,549	0	0	0	0	models/scenery/furniture/computer/apple_stick.mdl
26	-1918	-2532	-105,549	0	0	0	0	models/scenery/furniture/computer/apple_stick.mdl
27	-1904	-2529	-83	0	0	0	0	models/scenery/furniture/computer/apple.mdl
28	-1922	-2525	-105,549	0	0	0	0	models/scenery/furniture/computer/keyboard.mdl
29	-1926	-2514	-105,549	0	0	0	0	models/scenery/furniture/computer/mouse.mdl
30	-1902	-2594	-88	0	0	0	0	models/scenery/furniture/computer/apple_monitor.mdl
31	-1971	-2605	-105	0	0	0	0	models/scenery/furniture/DeskClock/DeskClock.mdl
32	-1869	-2720	-112	0	0	0	0	models/scenery/furniture/drum_kit/drum_kit.mdl
33	-2157	-2748	-112	0	0	0	0	models/scenery/furniture/filecabinet_metal/filecab.mdl
34	-2157	-2749	-80	0	0	0	0	models/scenery/furniture/filecabinet_metal/filecab.mdl
35	-2269	-2378	-46	0	0	0	0	models/scenery/furniture/FoldingLadder/FoldingLadder.mdl
36	-1824	-2613	-112	0	0	0	0	models/scenery/furniture/GrandFatherClock/GrandFatherClock.mdl
37	-1929	-2744	-112	0	0	0	0	models/scenery/furniture/guitar_mockingbird/guitar_mockingbird.mdl
38	-1968	-2612	-72	0	0	0	0	models/scenery/furniture/Lampfancyhotel/Lampfancyhotel.mdl
39	-1832	-2536	-68	0	0	0	0	models/scenery/furniture/LampFloor/LampFloor.mdl
40	-1820	-2648	-95,1336	0	0	0	0	models/scenery/furniture/microphone/microphone.mdl
41	-2012	-2604	-105	0	0	0	0	models/scenery/furniture/microwave/microwave.mdl
42	-1918	-2452	-105	0	0	0	0	models/scenery/furniture/Paintings/painting1.mdl
43	-1917	-2416	-90	0	0	0	0	models/scenery/furniture/Paintings/painting2.mdl
44	-1914	-2395	-90	0	0	0	0	models/scenery/furniture/Paintings/painting3.mdl
45	-1976	-2629	-88	0	0	0	0	models/scenery/furniture/phone_stylish/phone2.mdl
46	-1998	-2629	-88	0	0	0	0	models/scenery/furniture/phonemodern/phonemodern.mdl
47	-1956	-2635	-88	0	0	0	0	models/scenery/furniture/PhoneOffice/PhoneOffice.mdl
48	-1935	-2633	-86	0	0	0	0	models/scenery/furniture/PhoneWall/PhoneWall.mdl
49	-1832	-2497	-112	0	0	0	0	models/scenery/furniture/refrigerator/refrigeratorold.mdl
50	-1831	-2446	-112	0	0	0	0	models/scenery/furniture/refrigerator/refrigerator.mdl
51	-1824	-2568	-112	0	0	0	0	models/scenery/furniture/Standinglamp/simplestandinglamp.mdl
52	-2285	-2472	-112	0	0	0	0	models/scenery/furniture/SteamerTrunk/SteamerTrunk_Solid.mdl
53	-2285	-2591	-89	0	0	0	0	models/scenery/furniture/Stereo/Stereo.mdl
54	-1933	-2627	-72	0	0	0	0	models/scenery/furniture/TiffanyLamp/TiffanyLamp.mdl
55	-1901	-2528	-72	0	0	0	0	models/scenery/furniture/Tvmodern/Tvmodern.mdl
56	-2053	-2604	-92	0	0	0	0	models/scenery/furniture/vase/vasea.mdl
57	-2071	-2607	-92	0	0	0	0	models/scenery/furniture/vase/vaseb.mdl
58	-1977	-2739	-112	0	0	0	0	models/scenery/furniture/wheelchair/wheelchair.mdl
59	-2299	-2499	-24	0	0	0	0	models/scenery/misc/dartboard/dartboard.mdl
60	-2286	-2650	-111	0	0	0	0	models/scenery/misc/dress_bust/dressbust.mdl
