ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	4084,85	-531,429	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
1	4159,91	137,311	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
2	4079,91	769,164	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
3	5159,59	-567,166	-174,907	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
4	4665,59	-566,166	-174,907	0	6	0	0	models/scenery/street/pierlight/pierlight.mdl
5	5834,59	-596,166	-140,907	0	6	0	0	models/scenery/furniture/lightc/lightc.mdl
6	5092,59	-627,404	-177,615	0	6	0	0	models/scenery/furniture/lightc/lightc.mdl
7	4954,59	-627,404	-177,615	0	6	0	0	models/scenery/furniture/lightc/lightc.mdl
8	4792,59	-627,404	-177,615	0	6	0	0	models/scenery/furniture/lightc/lightc.mdl
9	4524,59	-484,166	-212,907	16	6	0	0	models/scenery/street/light_fixtures/lamppostlight.mdl
10	7021,3	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
11	7020,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
12	6721,74	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
13	6722,73	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
14	6424,3	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
15	6425,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
16	6127,74	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
17	5828,74	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
18	5530,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
19	7319,31	-835,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
20	7318,3	-586,166	-206,489	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
21	3431,31	-531,716	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
22	2783,26	-527,496	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
23	2703,67	245,323	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
24	2783,26	769,157	-333,907	0	6	0	0	models/scenery/street/pierlightb/pierlightb.mdl
