ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	-550,888	-514,726	-60,913	1	6	1500	2000	models/scenery/furniture/metalshelving/metalshelfB.mdl
1	-684	-495	-60,913	1	6	1500	2000	models/scenery/furniture/metalshelving/metalshelfa.mdl
2	-698,549	-135,808	-112	0	6	0	0	models/scenery/misc/steeldesk/desk.mdl
3	-704,298	-142,998	-74	0	6	0	0	models/scenery/furniture/computer/keyboard.mdl
4	-707,241	-159,168	-74	0	6	0	0	models/scenery/furniture/computer/mouse.mdl
5	-700,549	-173,808	-112	0	6	0	0	models/scenery/furniture/computer/computer_case.mdl
6	-563	-94	-60,913	1	6	1500	2000	models/scenery/furniture/metalshelving/metalshelfa.mdl
7	-507,154	-99,1614	-111,336	1	6	2250	2500	models/scenery/street/TrashBags/TrashBag_4.mdl
8	-474,154	-148,161	-111,336	1	6	2250	2500	models/scenery/street/TrashBags/TrashBag_2.mdl
9	-455,154	-142,161	-106,336	1	6	2250	2500	models/scenery/street/TrashBags/TrashBag_1.mdl
10	-590,801	-212,622	-84,3357	1	6	2250	2500	models/scenery/structural/warehouse/boxesd.mdl
11	-708	-90	-112	16	6	0	0	models/scenery/misc/trash/trash.mdl
12	-716	-176	-112	0	6	0	0	models/scenery/furniture/retro_chair/retro_chair.mdl
13	-467	-107,577	-88	1	6	2250	2500	models/scenery/structural/warehouse/boxesc.mdl
14	-802	-115	-60,913	1	6	1500	2000	models/scenery/furniture/metalshelving/metalshelfb.mdl
15	-607	-508	-88	1	6	2250	2500	models/scenery/structural/warehouse/boxesc.mdl
16	-719	-547	-12	16	6	0	0	models/scenery/structural/conduita/conduita.mdl
17	-716	-547	12	16	6	0	0	models/scenery/structural/conduitb/conduitb.mdl
18	-691	-547	15	16	6	0	0	models/scenery/structural/conduita/conduita.mdl
19	0	0	0	0	0	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
