ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	323,154	172,922	81	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
1	323,154	172,922	81	16	6	0	0	models/scenery/misc/Cash_Register/Cash_Register.mdl
2	435	333	162	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
3	435	333	162	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
4	435	334	162	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
5	237	215	8	16	0	0	0	models/scenery/furniture/lighta/lighta.mdl
6	72	361	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
7	119	358	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
8	174	332	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
9	174	289	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
10	174	246	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
11	177	134	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
12	203	131	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
13	246	131	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
14	289	131	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
15	330	131	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
16	113	349	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
17	104	349	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
18	98	358	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
19	29	361	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
20	145	361	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
21	171	358	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
22	174	203	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
23	174	160	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
24	353	128	9	0	3	0	0	models/scenery/structural/conduitb/conduitb.mdl
25	356	102	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
26	356	59	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
27	356	31	9	0	3	0	0	models/scenery/structural/conduita/conduita.mdl
28	234	122	162	0	6	0	0	models/scenery/structural/shoplight/shoplight.mdl
29	234	123	162	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
30	234	122	162	0	6	0	0	models/scenery/structural/shoplight/shoplightbulb.mdl
31	404	336	58	16	6	0	0	models/scenery/furniture/Chair_Basic/Chair_Basic.mdl
32	352,367	120,231	-44,047	16	6	0	0	models/scenery/structural/SewerPipes/pipe_box.mdl
33	48	62	-39	16	6	0	0	models/scenery/misc/water_heater/water_heater.mdl
34	169	374	67	16	6	0	0	models/scenery/misc/tattoo_gun/tattoo_gun.mdl
35	277	322	32	16	6	0	0	models/scenery/furniture/barbers_chair/barberchair2.mdl
36	152	375	32	16	6	0	0	models/scenery/furniture/table/foldingtable.mdl
37	244	289	32	16	6	0	0	models/scenery/furniture/chair/office_chair.mdl
38	214,6	320,601	157,405	0	6	0	0	models/scenery/furniture/lighta/lighta.mdl
39	318	56	-90	16	6	0	0	models/scenery/furniture/bed2/bed2.mdl
40	153	176	-99	16	6	0	0	models/scenery/structural/zhaos/boxes.mdl
41	145	173	-45	16	6	0	0	models/scenery/furniture/tvs/TV21inch.mdl
42	232	363	-31	0	6	0	0	models/scenery/street/payphone/payphone_wallmount_only.mdl
43	279,353	177,01	49	16	6	0	0	models/scenery/furniture/barstool/barstoolb.mdl
44	384	226	32	16	6	0	0	models/scenery/furniture/CoffeeTable1/CoffeeTable1.mdl
45	384	226	56	0	6	0	0	models/scenery/misc/magazine/magazine.mdl
46	0	0	0	0	0	0	0	models/scenery/misc/Cash_Register/Cash_Registerdrawr.mdl
