ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	60,532	-528,532	128,21	0	6	0	0	models/scenery/structural/ceiling_fan/ceiling_fan_blades.mdl
1	60,532	-528,532	128,21	0	6	0	0	models/scenery/structural/ceiling_fan/ceiling_fan_base.mdl
2	16,0934	-57,2296	308	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
3	16,0934	160,77	308	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
4	16,0934	-274,77	308	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
5	-239,907	-57,7704	308	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
6	-239,907	160,23	308	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
7	-239,907	-275,311	308	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
8	135	192	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
9	135	64	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
10	135	-64	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
11	135,074	-320	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
12	135,074	-192	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
13	184,852	192	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
14	184,852	64	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
15	184,852	-64	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
16	184,926	-192	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
17	184,926	-320	121,114	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
18	134,936	-0,194099	50	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
19	134,936	-0,194099	6	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
20	134,936	127,928	6	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
21	134,936	127,928	50	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
22	134,936	-128,072	6	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
23	134,936	-128,072	50	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
24	134,936	-256,072	6	0	6	0	0	models/scenery/structural/sewer/support_link.mdl
25	134,936	-256,072	50	0	6	0	0	models/scenery/structural/sewer/supportb.mdl
26	16	-275	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
27	16	-57	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
28	16	161	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
29	-240,401	161,096	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
30	-240,401	-56,9037	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
31	-240,401	-274,904	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
32	15,8279	-493,193	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
33	-240,573	-493,096	383	0	6	0	0	models/scenery/structural/sewer/supportc.mdl
34	78,2035	-523,756	0,0092001	1	6	1500	2000	models/scenery/furniture/desk_executive/desk_executive_nodrawer.mdl
35	124	-503	0,0092001	0	6	0	0	models/scenery/furniture/chair_executive/chair_executive_ruin.mdl
36	77,2035	-561,756	43,0092	0	6	0	0	models/scenery/furniture/phone_stylish/phone2.mdl
37	62,2635	-533	43,0092	0	6	0	0	models/scenery/furniture/DeskClock/DeskClock.mdl
38	-360	-486	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfA.mdl
39	-360	-572	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfB.mdl
40	-233	-440	51	16	6	0	0	models/scenery/furniture/metalshelving/metalshelfC.mdl
41	-275,148	-618,507	0	1	6	1500	2000	models/scenery/furniture/table/foldingtable.mdl
42	-253,138	-623,447	33	1	6	1500	2000	models/scenery/furniture/CoffeMaker/CoffeMaker.mdl
43	-160	-429	1	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
44	-63	-433	1	0	6	0	0	models/scenery/plants/pottedplanthotel/pottedplanthotel.mdl
45	0	0	0	0	0	0	0	models/scenery/structural/ceiling_fan/ceiling_fan_blades.mdl
