ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	2185	-88	-272,048	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
1	2184,94	-87,806	-217,688	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
2	2185,01	-87,806	-190,018	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
3	2184,94	-87,806	-175,408	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
4	2185	-87,806	-143,768	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
5	2185	-87,806	-62,008	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
6	2184,94	-87,806	102,752	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
7	2185	-87,8056	65,969	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
8	2179	-231	-272,048	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
9	2178,94	-230,806	-217,688	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
10	2179,01	-230,806	-190,018	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
11	2178,94	-230,806	-175,408	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
12	2179	-230,806	-143,768	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
13	2179	-230,806	-62,008	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
14	2178,94	-230,806	102,752	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
15	2179	-230,815	65,969	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
16	2136	-416	-272,048	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
17	2135,94	-415,806	-217,688	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
18	2136,01	-415,806	-190,018	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
19	2135,94	-415,806	-147,408	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
20	2136	-415,806	-115,768	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
21	2136	-415,806	-62,008	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
22	2135,94	-415,806	102,752	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
23	2136	-415,806	65,969	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
24	2332	-416	-272,048	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
25	2331,94	-415,806	-217,688	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
26	2332,01	-415,806	-190,018	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
27	2331,94	-415,806	-147,408	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
28	2332	-415,806	-115,768	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
29	2332	-415,806	-62,008	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
30	2331,94	-415,806	102,752	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
31	2332,07	-415,829	65,969	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
32	2508	-416	-272,048	1	6	1000	1500	models/scenery/structural/sewer/support.mdl
33	2507,94	-415,806	-217,688	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
34	2508,01	-415,806	-190,018	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
35	2507,94	-415,806	-147,408	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
36	2508	-415,806	-115,768	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
37	2508	-415,806	-62,008	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
38	2507,94	-415,806	102,752	1	6	1000	1500	models/scenery/structural/sewer/support_link.mdl
39	2508,08	-415,829	65,969	1	6	1000	1500	models/scenery/structural/sewer/supportb.mdl
40	132	-1894	-242	1	6	1000	1500	models/scenery/street/barbedwire/barbedwiresupport.mdl
41	141,32	-1736,69	-242	1	6	1000	1500	models/scenery/street/barbedwire/barbedwiresupport.mdl
42	2481	-16,5154	-271,922	1	0	1000	1500	models/scenery/structural/sewer/railing_post.mdl
43	2502	-16,3101	-266,922	1	0	1000	1500	models/scenery/structural/sewer/railing.mdl
