ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	1164,88	435,71	-7278	17	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
1	1164,88	268,71	-7278	17	6	1500	2000	models/scenery/street/pierlightb/pierlightb.mdl
2	932,86	1575,9	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
3	491,349	1130,86	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
4	100,322	-596,186	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
5	364,838	-1105,82	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
6	99,5321	-1546,18	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
7	1418,18	-861,468	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
8	1995,82	-595,162	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
9	2583,19	-860,678	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
10	3646,2	-596,532	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
11	3643,8	-859,468	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
12	3213,82	-595,161	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
13	764,096	194,86	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
14	491,788	-441,517	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
15	1012,05	-865,867	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
16	2365,08	-591,867	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
17	2852,55	-1402,78	-7268	1	6	1800	2500	models/scenery/street/powerpole/powerpole.mdl
18	2584,16	-1318,8	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
19	2848,47	-1791,2	-7303,01	1	6	2250	2500	models/scenery/street/pierlight/pierlight.mdl
20	3199	-1057,7	-7315	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
21	3314	-1057,7	-7315	17	6	1800	2500	models/scenery/street/light_fixtures/lamppostlight.mdl
22	3443,54	-981,259	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
23	3464,71	-969,869	-7367,74	1	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
24	2028,22	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
25	2067,95	-497,244	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
26	1591,22	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
27	1187,76	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
28	888,223	-535,949	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
29	848,051	-496,756	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
30	820,051	106,777	-7281,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
31	820,051	601,777	-7281,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
32	848,051	1207,78	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
33	889,244	1247,95	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
34	1187,78	1247,95	-7314,78	1	3	1800	2500	models/scenery/structural/conflightb/conflightb.mdl
35	375,741	-307,543	-7331,3	1	6	2250	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
36	387,131	-328,713	-7367,74	1	6	2048	2560	models/scenery/misc/busstop/busstop.mdl
37	2307,67	-517	-7313,92	1	6	1800	2500	models/scenery/structural/shoplight/shoplightwithbulbs.mdl
38	332	512	-7220	1	6	1800	2500	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
39	382	605,296	-7169,57	1	6	1800	2500	models/scenery/structural/ceilinglightb/ceilinglightb.mdl
