ObjNum	OriginX	OriginY	OriginZ	Flags	Solid	FadeMinDist	FadeMaxDist	PropTypeEntry
0	75	265,975	-195,395	16	6	0	0	models/scenery/furniture/candelabra/candelabra_candles.mdl
1	-76,4095	498,718	-111	0	6	0	0	models/scenery/structural/sconce/sconce.mdl
2	219,428	498,718	-111	0	6	0	0	models/scenery/structural/sconce/sconce.mdl
3	175,572	-258,718	-111	0	6	0	0	models/scenery/structural/sconce/sconce.mdl
4	-19,2661	-258,718	-111	0	6	0	0	models/scenery/structural/sconce/sconce.mdl
5	-188,718	-49,4095	-111	0	6	0	0	models/scenery/structural/sconce/sconce.mdl
6	-5271,91	-2257,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
7	-5271,91	-2039,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
8	-5271,91	-1549,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
9	-5271,91	-1331,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
10	-5271,91	-1767,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
11	-5612,09	-1549,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
12	-5612,09	-1331,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
13	-5612,09	-1767,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
14	-5612,09	-2257,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
15	-5612,09	-2039,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
16	-4567,91	-2257,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
17	-4567,91	-2039,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
18	-4567,91	-1549,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
19	-4567,91	-1331,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
20	-4567,91	-1767,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
21	-4908,09	-1549,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
22	-4908,09	-1331,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
23	-4908,09	-1767,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
24	-4908,09	-2257,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
25	-4908,09	-2039,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
26	-5271,91	-813,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
27	-5271,91	-595,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
28	-5271,91	-1030,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
29	-5271,91	-105,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
30	-5271,91	-323,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
31	-5612,09	-813,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
32	-5612,09	-595,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
33	-5612,09	-1030,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
34	-4567,91	-813,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
35	-4567,91	-595,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
36	-4567,91	-1030,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
37	-4567,91	-105,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
38	-4567,91	-323,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
39	-4908,09	-105,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
40	-4908,09	-323,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
41	-4908,09	-813,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
42	-4908,09	-595,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
43	-4908,09	-1030,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
44	-5271,91	630,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
45	-5271,91	848,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
46	-5271,91	413,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
47	-5271,91	1338,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
48	-5271,91	1120,69	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
49	-4567,91	630,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
50	-4567,91	848,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
51	-4567,91	413,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
52	-4567,91	1338,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
53	-4567,91	1120,69	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
54	-4908,09	1338,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
55	-4908,09	1120,69	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
56	-4908,09	630,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
57	-4908,09	848,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
58	-4908,09	413,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
59	-4924,19	-2628,76	6005,52	16	0	0	0	models/scenery/furniture/lightc/lightc.mdl
60	-5998,09	-1543,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
61	-5998,09	-1325,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
62	-5998,09	-1761,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
63	-5998,09	-2251,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
64	-5998,09	-2033,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
65	-6289,91	-1547,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
66	-6289,91	-1329,77	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
67	-6289,91	-1765,31	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
68	-6289,91	-2255,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
69	-6289,91	-2037,23	6233,87	16	6	0	0	models/scenery/furniture/lighte/lighte.mdl
70	322	478	-232	0	6	0	0	models/scenery/furniture/armoire/armoire.mdl
71	432,816	161,032	-223,5	0	6	0	0	models/scenery/furniture/chair_executive/chair_executive.mdl
72	-118	-251	-232	0	6	0	0	models/scenery/furniture/ChinaCab/ChinaCab.mdl
73	350	-194	-224	0	6	0	0	models/scenery/furniture/GrandFatherClock/GrandFatherClock.mdl
74	74	266	-212	0	6	0	0	models/scenery/furniture/table/table.mdl
75	150	430	-220	0	6	0	0	models/scenery/structural/malkavian/loungechair.mdl
76	28,8961	266	-219,879	0	6	0	0	models/scenery/structural/malkavian/loungechair.mdl
